Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Secularism and Human Rights: A Contextual Analysis of Headscarves, Religious Expression, and Women's Equality under International Law [article]","Bennoune, Karima (Cited 115 times)",5425,"Columbia Journal of Transnational Law, Vol. 45, Issue 2 (2007), pp. 367-426",45 Colum. J. Transnat'l L. 367 (2006-2007),"Human Rights, Human Rights Law, International Law, Religion, Women, Comparative Law",26,na,145
Terror/Torture [article],"Bennoune, Karima (Cited 115 times)",5425,"Berkeley Journal of International Law, Vol. 26, Issue 1 (2008), pp. 1-61",26 Berkeley J. Int'l L. 1 (2008),"Human Rights, Human Rights Law, Military Law, Philosophy, Torture, International Law, Terrorism",24,na,48
Toward a Human Rights Approach to Armed Conflict: Iraq 2003 [article],"Bennoune, Karima (Cited 115 times)",5425,"U.C. Davis Journal of International Law & Policy, Vol. 11, Issue 1 (Fall 2004), pp. 171-228",11 U. C. Davis J. Int'l L. & Pol'y 171 (2004-2005),"Human Rights, Human Rights Law, Military, War and Peace, Crimes, Crimes Against Humanity",20,na,39
As-Salamu Alaykum - Humanitarian Law in Islamic Jurisprudence [notes],"Bennoune, Karima (Cited 115 times)",5425,"Michigan Journal of International Law, Vol. 15, Issue 2 (Winter 1994), pp. 605-644",15 Mich. J. Int'l L. 605 (1993-1994),"Humanitarian Law, Islamic Law, Jurisprudence",12,na,24
Remembering the Other's Others: Theorizing the Approach of International law to Muslim Fundamentalism [article],"Bennoune, Karima (Cited 115 times)",5425,"Columbia Human Rights Law Review, Vol. 41, Issue 3 (Spring 2010), pp. 635-698",41 Colum. Hum. Rts. L. Rev. 635 (2009-2010),"International Law, Religion, Women",9,na,13
Sovereignty vs. Suffering - Re-examining Sovereignty and Human Rights through the Lens of Iraq [article],"Bennoune, Karima (Cited 115 times)",5425,"European Journal of International Law , Vol. 13, Issue 1 (2002), pp. 243-262",Full Text Not Currently Available in HeinOnline,"International Law, Sovereignty, Human Rights, Human Rights Law",9,na,na
Who Takes Responsibility - Afghan Women's Human Rights and the Role of the United States [article],"Bennoune, Karima (Cited 115 times)",5425,"Human Rights, Vol. 29, Issue 3 (Summer 2002), pp. 4-6",29 Hum. Rts. 4 (2002),"Human Rights, States, Women, Comparative Law, Military Law",6,1,7
Do We Need New International Law to Protect Women in Armed Conflict [article],"Bennoune, Karima (Cited 115 times)",5425,"Case Western Reserve Journal of International Law, Vol. 38, Issue 2 (2006-2007), pp. 363-392",38 Case W. Res. J. Int'l L. 363 (2006-2007),"Women, International Law, Medical Jurisprudence, Military Law",4,na,14
Paradoxical Feminist Quest for Remedy: A Case Study of Jane Doe v. Islamic Salvation Front and Anouar Haddam [article],"Bennoune, Karima (Cited 115 times)",5425,"International Criminal Law Review, Vol. 11, Issue 3 (2011), pp. 579-588",11 Int'l Crim. L. Rev. 579 (2011),"Feminism, Courts, Human Rights, International Law, States, Trials",2,na,8
Why Does It Matter If Women Are Human: Catharine MacKinnon's Contributions to International Law [article],"Bennoune, Karima (Cited 115 times)",5425,"Tulsa Law Review, Vol. 46, Issue 1 (Fall 2010), pp. 107-122",46 Tulsa L. Rev. 107 (2010-2011),"Human Rights Law, International Law, Jurisprudence, Law and Society",2,na,29
A Peace of Her [article],"Bennoune, Karima (Cited 115 times)",5425,"UCLA Journal of International Law and Foreign Affairs, Vol. 19, pp. 63-88",19 UCLA J. Int'l L. Foreign Aff. 63 (2015),"Gender, International Law, Foreign Affairs",1,na,17
Systeme Degage: Women and Transitional justice in the Wake of the Arab Spring [comments],"Bennoune, Karima (Cited 115 times)",5425,"American Society of International Law Proceedings, Vol. 106, Issue 1 (March 28-31, 2012), pp. 502-506",106 Am. Soc'y Int'l L. Proc. 502 (2012),"Women, Comparative Law, Human Rights, Politics, Gender",na,na,16
Acting TOGETHER to Stop Those Who Are Killing Us: International Law and the Civil Society Struggle against Jihadist Terrorism [comments],"Bennoune, Karima (Cited 115 times)",5425,"Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 109, pp. 143-152",109 Am. Soc'y Int'l L. Proc. 143 (2015),"International Law, Terrorism, Human Rights, Human Rights Law, Military Law, Philosophy, Torture",na,na,22
Your Fatwa Does Not Apply Here: International Law and the Opponents of Holy Wars [article],"Bennoune, Karima (Cited 115 times)",5425,"FIU Law Review, Vol. 11, Issue 1 (Fall 2015), pp. 39-46",11 FIU L. Rev. 39 (2015-2016),"International Law, Terrorism, Women",na,na,12
The War was Illegal [article],"Bennoune, Karima (Cited 115 times)",5425,"Guild Practitioner, Vol. 60, pp. 226-236",60 Guild Prac. 226 (2003),"International Law, United Nations, War, Military Law, Military Occupation",na,na,11
Toward a More Courageous Politics at the 60th Anniversary of the UDHR: Talking about Muslim Fundamentalism in the West [article],"Bennoune, Karima (Cited 115 times)",5425,"Maryland Journal of International Law, Vol. 24, Issue 1 (2009), pp. 125-134",24 Md. J. Int'l L. 125 (2009),"Politics, Religion, Human Rights, International Law",na,na,8
Green Wave Blues: Women and Fundamentalism in North Africa after 2011 [article],"Bennoune, Karima (Cited 115 times)",5425,"Journal of Gender, Race, and Justice, Vol. 18, Issue 2 (Spring 2016), pp. 381-388",18 J. Gender Race & Just. 381 (2015-2016),"Religion, Human Rights, Human Rights Law, Military Law, Philosophy, Torture, International Law",na,na,2
The Impact of Armed Conflict on Women [comments],"Bennoune, Karima (Cited 115 times)",5425,"Women's Rights Law Reporter, Vol. 24, Issue 3 (Summer/Fall 2003), pp. 173-178",24 Women's Rts. L. Rep. 173 (2002-2003),"Women, Violence, War, Comparative Law, Constitutional Law, Gender",na,na,11
Prevention of Human Trafficking I [comments],"Bennoune, Karima (Cited 115 times); Brundige, Elizabeth (Cited 2 times); Nessel, Lori (Cited 10 times); Vandenberg, Martina (Cited 10 times)",5425,"Women's Rights Law Reporter, Vol. 34, Issue 2/3 (Winter/Spring 2013), pp. 185-215",34 Women's Rts. L. Rep. 185 (2012-2013),"Human Trafficking, Victims",na,na,36
The Third Annual Katherine B. Fite Lecture: Perspectives from North Africa on the Arab Spring [comments],"Bennoune, Karima (Cited 115 times)",5425,"Studies in Transnational Legal Policy, Vol. 46, pp. 35-62",46 Stud. Transnat'l Legal Pol'y 35 (2013),"International Law, Terrorism, Women",na,na,na
Green Wave Blues: Women and Fundamentalism in North Africa after 2011 [article],"Bennoune, Karima (Cited 115 times)",5425,"Transnational Law and Contemporary Problems, Vol. 24, Issue 2 (Fall 2015), pp. 333-340",24 Transnat'l L. & Contemp. Probs. 333 (2014-2015),"Religion, Human Rights, Human Rights Law, Military Law, Philosophy, Torture, International Law",na,na,2
Terror/Torture Redux [article],"Bennoune, Karima (Cited 115 times)",5425,"Tulane Journal of International and Comparative Law, Vol. 19, Issue 1 (Winter 2010), pp. 173-186",19 Tul. J. Int'l & Comp. L. 173 (2010-2011),"Human Rights Law, Military, War and Peace, Human Rights, Military Law, Philosophy, Torture, International Law, Torts",na,na,13
