Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Between Indigence, Islamophobia, and Erasure: Poor and Muslim in War on Terror America [article]","Beydoun, Khaled A. (Cited 102 times)",656,"California Law Review, Vol. 104, Issue 6 (December 2016), pp. 1463-1502",104 Calif. L. Rev. 1463 (December 2016),"Economics, Religion, War, Police, States, Women",18,na,145
Between Muslim and White: The Legal Construction of Arab American Identity [article],"Beydoun, Khaled A. (Cited 102 times)",656,"New York University Annual Survey of American Law, Vol. 69, Issue 1 (2013), pp. 29-76",69 N.Y.U. Ann. Surv. Am. L. 29 (2013-2014),"Immigration Law, Legal History, Religion, Administration Law, Military, War and Peace, Race and Ethnicity, Terrorism, Race",14,7,66
Beyond the Paris Attacks: Unveiling the War within French Counterterror Policy [article],"Beydoun, Khaled A. (Cited 102 times)",656,"American University Law Review, Vol. 65, Issue 6 (August 2016), pp. 1273-1334",65 Am. U. L. Rev. 1273 (2015-2016),"War, Immigration Law, Military, War and Peace, Refugees, Terrorism, Age, Communications Law, Information Privacy, Privacy",11,na,112
Antebellum Islam [article],"Beydoun, Khaled A. (Cited 102 times)",656,"Howard Law Journal, Vol. 58, Issue 1 (Fall 2014), pp. 141-194",58 Howard L.J. 141 (Fall 2014),"Legal Profession, Attorneys, Religion, Terrorism",11,na,23
Reverse Passing [article],"Beydoun, Khaled A. (Cited 102 times); Wilson, Erika K. (Cited 67 times)",656,"UCLA Law Review, Vol. 64, Issue 2 (February 2017), pp. 282-355",64 UCLA L. Rev. 282 (February 2017),"Law and Society, Race and Ethnicity, Advertising, False Advertising, Trade Regulation",10,na,74
Islamophobia: Toward a Legal Definition and Framework [article],"Beydoun, Khaled A. (Cited 102 times)",656,"Columbia Law Review Online, Vol. 116, pp. 108-125",116 Colum. L. Rev. Online 108 (2016),"Immigration Law, Law and Society, Politics, Religion, Economics, War, Citizenship",9,na,70
Boxed In: Reclassification of Arab Americans on the U.S. Census as Progress or Peril [article],"Beydoun, Khaled A. (Cited 102 times)",656,"Loyola University Chicago Law Journal, Vol. 47, Issue 3 (Spring 2016), pp. 693-760",47 Loy. U. Chi. L.J. 693 (Spring 2016),"Administration Law, Military, War and Peace, Race and Ethnicity, Terrorism, Affirmative Action, Race",6,na,35
Muslim Bans and the (Re)Making of Political Islamophobia [article],"Beydoun, Khaled A. (Cited 102 times)",656,"University of Illinois Law Review, Vol. 2017, Issue 5 (2017), pp. 1733-1774",2017 U. Ill. L. Rev. 1733 (2017),"Immigration Law, Law and Society, Politics, Religion, Economics, War, Terrorism",5,na,188
Fast Tracking Women into Parliamentary Seats in the Arab World [article],"Beydoun, Khaled A. (Cited 102 times)",656,"Southwestern Journal of International Law, Vol. 17, Issue 1 (2011), pp. 63-110",17 Sw. J. Int'l L. 63 (2011),"Women, Religion, Gender, Human Rights",4,na,6
Acting Muslim [article],"Beydoun, Khaled A. (Cited 102 times)",656,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 53, Issue 1 (Winter 2018), pp. 1-64",53 Harv. C.R.-C.L. L. Rev. 1 (2018),"Religion, Terrorism, Economics, War, States, Women",2,na,174
