Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Arrest Efficiency an the Fourth Amendment [article],"Richardson, L. Song (Cited 417 times)",9747,"Minnesota Law Review, Vol. 95, Issue 6 (2011), pp. 2035-2098",95 Minn. L. Rev. 2035 (2010-2011),"Arrest, Fourth Amendment, Law and Society, Law Enforcement and Corrections, Police, Race and Ethnicity, Sentencing",103,2,35
Implicit Racial Bias in Public Defender Triage [article],"Richardson, L. Song (Cited 417 times); Goff, Phillip Atiba (Cited 143 times)",9747,"Yale Law Journal, Vol. 122, Issue 8 (June 2013), pp. 2626-2649",122 Yale L. J. 2626 (2012-2013),"Law Enforcement, Police, Psychiatry and Psychology, Violence, Civil Rights, Sentencing",60,na,178
Police Efficiency and the Fourth Amendment [article],"Richardson, L. Song (Cited 417 times)",9747,"Indiana Law Journal, Vol. 87, Issue 3 (Summer 2012), pp. 1143-1182",87 Ind. L.J. 1143 (2012),"Fourth Amendment, Law Enforcement and Corrections, Police, Arrest, Law and Society, Race and Ethnicity, Sentencing",59,na,47
Self Defense and the Suspicion Heuristic [article],"Richardson, L. Song (Cited 417 times); Goff, Phillip Atiba (Cited 143 times)",9747,"Iowa Law Review, Vol. 98, Issue 1 (November 2012), pp. 293-336",98 Iowa L. Rev. 293 (2012-2013),"Criminal Law and Procedure, Psychiatry and Psychology, Self-Defense, Legislation, Consumer Protection Law",51,na,56
Police Racial Violence: Lessons from Social Psychology [article],"Richardson, L. Song (Cited 417 times)",9747,"Fordham Law Review, Vol. 83, Issue 6 (May 2015), pp. 2961-2976",83 Fordham L. Rev. 2961 (2014-2015),"Law Enforcement, Police, Psychiatry and Psychology, Violence, Race and Ethnicity, Sentencing",28,na,319
"Cognitive Bias, Police Character, and the Fourth Amendment [article]","Richardson, L. Song (Cited 417 times)",9747,"Arizona State Law Journal, Vol. 44, Issue 1 (Spring 2012), pp. 267-304",44 Ariz. St. L.J. 267 (2012),"Fourth Amendment, Police, Food and Drug Law, Industry, Trials, Labor Law, Sports",27,1,74
Interrogating Racial Violence [article],"Richardson, L. Song (Cited 417 times); Goff, Phillip Atiba (Cited 143 times)",9747,"Ohio State Journal of Criminal Law, Vol. 12, Issue 1 (Fall 2014), pp. 115-152",12 Ohio St. J. Crim. L. 115 (2014-2015),"Law Enforcement, Psychiatry and Psychology, Violence, Jurisprudence, Law and Society, Race, Civil Rights",25,na,53
Systemic Triage: Implicit Racial Bias in the Criminal Courtroom [reviews],"Richardson, L. Song (Cited 417 times)",9747,"Yale Law Journal, Vol. 126, Issue 3 (January 2017), pp. 862-893",126 Yale L. J. 862 (2016-2017),"Criminal Law and Procedure, Race and Ethnicity, Sentencing, Public Defenders",13,na,106
Racial Anxiety [article],"Godsil, Rachel D. (Cited 349 times); Richardson, L. Song (Cited 417 times)",9747,"Iowa Law Review, Vol. 102, Issue 5 (July 2017), pp. 2235-2264",102 Iowa L. Rev. 2235 (2016-2017),"Health Law and Policy, Law and Society, Law Enforcement, Psychiatry and Psychology, Race",11,na,67
When Human Experimentation is Criminal [article],"Richardson, L. Song (Cited 417 times)",9747,"Journal of Criminal Law and Criminology , Vol. 99, Issue 1 (Fall 2008), pp. 89-134",99 J. Crim. L. & Criminology 89 (2008-2009),"Human Experimentation, Consent, Informed Consent, Liability, Malpractice, Medical Jurisprudence, Negligence, Research, Health, Health Law",8,na,14
