Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Relevance of Religion to a Lawyer's Work: Legal Ethics [article],"Griffin, Leslie (Cited 94 times)",4754,"Fordham Law Review, Vol. 66, Issue 4 (March 1998), pp. 1253-1282",66 Fordham L. Rev. 1253 (1997-1998),"Ethics, Legal Ethics, Religion",37,na,12
The Lawyer's Dirty Hands [article],"Griffin, Leslie (Cited 94 times)",4754,"Georgetown Journal of Legal Ethics, Vol. 8, Issue 2 (Winter 1995), pp. 219-282",8 Geo. J. Legal Ethics 219 (1994-1995),"Refugees, Torture, European Union",22,na,9
Good Catholics Should be Rawlsian Liberals [article],"Griffin, Leslie (Cited 94 times)",4754,"Southern California Interdisciplinary Law Journal, Vol. 5, Issue 3 (Summer 1997), pp. 297-374",5 S. Cal. Interdisc. L. J. 297 (1996-1997),"Jurisprudence, Religion",12,na,4
We Do Not Preach - We Teach - Religion Professors and the First Amendment [article],"Griffin, Leslie (Cited 94 times)",4754,"QLR, Vol. 19, Issue 1 (2000), pp. 1-66",19 QLR 1 (2000),"Education, Religion, First Amendment, State and Local Government Law, Comparative Law, International Law",6,na,6
What Might Have Been: Contraception and Religious Liberty [comments],"Griffin, Leslie (Cited 94 times)",4754,"University of St. Thomas Law Journal, Vol. 1, Issue 1 (Fall 2003), pp. 632-646",1 U. St. Thomas L. J. 632 (2003-2004),"Contraception, Liberty, Human Rights, Religious Freedom",4,na,9
A Clients' Theory of Professionalism [article],"Griffin, Leslie (Cited 94 times)",4754,"Emory Law Journal, Vol. 52, Special Edition (2003), pp. 1087-1102",52 Emory L.J. 1087 (2003),"Ethics, Legal Ethics",4,na,8
The Trivialization of Religion [article],"Griffin, Leslie (Cited 94 times)",4754,"Wisconsin Law Review, Vol. 1994, Issue 5 (1994), pp. 1287-1302",1994 Wis. L. Rev. 1287 (1994),"Religion, Affirmative Action, Religious Freedom",3,na,na
The Ethical Health Lawyer [article],"Griffin, Leslie (Cited 94 times)",4754,"Journal of Law, Medicine and Ethics, Vol. 33, Issue 1 (Spring 2005), pp. 160-162",33 J.L. Med. & Ethics 160 (2005),"Health, Legal Profession, Professional Ethics, Securities, Whistleblowers",2,na,1
Whose Duties and Liabilities to Third Parties [article],"Griffin, Leslie (Cited 94 times)",4754,"South Texas Law Review, Vol. 37, Issue 4 (October 1996), pp. 1191-1202",37 S. Tex. L. Rev. 1191 (1996),"Third Parties, Legal Malpractice, Malpractice, Professional Ethics, Torts, Liability",2,na,3
A Modest Relativism [comments],"Griffin, Leslie (Cited 94 times)",4754,"Albany Law Review, Vol. 64, Issue 4 (2001), pp. 1145-1146",64 Alb. L. Rev. 1145 (2000-2001),"Jurisprudence, Constitutional Law, Biography",1,na,na
Political Reason [article],"Griffin, Leslie (Cited 94 times)",4754,"St. John's Journal of Legal Commentary, Vol. 22, Issue 2 (Fall 2007), pp. 493-506",22 St. John's J. Legal Comment. 493 (Fall 2007),"Politics, Religion, First Amendment, Taxation-Federal Income",1,na,na
Religion and Politics 2004-2007 [article],"Griffin, Leslie (Cited 94 times)",4754,"Journal of Law and Religion, Vol. 23, Issue 1 (2007-2008), pp. 321-336",23 J. L. & Religion 321 (2007-2008),"Politics, Religion, Abortion, Constitutional Law, Legal History, Sexuality and the Law",na,na,2
Religion and Politics 2008-2009 [article],"Griffin, Leslie (Cited 94 times)",4754,"Journal of Law and Religion, Vol. 25, Issue 1 (2009-2010), pp. 205-220",25 J. L. & Religion 205 (2009-2010),"Politics, Religion, Freedom of Religion",na,na,3
