Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Duress, Demanding Heroism, and Proportionality [article]","Chiesa, Luis E. (Cited 66 times)",4098,"Vanderbilt Journal of Transnational Law, Vol. 41, Issue 3 (May 2008), pp. 741-774",41 Vand. J. Transnat'l L. 741 (2008),"Criminal Law and Procedure, Courts, Human Rights Law",13,na,38
"Why Is It a Crime to Stomp on a Goldfish - Harm, Victimhood and the Structure of Anti-Cruelty Offenses [article]","Chiesa, Luis E. (Cited 66 times)",4098,"Mississippi Law Journal, Vol. 78, Issue 1 (Fall 2008), pp. 1-68",78 Miss. L.J. 1 (2008-2009),"Animals, Crimes, Felonies, Misdemeanors, Forfeiture",13,5,31
Punishing without Free Will [article],"Chiesa, Luis E. (Cited 66 times)",4098,"Utah Law Review, Vol. 2011, Issue 4 (2011), pp. 1403-1460",2011 Utah L. Rev. 1403 (2011),"Jurisprudence, Law Enforcement and Corrections, Psychiatry and Psychology, Criminal Law and Procedure, Law and Society, Science and Technology",10,na,39
Consent is Not a Defense to Battery: A Reply to Professor Bergelson [comments],"Chiesa, Luis E. (Cited 66 times)",4098,"Ohio State Journal of Criminal Law, Vol. 9, Issue 1 (Fall 2011), pp. 195-208",9 Ohio St. J. Crim. L. 195 (2011-2012),"Consent, Law and Society, Criminal Law, Mistake, Self-Defense",5,na,41
"Beyond War: Bin Laden, Escobar, and the Justification of Targeted Killing [article]","Chiesa, Luis E. (Cited 66 times); Greenawalt, Alexander K. A. (Cited 140 times)",4098,"Washington and Lee Law Review, Vol. 69, Issue 3 (Summer 2012), pp. 1371-1470",69 Wash. & Lee L. Rev. 1371 (2012),"Humanitarian Law, National Security, International Law, Legal History, Terrorism, International Criminal Law, Philosophy, Politics",4,na,16
When an Offense is Not an Offense: Rethinking the Supreme Court's Reasonable Doubt Jurisprudence [article],"Chiesa, Luis E. (Cited 66 times)",4098,"Creighton Law Review, Vol. 44, Issue 3 (2011), pp. 647-704",44 Creighton L. Rev. 647 (2010-2011),"Criminal Law and Procedure, Jurisprudence, Criminal Law, Evidence, Legal History",3,na,2
Outsiders Looking in: The American Legal Discourse of Exclusion [article],"Chiesa, Luis E. (Cited 66 times)",4098,"Rutgers Journal of Law and Public Policy, Vol. 5, Issue 2 (Spring 2008), pp. 283-316",5 Rutgers J. L. & Pub. Pol'y 283 (2007-2008),"Separation, Separation of Powers, Land Use, States, Rule of Law",3,na,1
Of Persons and the Criminal Law: (Second Tier) Personhood as a Prerequisite for Victimhood [notes],"Chiesa, Luis E. (Cited 66 times)",4098,"Pace Law Review, Vol. 28, Issue 4 (Summer 2008), pp. 759-782",28 Pace L. Rev. 759 (2007-2008),"Criminal Law, Persons, Jurisprudence, Property",3,na,4
The Rise of Spanish and Latin American Criminal Theory [article],"Chiesa, Luis E. (Cited 66 times)",4098,"New Criminal Law Review, Vol. 11, Issue 3 (Summer 2008), pp. 363-383",11 New Crim. L. Rev. 363 (2008),"Comparative Law, Cruel and Unusual Punishment, Punishment, Eighth Amendment",2,na,3
Actmissions [article],"Chiesa, Luis E. (Cited 66 times)",4098,"West Virginia Law Review, Vol. 116, Issue 2 (Winter 2013), pp. 583-618",116 W. Va. L. Rev. 583 (Fall 2013),"Criminal Law and Procedure, Jurisprudence, Agency, Criminal Law",2,na,3
