Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Networked Family: Reframing the Legal Understanding of Caregiving and Caregivers [article],"Murray, Melissa (Cited 603 times)",4224,"Virginia Law Review, Vol. 94, Issue 2 (April 2008), pp. 385-456",94 Va. L. Rev. 385 (April 2008),"Adoption, Domestic Relations, Parents, Remedies",114,na,35
"Strange Bedfellows: Criminal Law, Family Law, and the Legal Construction of Intimate Life [article]","Murray, Melissa (Cited 603 times)",4224,"Iowa Law Review , Vol. 94, Issue 4 (May 2009), pp. 1253-1314",94 Iowa L. Rev. 1253 (May 2009),"Criminal Law, Family Law, Regulation",78,na,38
Disestablishing the Family [article],"Ristroph, Alice (Cited 441 times); Murray, Melissa (Cited 603 times)",4224,"Yale Law Journal , Vol. 119, Issue 6 (April 2010), pp. 1236-1279",119 Yale L. J. 1236 (April 2010),"Government, Property, Liberty, Neutrality, Religion",72,na,20
Marriage as Punishment [article],"Murray, Melissa (Cited 603 times)",4224,"Columbia Law Review, Vol. 112, Issue 1 (January 2012), pp. 1-65",112 Colum. L. Rev. 1 (2012),"Marriage, Punishment, Economics, Sex, Same-Sex Marriage",72,na,58
What's So New about the New Illegitimacy [article],"Murray, Melissa (Cited 603 times)",4224,"American University Journal of Gender, Social Policy & the Law, Vol. 20, Issue 3 (2012), pp. 387-436",20 Am. U. J. Gender Soc. Pol'y & L. 387 (2011-2012),"Domestic Relations, Juveniles, Sex, Sexuality and the Law, Equal Protection, Parents, Uniform Parentage Act",55,na,22
Obergefell v. Hodges and Nonmarriage Inequality [comments],"Murray, Melissa (Cited 603 times)",4224,"California Law Review, Vol. 104, Issue 5 (October 2016), pp. 1207-1258",104 Calif. L. Rev. 1207 (October 2016),"Domestic Relations, Law and Society, Sexual Orientation, Civil Rights, Discrimination, Legal History, Marriage",37,na,301
"Marriage Rights and Parental Rights: Parents, the State, and Proposition 8 [article]","Murray, Melissa (Cited 603 times)",4224,"Stanford Journal of Civil Rights & Civil Liberties, Vol. 5, Issue 2 (October 2009), pp. 357-408",5 Stan. J. C.R. & C.L. 357 (2009),"Marriage, Parents, Domestic Relations, Same-Sex Marriage, Sex, Sexuality and the Law",37,na,23
Equal Rites and Equal Rights [comments],"Murray, Melissa (Cited 603 times)",4224,"California Law Review, Vol. 96, Issue 5 (October 2008), pp. 1395-1404",96 Calif. L. Rev. 1395 (2008),"Domestic Relations, Equal Rights, Race, Sexuality and the Law, Citizenship, Marriage, Same-Sex Marriage, Sex",27,na,6
Family Law's Doctrine [article],"Murray, Melissa (Cited 603 times)",4224,"University of Pennsylvania Law Review, Vol. 163, Issue 7 (June 2015), pp. 1985-2018",163 U. Pa. L. Rev. 1985 (2014-2015),"Domestic Relations, Family Law, Constitutional Rights, Privacy",16,na,11
Paradigms Lost: How Domestic Partnership Went from Innovation to Injury [article],"Murray, Melissa (Cited 603 times)",4224,"New York University Review of Law & Social Change, Vol. 37, Issue 1 (2013), pp. 291-306",37 N.Y.U. Rev. L. & Soc. Change 291 (2013),"Domestic Partnerships, Marriage, Partnerships, Legislation, Same-Sex Marriage, Sex, Public Law",16,na,22
"When War Is Work: The G.I. Bill, Citizenship, and the Civic Generation [article]","Murray, Melissa (Cited 603 times)",4224,"California Law Review, Vol. 96, Issue 4 (August 2008), pp. 967-998",96 Calif. L. Rev. 967 (2008),"Citizenship, Law and Society, War, Education",15,na,16
"Whatever Happened to G.I. Jane: Citizenship, Gender, and Social Policy in the Postwar Era [article]","Murray, Melissa E. (Cited 20 times)",4224,"Michigan Journal of Gender & Law, Vol. 9, Issue 1 (2002), pp. 91-130",9 Mich. J. Gender & L. 91 (2002-2003),"Citizenship, Gender, Law and Society, Military Law, Veterans, New Deal",15,na,10
Accommodating Nonmarriage [article],"Murray, Melissa (Cited 603 times)",4224,"Southern California Law Review, Vol. 88, Issue 3 (March 2015), pp. 661-702",88 S. Cal. L. Rev. 661 (2014-2015),"First Amendment, Sexual Orientation, Statutes, Religion",14,na,42
Rights and Regulation: The Evolution of Sexual Regulation [comments],"Murray, Melissa (Cited 603 times)",4224,"Columbia Law Review, Vol. 116, Issue 2 (March 2016), pp. 573-624",116 Colum. L. Rev. 573 (2016),"Domestic Relations, Regulation, Sex Crimes, Sexual Orientation, Adultery, Marriage, Sex",11,na,26
