Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Constitutional Decision Rules [article],"Berman, Mitchell N. (Cited 1319 times)",248,"Virginia Law Review, Vol. 90, Issue 1 (March 2004), pp. 1-168",90 Va. L. Rev. 1 (2004),"Constitutional Law, Jurisprudence, Administration Law, Administrative Law, Common Law",246,na,na
Originalism is Bunk [article],"Berman, Mitchell N. (Cited 1319 times)",248,"New York University Law Review , Vol. 84, Issue 1 (April 2009), pp. 1-96",84 N.Y.U. L. Rev. 1 (2009),"Constitutional Law, Jurisprudence, Legal Analysis and Writing, History, Legal History",176,na,68
"Getting off the Dole: Why the Court Should Abandon Its Spending Doctrine, and How a Too-Clever Congress Could Provoke It to Do So [article]","Baker, Lynn A. (Cited 3145 times); Berman, Mitchell N. (Cited 1319 times)",248,"Indiana Law Journal, Vol. 78, Issue 1 (Winter/Spring 2003), pp. 459-542",78 Ind. L.J. 459 (Winter/Spring 2003),"Congress, Jurisdiction, Law and Society, Constitutional Law",142,4,5
Coercion without Baselines: Unconstitutional Conditions in Three Dimensions [article],"Berman, Mitchell N. (Cited 1319 times)",248,"Georgetown Law Journal, Vol. 90, Issue 1 (November 2001), pp. 1-112",90 Geo. L.J. 1 (November 2001),"Constitutional Law, Transportation Law, Abortion",121,na,43
State Accountability for Violations of Intellectual Property Rights: How to Fix Florida Prepaid (and How Not To) [article],"Berman, Mitchell N. (Cited 1319 times); Reese, R. Anthony (Cited 855 times); Young, Ernest A. (Cited 2834 times)",248,"Texas Law Review, Vol. 79, Issue 5 (April 2001), pp. 1037-1198",79 Tex. L. Rev. 1037 (April 2001),"Intellectual Property, Intellectual Property Law, Property, Constitutional Law, Immunity, Sovereign Immunity, States",71,na,8
Managing Gerrymandering [article],"Berman, Mitchell N. (Cited 1319 times)",248,"Texas Law Review, Vol. 83, Issue 3 (February 2005), pp. 781-854",83 Tex L. Rev. 781 (February 2005),"Politics, First Amendment, Government",61,23,61
Regulating Violence on Television [article],"Edwards, Harry T. (Cited 3588 times); Berman, Mitchell N. (Cited 1319 times)",248,"Northwestern University Law Review, Vol. 89, Issue 4 , pp. 1487-1566",89 Nw. U. L. Rev. 1487 (1994-1995),"Television, Violence, First Amendment",56,3,9
"Justification and Excuse, Law and Morality [article]","Berman, Mitchell N. (Cited 1319 times)",248,"Duke Law Journal, Vol. 53, Issue 1 (October 2003), pp. 1-78",53 Duke L.J. 1 (October 2003),"Biography, Legal Education, Criminal Law and Procedure, Jurisprudence",48,na,50
Commercial Speech and the Unconstitutional Conditions Doctrine: A Second Look at the Greater Includes the Lesser [article],"Berman, Mitchell N. (Cited 1319 times)",248,"Vanderbilt Law Review, Vol. 55, Issue 3 (April 2002), pp. 693-796",55 Vand. L. Rev. 693 (2002),"Commercial Speech, Rico, Tourism, Advertising, Gambling, Government",40,1,6
Originalism and Its Discontents (Plus a thought or Two about Abortion) [article],"Berman, Mitchell N. (Cited 1319 times)",248,"Constitutional Commentary, Vol. 24, Issue 2 (Summer 2007), pp. 383-404",24 Const. Comment. 383 (2007),"Abortion, Reclamation, Jurisprudence, Legal Analysis and Writing",38,na,14
