Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Relinquish Control - Why the IRS Should Change Its Stance on Exempt Organizations in Ancillary Joint Ventures [article],"Mirkay, Nicholas A. (Cited 44 times)",8561,"Nevada Law Journal, Vol. 6, Issue 1 (Fall 2005), pp. 21-88",6 Nev. L.J. 21 (2005-2006),"Organizations, Taxation-Federal Income, Health Law, Hospitals, Health",14,na,na
Is It Charitable to Discriminate: The Necessary Transformation of Section 501(c)(3) into the Gold Standard for Charities [article],"Mirkay, Nicholas A. (Cited 44 times)",8561,"Wisconsin Law Review, Vol. 2007, Issue 1 (2007), pp. 45-106",2007 Wis. L. Rev. 45 (2007),"Charities, Organizations, Taxation-Federal Income, Standing",11,na,14
Losing Our Religion: Reevaluating the Section 501(c)(3) Exemption of Religious Organization That Discriminate [article],"Mirkay, Nicholas A. (Cited 44 times)",8561,"William and Mary Bill of Rights Journal, Vol. 17, Issue 3 (March 2009), pp. 715-764",17 Wm. & Mary Bill Rts. J. 715 (2008-2009),"Religion, Taxation-Federal Income",7,na,8
"Globalism, Public Policy, and Tax-Exempt Status: Are U.S. Charities Adrift at Sea [article]","Mirkay, Nicholas A. (Cited 44 times)",8561,"North Carolina Law Review, Vol. 91, Issue 3 (March 2013), pp. 851-888",91 N.C. L. Rev. 851 (2012-2013),"Charities, Public Policy, Marriage, Religion, Same-Sex Marriage, Sex, Sexuality and the Law, Taxation-Federal Income, Organizations",4,na,6
Equality or Dysfunction - State Tax Law in a Post-Windsor World [article],"Mirkay, Nicholas A. (Cited 44 times)",8561,"Creighton Law Review, Vol. 47, Issue 2 (2013-2014), pp. 261-286",47 Creighton L. Rev. 261 (2013-2014),"Domestic Relations, Sexuality and the Law, Taxation-State and Local, States, Marriage, Sex",3,na,3
"Supreme Court's Decision in Cheek: Does It Encourage Willful Tax Evasion, The [notes]","Mirkay, Nicholas A. (Cited 44 times)",8561,"Missouri Law Review, Vol. 56, Issue 4 (Fall 1991), pp. 1119-1140",56 Mo. L. Rev. 1119 (Fall 1991),"Burden of Proof, Income Taxation, Proof, Taxation, States, Jury, State and Local Government Law",2,na,3
It's All about Timing: Wills Karns Impact the IRS Battles over Advance Receipts [article],"Mirkay, Nicholas A. (Cited 44 times)",8561,"Delaware Law Review, Vol. 12, Issue 1 (2010), pp. 55-78",12 Del. L. Rev. 55 (2010-2011),"Government, Deposits, Income Taxation, Public Utilities Law, Statute of Limitations, Taxation",1,na,1
Bankruptcy and Class Actions: The Continuing Conflict over Class Proofs of Claim [notes],"Mirkay, Nicholas A. (Cited 44 times)",8561,"Missouri Law Review, Vol. 56, Issue 3 (Summer 1991), pp. 749-768",56 Mo. L. Rev. 749 (Summer 1991),"Bankruptcy, Class Actions, Proof",1,na,1
Traps for the Unwary: Tax-Exempt Organizations' Compliance with the Intermediate Sanctions Rules and Lobbying and Political Campaigning Prohibitions [article],"McLaughlin, Lisa D. (Cited 1 times); Mirkay, Nicholas A. (Cited 44 times)",8561,"St. Louis Bar Journal, Vol. 49, Issue 4 (Spring 2003), pp. 18-25",49 St. Louis B. J. 18 (Spring 2003),"Sanctions, Organizations",1,na,1
50 Years of Loving: A Reflection on Seeking Justice through Love and Relationships [notes],"Mirkay, Nicholas A. (Cited 44 times)",8561,"Creighton Law Review, Vol. 50, Issue 3 (2017), pp. 685-692",50 Creighton L. Rev. 685 (2016-2017),"Domestic Relations, Marriage, Same-Sex Marriage, Sex, Sexuality and the Law, Fourteenth Amendment, Law and Society, Race and Ethnicity",na,na,12
State Taxation of Nonresidents' Deferred Income: The Eroding Future of Source Taxation [article],"Mirkay, Nicholas A. (Cited 44 times)",8561,"Journal of State Taxation, Vol. 16, Issue 1 (Summer 1997), pp. 9-44",16 J. St. Tax'n 9 (1997-1998),"Taxation, Gift Taxation",na,na,2
