Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"From J.C. Bach to Hip Hop: Musical Borrowing, Copyright and Cultural Context [article]","Arewa, Olufunmilayo B. (Cited 365 times)",2248,"North Carolina Law Review, Vol. 84, Issue 2 (January 2006), pp. 547-645",84 N.C. L. Rev. 547 (2005-2006),"Copyright, Intellectual Property Law, Music, Ethics, Legal Analysis and Writing, Legal Writing, Plagiarism",104,na,169
"The Freedom to Copy: Copyright, Creation, and Context [article]","Arewa, Olufunmilayo B. (Cited 365 times)",2248,"U.C. Davis Law Review, Vol. 41, Issue 2 (December 2007), pp. 477-558",41 U.C. Davis L. Rev. 477 (2007-2008),"Copyright, Intellectual Property Law",38,na,20
"Copyright on Catfish Row: Musical Borrowing, Porgy and Bess, and Unfair Use [article]","Arewa, Olufunmilayo B. (Cited 365 times)",2248,"Rutgers Law Journal, Vol. 37, Issue 2 (Winter 2006), pp. 277-354",37 Rutgers L.J. 277 (2005-2006),"Copyright, Intellectual Property Law",33,na,33
"Open Access in a Closed Universe: Lexis, Westlaw, Law Schools, and the Legal Information Market [article]","Arewa, Olufunmilayo B. (Cited 365 times)",2248,"Lewis & Clark Law Review, Vol. 10, Issue 4 (Winter 2006), pp. 797-840",10 Lewis & Clark L. Rev. 797 (2006),"Legal Education, Schools, Legal Profession, Legal Research, Attorneys, Research",31,na,46
"TRIPS and Traditional Knowledge: Local Communities, Local Knowledge, and Global Intellectual Property Frameworks [article]","Arewa, Olufunmilayo B. (Cited 365 times)",2248,"Marquette Intellectual Property Law Review, Vol. 10, Issue 2 (2006), pp. 155-180",10 Marq. Intell. Prop. L. Rev. 155 (2006),"Intellectual Property, Property, Intellectual Property Law, International Trade, Copyright",25,na,113
"YouTube, UGC, and Digital Music: Competing Business and Cultural Models in the Internet Age [article]","Arewa, Olufunmilayo B. (Cited 365 times)",2248,"Northwestern University Law Review, Vol. 104, Issue 2 (2010), pp. 431-476",104 Nw. U. L. Rev. 431 (2010),"Age, Internet, Music, Copyright, Strikes",22,na,132
Enduring Hierachies in American Legal Education [article],"Arewa, Olufunmilayo B. (Cited 365 times); Morriss, Andrew P. (Cited 1305 times); Henerson, William D. (Cited 23 times)",2248,"Indiana Law Journal, Vol. 89, Issue 3 (Summer 2014), pp. 941-1068",89 Ind. L.J. 941 (2014),"Education, Legal Education, Legal History, Legal Profession, Schools, Students, Regulation",22,na,32
Is Apple Playing Fair - Navigating the iPod FairPlay DRM Controversy [article],"Sharpe, Nicola F. (Cited 16 times); Arewa, Olufunmilayo B. (Cited 365 times)",2248,"Northwestern Journal of Technology and Intellectual Property, Vol. 5, Issue 2 (Spring 2007), pp. 332-350",5 Nw. J. Tech. & Intell. Prop. 332 (2006-2007),"Carriers, Antitrust, Communications Law, Copyright, Intellectual Property Law, Music",16,na,33
Measuring and Representing the Knowledge Economy: Accounting for Economic Reality under the Intangibles Paradigm [article],"Arewa, Olufunmilayo B. (Cited 365 times)",2248,"Buffalo Law Review, Vol. 54, Issue 1 (May 2006), pp. 1-102",54 Buff. L. Rev. 1 (May 2006),"Accounting, Corporations, Economics, Environment, Securities",13,na,19
Blues Lives: Promise and Perils of Musical Copyright [article],"Arewa, Olufunmilayo B. (Cited 365 times)",2248,"Cardozo Arts & Entertainment Law Journal, Vol. 27, Issue 3 (2010), pp. 573-620",27 Cardozo Arts & Ent. L.J. 573 (2009-2010),"Copyright, Intellectual Property Law, Race and Ethnicity, Women, Music",12,na,31
