Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
A Tale of Three Markets: The Law and Economics of Predatory Lending [article],"Engel, Kathleen C. (Cited 474 times); McCoy, Patricia A. (Cited 694 times)",2384,"Texas Law Review, Vol. 80, Issue 6 (May 2002), pp. 1255-1382",80 Tex. L. Rev. 1255 (May 2002),"Economics, Law and Economics, Predatory Lending, Banking, Equity, Housing Law, Liability, Loans, Ownership, Federalism",228,12,91
Turning a Blind Eye: Wall Street Finance of Predatory Lending [article],"Engel, Kathleen C. (Cited 474 times); McCoy, Patricia A. (Cited 694 times)",2384,"Fordham Law Review, Vol. 75, Issue 4 (March 2007), pp. 2039-2104",75 Fordham L. Rev. 2039 (March 2007),"Predatory Lending, Banking, Housing Law, Consumer Protection Law",147,3,43
Systemic Risk through Securitization: The Result of Deregulation and Regulatory Failure [article],"McCoy, Patricia A. (Cited 694 times); Pavlov, Andrey D. (Cited 88 times); Wachter, Susan M. (Cited 277 times)",2384,"Connecticut Law Review, Vol. 41, Issue 4 (May 2009), pp. 1327-1376",41 Conn. L. Rev. 1327 (2008-2009),"Deregulation, Foreclosure, Economics, Housing",73,2,85
Rethinking Disclosure in a World of Risk-Based Pricing [article],"McCoy, Patricia A. (Cited 694 times)",2384,"Harvard Journal on Legislation, Vol. 44, Issue 1 (Winter 2007), pp. 123-166",44 Harv. J. on Legis. 123 (2007),"Housing Law, Consumer Protection Law, Banking, Criminal Law and Procedure",46,na,19
A Behavioral Analysis of Predatory Lending [article],"McCoy, Patricia A. (Cited 694 times)",2384,"Akron Law Review, Vol. 38, Issue 4 (2005), pp. 725-740",38 Akron L. Rev. 725 (2005),"Banking, Predatory Lending, Judges, Judiciary, Law and Society, Economics, Law and Economics",45,na,28
The Consumer Financial Protection Bureau: Financial Regulation for the twenty-First Century [article],"Kennedy, Leonard J. (Cited 52 times); McCoy, Patricia A. (Cited 694 times); Bernstein, Ethan (Cited 24 times)",2384,"Cornell Law Review, Vol. 97, Issue 5 (July 2012), pp. 1141-1176",97 Cornell L. Rev. 1141 (2011-2012),"Consumer Protection Law, Regulation, Banking and Finance, Education Law, Revolution",24,3,121
The CRA Implications of Predatory Lending [article],"Engel, Kathleen C. (Cited 474 times); McCoy, Patricia A. (Cited 694 times)",2384,"Fordham Urban Law Journal, Vol. 29, Issue 4 (April 2002), pp. 1571-1606",29 Fordham Urb. L.J. 1571 (April 2002),"Predatory Lending, Banking, Obligations",24,na,8
Realigning Auditors' Incentives [article],"McCoy, Patricia A. (Cited 694 times)",2384,"Connecticut Law Review, Vol. 35, Issue 3 (Spring 2003), pp. 989-1012",35 Conn. L. Rev. 989 (2002-2003),"Accounting, Industry",23,na,9
A Political Economy of the Business Judgment Rule in Banking: Implication for Corporate Law [article],"McCoy, Patricia A. (Cited 694 times)",2384,"Case Western Reserve Law Review, Vol. 47, Issue 1 (Fall 1996), pp. 1-80",47 Case W. Res. L. Rev. 1 (1996-1997),"Banking, Banking Law, Business Judgment Rule, Corporations, Deposit Insurance, Insurance, Regulation",18,na,8
Musings on the Seeming Inevitability of Global Convergence in Banking Law [article],"McCoy, Patricia A. (Cited 694 times)",2384,"Connecticut Insurance Law Journal, Vol. 7, Issue 2 (2000-2001), pp. 433-464",7 Conn. Ins. L.J. 433 (2000-2001),"Banking, Banking Law, International Trade, Organizations, States, Corporations",14,na,2
