Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Broken Promises of Privacy: Responding to the Surprising Failure of Anonymization [article],"Ohm, Paul (Cited 662 times)",1675,"UCLA Law Review , Vol. 57, Issue 6 (August 2010), pp. 1701-1778",57 UCLA L. Rev. 1701 (2009-2010),"Privacy, Science and Technology, Data Protection, European Union, General, Regulation",267,1,451
The Fourth Amendment in a World without Privacy [article],"Ohm, Paul (Cited 662 times)",1675,"Mississippi Law Journal, Vol. 81, Issue 5 (2012), pp. 1309-1356",81 Miss. L.J. 1309 (2011-2012),"Communications Law, Criminal Law and Procedure, Information Privacy, Jurisprudence, Juveniles",70,na,54
The Rise and Fall of Invasive ISP Surveillance [article],"Ohm, Paul (Cited 662 times)",1675,"University of Illinois Law Review, Vol. 2009, Issue 5 (2009), pp. 1417-1496",2009 U. Ill. L. Rev. 1417 (2009),"Communications Law, Science and Technology, Internet, Neutrality",62,na,35
"The Myth of the Superuser: Fear, Risk, and Harm Online [article]","Ohm, Paul (Cited 662 times)",1675,"U.C. Davis Law Review, Vol. 41, Issue 4 (April 2008), pp. 1327-1402",41 U.C. Davis L. Rev. 1327 (2007-2008),"Computer Law, Contracts, Privacy, Science and Technology",31,1,16
Sensitive Information [article],"Ohm, Paul (Cited 662 times)",1675,"Southern California Law Review, Vol. 88, Issue 5 (July 2015), pp. 1125-1196",88 S. Cal. L. Rev. 1125 (2014-2015),"Information Privacy, Court Records, Courts, Privacy, Records, Consumer Protection Law, Housing Law, Identity Theft, Theft, Trade Regulation",31,na,125
Branding Privacy [article],"Ohm, Paul (Cited 662 times)",1675,"Minnesota Law Review, Vol. 97, Issue 3 (February 2013), pp. 907-989",97 Minn. L. Rev. 907 (February 2013),"Privacy, Notice, Consumer Protection Law, Contracts, Information Privacy",26,na,37
Probably Probable Cause: The Diminishing Importance of Justification Standards [article],"Ohm, Paul (Cited 662 times)",1675,"Minnesota Law Review, Vol. 94, Issue 5 (May 2010 ), pp. 1514-1560",94 Minn. L. Rev. 1514 (2009-2010),"Communications Law, Law Enforcement and Corrections, Criminal Law and Procedure, Constitutional Law",25,1,19
The Underwhelming Benefits of Big Data [comments],"Ohm, Paul (Cited 662 times)",1675,"University of Pennsylvania Law Review PENNumbra, Vol. 161, pp. 339-346",161 U. Pa. L. Rev. PENNumbra 339 (2012),"Bioethics, Health, Research, Revolution, Age, Privacy",18,na,34
"On Regulating the Internet: Usenet, a Case Study [comments]","Ohm, Paul K. (Cited 662 times)",1675,"UCLA Law Review, Vol. 46, Issue 6 (August 1999), pp. 1941-1988",46 UCLA L. Rev. 1941 (August 1999),"Communications Law, Computer Law, Internet, Regulation, Testimony",18,na,10
Playing with the Data: What Legal Scholars Should Learn about Machine Learning [article],"Lehr, David (Cited 39 times); Ohm, Paul (Cited 662 times)",1675,"U.C. Davis Law Review, Vol. 51, Issue 2 (December 2017), pp. 653-718",51 U.C.D. L. Rev. 653 (2017-2018),"Government, Law Enforcement, Military, War and Peace, Science and Technology, Adoption, Privacy",17,na,208
Good enough Privacy [article],"Ohm, Paul (Cited 662 times)",1675,"University of Chicago Legal Forum, Vol. 2008, pp. 1-64",2008 U. Chi. Legal F. 1 (2008),"Privacy, Constitutional Rights, Government, Technology, Communications Law, Science and Technology",16,na,8
Electronic Surveillance Law and the Intra-Agency Separation of Powers [article],"Ohm, Paul (Cited 662 times)",1675,"University of San Francisco Law Review, Vol. 47, Issue 2 (Fall 2012), pp. 269-290",47 U.S.F. L. Rev. 269 (2012-2013),"Communications Law, Criminal Law and Procedure, Science and Technology, Electronic Surveillance, State and Local Government Law",13,na,13
The Olmsteadian Seizure Clause: The Fourth Amendment and the Seizure of Intangible Property [article],"Ohm, Paul (Cited 662 times)",1675,"Stanford Technology Law Review, Vol. 2008, pp. 2-[59]",2008 Stan. Tech. L. Rev. 2 (2008),"Science and Technology, Jurisprudence, Legal History, Communications Law, Criminal Law and Procedure",13,na,21
The Fourth Amendment Right to Delete [comments],"Ohm, Paul (Cited 662 times)",1675,"Harvard Law Review Forum, Vol. 119, pp. 10-18",119 Harv. L. Rev. F. 10 (2005),"Fourth Amendment, Science and Technology",11,1,16
Parallel-Effect Statutes and E-Mail Warrants: Reframing the Internet Surveillance Debate [article],"Ohm, Paul K. (Cited 662 times)",1675,"George Washington Law Review, Vol. 72, Issue 6 (August 2004), pp. 1599-1618",72 Geo. Wash. L. Rev. 1599 (August 2004),"Email, Internet, Mail, Statutes, Communications Law, Computer Law, Law Enforcement and Corrections, Age, Electronic Surveillance",10,9,21
The Argument against Technology-Neutral Surveillance Laws [article],"Ohm, Paul (Cited 662 times)",1675,"Texas Law Review, Vol. 88, Issue 7 (June 2010), pp. 1685-1714",88 Tex. L. Rev. 1685 (2009-2010),"Technology, Costs, Neutrality, Science and Technology, Tax Policy, Broadband",9,na,42
Regulating Software When Everything Has Software [article],"Ohm, Paul (Cited 662 times); Reid, Blake (Cited 9 times)",1675,"George Washington Law Review, Vol. 84, Issue 6 (December 2016), pp. 1672-1702",84 Geo. Wash. L. Rev. 1672 (2016),"Administration Law, Software, Regulation, Age",8,na,44
"Massive Hard Drives, General Warrants, and the Power of Magistrate Judges [comments]","Ohm, Paul (Cited 662 times)",1675,"Virginia Law Review in Brief, Vol. 97, pp. 1-12",97 Va. L. Rev. Brief 1 (2011),"Criminal Law and Procedure, Law Enforcement and Corrections, Constitutional Law",4,na,11
The Analog Hole and the Price of Music: An Empirical Study [article],"Sicker, Douglas C. (Cited 46 times); Ohm, Paul (Cited 662 times); Gunaji, Shannon (Cited 3 times)",1675,"Journal on Telecommunications & High Technology Law , Vol. 5, Issue 3 (Spring 2007), pp. 573-588",5 J. on Telecomm. & High Tech. L. 573 (2006-2007),"Music, Science and Technology, Government, Mandates, Technology",3,na,3
Computer Programming and the Law: A New Research Agenda [article],"Ohm, Paul (Cited 662 times)",1675,"Villanova Law Review, Vol. 54, Issue 1 (2009), pp. 117-154",54 Vill. L. Rev. 117 (2009),"Research, Software, States, Computer Law, Copyright",3,na,8
We Couldn't Kill the Internet If We Tried [article],"Ohm, Paul (Cited 662 times)",1675,"Harvard Law Review Forum, Vol. 130, Issue 2 (December 2016), pp. 79-85",130 Harv. L. Rev. F. 79 (2016-2017),"Communications Law, Criminal Law and Procedure, Law Enforcement, Science and Technology, Information Privacy, Banking, Taxation-Federal",1,na,27
Desirable Inefficiency [article],"Ohm, Paul (Cited 662 times); Frankle, Jonathan (Cited 1 times)",1675,"Florida Law Review, Vol. 70, Issue 4 (July 2018), pp. 777-838",70 Fla. L. Rev. 777 (2018),"Science and Technology, Privacy, Death",1,na,24
The Life of Riley (v. California) [article],"Ohm, Paul (Cited 662 times)",1675,"Texas Tech Law Review, Vol. 48, Issue 1 (Fall 2015), pp. 133-142",48 Tex. Tech L. Rev. 133 (2015-2016),"Supreme Court of the United States, Communications Law, Information Privacy, Criminal Law and Procedure",1,3,21
Interview with Federal Trade Commission Commissioner Julie Brill [article],"Brill, Juile; Ohm, Paul (Cited 662 times)",1675,"Journal on Telecommunications and High Technology Law, Vol. 10, Issue 2 (2012), pp. 235-240",10 J. on Telecomm. & High Tech. L. 235 (2012),"Federal Trade Commission, Communications Law, Consumer Protection, Consumer Protection Law, Privacy, Social Media, Contracts, Corporations",na,na,2
I Always Feel Like Somebody's Watching Me [reviews],"Ohm, Paul (Cited 662 times)",1675,"Jotwell: The Journal of Things We Like (Lots), Vol. 2010, pp. [84]-[85]",2010 Jotwell: J. Things We Like [84] (2010),"Law and Society, Privacy, Technology, Court Records, Records, States",na,na,na
Cybersecurity through Information Theory [reviews],"Ohm, Paul (Cited 662 times)",1675,"Jotwell: The Journal of Things We Like (Lots), Vol. 2011, pp. [154]-[156]",2011 Jotwell: J. Things We Like [154] (2011),"Law Enforcement and Corrections, Science and Technology, Banking, Criminal Law and Procedure, President/Executive Department",na,na,na
Free for the Taking (or Why Libertarians are Wrong about Markets for Privacy) [reviews],"Ohm, Paul (Cited 662 times)",1675,"Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [475]-[477]",2014 Jotwell: J. Things We Like [475] (2014),"Privacy, Asbestos, Accounting, Consumer Protection Law, Costs, Internet, Trade Regulation",na,na,na
An Internet X-Ray Machine for the Masses [reviews],"Ohm, Paul (Cited 662 times)",1675,"Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [501]-[503]",2015 Jotwell: J. Things We Like [501] (2015),"Internet, Communications Law, Law Enforcement and Corrections, Fourth Amendment, Government",na,na,na
Inspecting Big Data's Warheads [reviews],"Ohm, Paul (Cited 662 times)",1675,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-2",2017 Jotwell: J. Things We Like 1 (2017),"Discrimination, Economics, Trade Regulation, Data Protection, Privacy",na,na,8
An Argument for the Coherence of Privacy Law [reviews],"Ohm, Paul (Cited 662 times)",1675,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-2",2018 Jotwell: J. Things We Like 1 (2018),"Privacy, Confidentiality",na,na,28
The Care and Feeding of Sticky Defaults in Information Privacy Law [reviews],"Ohm, Paul (Cited 662 times)",1675,"Jotwell: The Journal of Things We Like (Lots), Vol. 2013, pp. [347]-[348]",2013 Jotwell: J. Things We Like [347] (2013),"Information Privacy, Privacy, Health Law and Policy, Jurisdiction, Videotapes",na,na,na
The Investigative Dynamics of the Use of Malware by Law Enforcement [article],"Ohm, Paul (Cited 662 times)",1675,"William & Mary Bill of Rights Journal, Vol. 26, Issue 2 (December 2017), pp. 303-336",26 Wm. & Mary Bill Rts. J. 303 (2017-2018),"Law Enforcement, Science and Technology, Intellectual Property, Intellectual Property Law, Property",na,na,43
Forthright Code [comments],"Ohm, Paul (Cited 662 times)",1675,"Houston Law Review, Vol. 56, Issue 2 (2018), pp. 471-504",56 Hous. L. Rev. 471 (2018-2019),na,na,na,na
"Manipulation, Dark Patterns, and Evil Nudges [reviews]","Ohm, Paul (Cited 662 times)",1675,"Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-2",2019 Jotwell: J. Things We Like 1 (2019),"Ethics, Psychiatry and Psychology, Fraud, Regulation, Securities",na,na,na
