Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
A Price Theory of Legal Bargaining: An Inquiry into the Selection of Settlement and Litigation under Uncertainty [article],"Rhee, Robert J. (Cited 400 times)",1524,"Emory Law Journal, Vol. 56, Issue 3 (2006), pp. 619-692",56 Emory L.J. 619 (2006-2007),"Dispute Resolution, Law and Society, Insurance, Insurance Law",37,na,21
Toward Procedural Optionality: Private Ordering of Public Adjudication [article],"Rhee, Robert J. (Cited 400 times)",1524,"New York University Law Review , Vol. 84, Issue 2 (May 2009), pp. 514-571",84 N.Y.U. L. Rev. 514 (2009),"Dispute Resolution, Practice and Procedure, Procedure",35,na,10
The Effect of Risk on Legal Valuation [article],"Rhee, Robert J. (Cited 400 times)",1524,"University of Colorado Law Review, Vol. 78, Issue 1 (2007), pp. 193-256",78 U. Colo. L. Rev. 193 (2007),"Dispute Resolution, Torts, Law and Society",35,na,5
"Terrorism Risk in a Post-9/11 Economy: The Convergence of Capital Markets, Insurance, and Government Action [article]","Rhee, Robert J. (Cited 400 times)",1524,"Arizona State Law Journal, Vol. 37, Issue 2 (Summer 2005), pp. 435-534",37 Ariz. St. L.J. 435 (2005),"Economics, Insurance Law, International Law",32,na,23
A Principled Solution for Negligent Infliction of Emotional Distress Claims [article],"Rhee, Robert J. (Cited 400 times)",1524,"Arizona State Law Journal, Vol. 36, Issue 3 (Fall 2004), pp. 805-884",36 Ariz. St. L.J. 805 (Fall 2004),Torts,30,7,26
The Tort Foundation of Duty of Care and Business Judgment [article],"Rhee, Robert J. (Cited 400 times)",1524,"Notre Dame Law Review, Vol. 88, Issue 3 (February 2013), pp. 1139-1198",88 Notre Dame L. Rev. 1139 (2012-2013),"Duty of Care, Business Judgment Rule, State and Local Government Law, Corporate Officers, Corporations",26,na,69
Tort Arbitrage [article],"Rhee, Robert J. (Cited 400 times)",1524,"Florida Law Review, Vol. 60, Issue 1 (January 2008), pp. 125-182",60 Fla. L. Rev. 125 (2008),"Torts, Property, Negligence",25,na,7
"Fiduciary Exemption for Public Necessity: Shareholder Profit, Public Good, and the Hobson's Choice during a National Crisis [article]","Rhee, Robert J. (Cited 400 times)",1524,"George Mason Law Review, Vol. 17, Issue 3 (Spring 2010), pp. 661-736",17 Geo. Mason L. Rev. 661 (2009-2010),"Banking, Corporations, Comparative Law, Regulation, Investment, Securities",23,2,18
"The Madoff Scandal, Market Regulatory Failure and the Business Education of Lawyers [article]","Rhee, Robert J. (Cited 400 times)",1524,"Journal of Corporation Law , Vol. 35, Issue 2 (Winter 2009), pp. 363-392",35 J. Corp. L. 363 (Winter 2009),"Banking, Education, Legal Education, Securities, Professional Ethics",22,na,121
The Law School Firm [comments],"Borden, Bradley T. (Cited 184 times); Rhee, Robert J. (Cited 400 times)",1524,"South Carolina Law Review, Vol. 63, Issue 1 (Autumn 2011), pp. 1-12",63 S. C. L. Rev. 1 (2011-2012),"Legal Education, Legal Profession, Education",17,na,9
Catastrophic Risk and Governance after Hurricane Katrina: A Postscript to Terrorism Risk in a Post-9/11 Economy [article],"Rhee, Robert J. (Cited 400 times)",1524,"Arizona State Law Journal, Vol. 38, Issue 2 (Summer 2006), pp. 581-616",38 Ariz. St. L.J. 581 (2006),"Economics, Law and Society, Terrorism, Government, Insurance, Comparative Law",15,na,9
Bonding Limited Liability [article],"Rhee, Robert J. (Cited 400 times)",1524,"William and Mary Law Review, Vol. 51, Issue 4 (March 2010), pp. 1417-1488",51 Wm. & Mary L. Rev. 1417 (2009-2010),"Corporations, Liability, Torts, Federalism",14,na,24
The Application of Finance Theory to Increased Risk Harms in Toxic Tort Litigation [article],"Rhee, Robert J. (Cited 400 times)",1524,"Virginia Environmental Law Journal, Vol. 23, Issue 2 (2004), pp. 111-202",23 Va. Envtl. L.J. 111 (2004-2005),"Economics, Torts, Cause of Action, Environment, Remedies",13,na,5
A Production Theory of Pure Economic Loss [article],"Rhee, Robert J. (Cited 400 times)",1524,"Northwestern University Law Review, Vol. 104, Issue 1 (2010), pp. 49-104",104 Nw. U. L. Rev. 49 (2010),"Economics, Jurisprudence, Torts, Insurance, Insurance Law, Liability, Liability Insurance, Remedies",11,na,34
"Corporate Ethics, Agency, and the Theory of the Firm [article]","Rhee, Robert J. (Cited 400 times)",1524,"Journal of Business & Technology Law, Vol. 3, Issue 2 (2008), pp. 309-332",3 J. Bus. & Tech. L. 309 (2008),"Agency, Ethics, Contracts, Corporations",10,na,15
"Deal Deconstructions, Case Studies, and Case Simulations: Toward Practice Readiness with New Padagogies in Teaching Business and Transactional Law [article]","Harner, Michelle M. (Cited 250 times); Rhee, Robert J. (Cited 400 times)",1524,"American University Business Law Review, Vol. 3, Issue 1 (2014), pp. 81-98",3 Am. U. Bus. L. Rev. 81 (2014),"Legal Education, Curriculum, Education, Law Students, Students",9,na,15
The Socratic Method and the Mathematical Heuristic of George Polya [article],"Rhee, Robert J. (Cited 400 times)",1524,"St. John's Law Review , Vol. 81, Issue 4 (Fall 2007), pp. 881-898",81 St. John's L. Rev. 881 (2007),"Legal Education, Education, Students",8,na,13
On Duopoly and Compensation Games in the Credit Rating Industry [article],"Rhee, Robert J. (Cited 400 times)",1524,"Northwestern University Law Review, Vol. 108, Issue 1 (Fall 2013), pp. 85-138",108 Nw. U. L. Rev. 85 (Fall 2013),"Compensation, Credit, Industry, Securities, Regulation, Banking, Financial Law",6,na,15
The Decline of Investment Banking: Preliminary Thoughts on the Evolution of the Industry 1996-2008 [article],"Rhee, Robert J. (Cited 400 times)",1524,"Journal of Business & Technology Law, Vol. 5, Issue 1 (2010), pp. 75-98",5 J. Bus. & Tech. L. 75 (2010),"Banking, Industry, Investment, Securities",6,na,16
A Financial Economic Theory of Punitive Damages [article],"Rhee, Robert J. (Cited 400 times)",1524,"Michigan Law Review, Vol. 111, Issue 1 (October 2012), pp. 33-88",111 Mich. L. Rev. 33 (2012-2013),"Damages, Economics, Punitive Damages, Torts",5,3,14
Specialization in Law and Business: A Proposal for a JD/MBL Curriculum [article],"Rhee, Robert J. (Cited 400 times)",1524,"Chapman Law Review, Vol. 17, Issue 1 (Fall 2013), pp. 37-72",17 Chap. L. Rev. 37 (2013-2014),"Legal Education, Legal Profession, Criminal Law and Procedure",4,na,4
"Probability, Policy and the Problem of Reference Class [article]","Rhee, Robert J. (Cited 400 times)",1524,"International Journal of Evidence & Proof , Vol. 11, Issue 4 (2007), pp. 286-291",11 Int'l J. Evidence & Proof 286 (2007),"Statistics, Evidence",4,na,2
Teaching LLCs through a Problem-Based Approach [notes],"Harner, Michelle M. (Cited 250 times); Rhee, Robert J. (Cited 400 times)",1524,"Washington and Lee Law Review, Vol. 71, Issue 1 (Winter 2014), pp. 489-524",71 Wash. & Lee L. Rev. 489 (2014),"Legal Education, Partnerships, Liability, Limited Liability Companies",4,na,10
Intrafirm Monitoring of Executive Compensation [article],"Rhee, Robert J. (Cited 400 times)",1524,"Vanderbilt Law Review, Vol. 69, Issue 3 (April 2016), pp. 695-760",69 Vand. L. Rev. 695 (2016),"Business Organizations, Compensation, Corporations",3,na,33
A Legal Theory of Shareholder Primacy [article],"Rhee, Robert J. (Cited 400 times)",1524,"Minnesota Law Review, Vol. 102, Issue 5 (May 2018), pp. 1951-2018",102 Minn. L. Rev. 1951 (May 2018),"Business Organizations, Economics, Business Judgment Rule, Democracy, Ethics",2,na,211
How to Prepare Students to Meet Corporate Needs [comments],"Strine, Leo E. Jr. (Cited 1757 times); Borden, Bradley T. (Cited 184 times); Rhee, Robert J. (Cited 400 times); King, Tania",1524,"Chapman Law Review, Vol. 17, Issue 1 (Fall 2013), pp. 195-214",17 Chap. L. Rev. 195 (2013-2014),"Students, Records, Age",na,na,4
Essay: Foreword [comments],"Rhee, Robert J. (Cited 400 times)",1524,"Journal of Business & Technology Law, Vol. 8, Issue 1 (2013), pp. 157-162",8 J. Bus. & Tech. L. 157 (2013),"Legal Profession, Banking, Securities, Securities Law, Liability, Limited Liability Companies",na,na,1
Corporate Short-Termism and Intertemporal Choice [article],"Rhee, Robert J. (Cited 400 times)",1524,"Washington University Law Review, Vol. 96, Issue 3 (2018), pp. 495-558",96 Wash. U. L. Rev. 495 (2018-2019),"Business Organizations, Capital Market, Stocks, Banking and Finance, Economics",na,na,24
"Tackling Arithmophobia: Teaching How to Read, Understand, and Analyze Financial Statements [article]","Williams, Paula J.; Tobin, Kris Anne; Franklin, Eric (Cited 15 times); Rhee, Robert J. (Cited 400 times)",1524,"Transactions: The Tennessee Journal of Business Law, Vol. 14, Issue 3 (2013), pp. 341-360",14 Transactions: Tenn. J. Bus. L. 341 (2012-2013),"Law Students, Literacy, Students, Curriculum, Accounting",na,na,14
