Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
What is a Sanctuary [article],"Villazor, Rose Cuison (Cited 300 times)",7799,"SMU Law Review, Vol. 61, Issue 1 (Winter 2008), pp. 133-158",61 S.M.U. L. Rev. 133 (2008),"Jurisprudence, Constitutional Law, Criminal Law and Procedure, Immigration Law, Law Enforcement, State and Local Government Law",74,na,156
"Rediscovering Oyama v. California: At the Intersection of Property, Race, and Citizenship [article]","Villazor, Rose Cuison (Cited 300 times)",7799,"Washington University Law Review, Vol. 87, Issue 5 (2010), pp. 979-1042",87 Wash. U. L. Rev. 979 (2009-2010),"Aliens, Citizenship, Foreign Ownership, Fourteenth Amendment, Immigration Law, Property, Race, Real Estate, Housing, Ballots",35,na,26
Blood Quantum Land Laws and the Race versus Political Identity Dilemma [article],"Villazor, Rose Cuison (Cited 300 times)",7799,"California Law Review, Vol. 96, Issue 3 (June 2008), pp. 801-838",96 Calif. L. Rev. 801 (2008),"Indian Law, Criminal Law and Procedure, Constitutional Law, Race and Ethnicity",34,na,75
The Other Loving: Uncovering the Federal Government's Racial Regulation of Marriage [article],"Villazor, Rose Cuison (Cited 300 times)",7799,"New York University Law Review, Vol. 86, Issue 5 (November 2011), pp. 1361-1443",86 N.Y.U. L. Rev. 1361 (2011),"Domestic Relations, Government, Law and Society, Marriage, Regulation, War",32,na,15
Sanctuary Cities and Local Citizenship [article],"Villazor, Rose Cuison (Cited 300 times)",7799,"Fordham Urban Law Journal, Vol. 37, Issue 2 (April 2010), pp. 573-598",37 Fordham Urb. L.J. 573 (2010),"Citizenship, Immigration Law, Politics",26,na,332
The Undocumented Closet [article],"Villazor, Rose Cuison (Cited 300 times)",7799,"North Carolina Law Review, Vol. 92, Issue 1 (December 2013), pp. 1-74",92 N.C. L. Rev. 1 (December 2013),"Immigration Law, Law and Society, Same-Sex Marriage, Sexuality and the Law, Civil Rights, Education, International Law",26,na,52
"Community Lawyering: An Approach to Addressing Inequalities in Access to Health Care for Poor, of Color and Immigrant Communities [article]","Villazor, Rose Cuison (Cited 300 times)",7799,"New York University Journal of Legislation and Public Policy, Vol. 8, Issue 1 (2004), pp. 35-62",8 N.Y.U. J. Legis. & Pub. Pol'y 35 (2004-2005),"Health, Poverty Law, Employment Practice, Labor Law",24,na,11
Sanctuary Policies & Immigration Federalism: A Dialectic Analysis [article],"Gulasekarem, Pratheepan (Cited 23 times); Villazor, Rose Cuison (Cited 300 times)",7799,"Wayne Law Review, Vol. 55, Issue 4 (Winter 2009), pp. 1683-1724",55 Wayne L. Rev. 1683 (2009),"Criminal Law and Procedure, Immigration Law, State and Local Government Law, Constitutional Law",23,1,70
Chae Chan Ping v. United States: Immigration as Property [article],"Villazor, Rose Cuison (Cited 300 times)",7799,"Oklahoma Law Review, Vol. 68, Issue 1 (Fall 2015), pp. 137-164",68 Okla. L. Rev. 137 (2015-2016),"Property, States, Human Rights, Human Rights Law, Legal History, Supreme Court of the United States",7,na,18
American Nationals and Interstitial Citizenship [article],"Villazor, Rose Cuison (Cited 300 times)",7799,"Fordham Law Review, Vol. 85, Issue 4 (March 2017), pp. 1673-1724",85 Fordham L. Rev. 1673 (2016-2017),"Citizenship, Immigration Law, Legal History, Politics, Children, Parents, Sex, Fourteenth Amendment",6,na,28
