Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Probably - Understanding Tax Law's Uncertainty [article],"Lawsky, Sarah B. (Cited 170 times)",982,"University of Pennsylvania Law Review, Vol. 157, Issue 4 (April 2009), pp. 1017-1074",157 U. Pa. L. Rev. 1017 (2008-2009),"Economics, Taxation-Federal Income, Law and Economics, Antitrust",42,na,13
On the Edge: Declining Marginal Utility and Tax Policy [article],"Lawsky, Sarah B. (Cited 170 times)",982,"Minnesota Law Review, Vol. 95, Issue 3 (2011), pp. 904-952",95 Minn. L. Rev. 904 (2010-2011),"Economics, Tax Policy, Taxation-Federal Income, Death, Wrongful Death",27,na,17
Modeling Uncertainty in Tax Law [article],"Lawsky, Sarah B. (Cited 170 times)",982,"Stanford Law Review, Vol. 65, Issue 2 (February 2013), pp. 241-278",65 Stan. L. Rev. 241 (February 2013),"Economics, Practice and Procedure, Banking, International Banking",23,na,25
Fairly Random: On Compensating Audited Taxpayers [article],"Lawsky, Sarah B. (Cited 170 times)",982,"Connecticut Law Review, Vol. 41, Issue 1 (November 2008), pp. 161-210",41 Conn. L. Rev. 161 (2008-2009),"Remedies, Taxation-Federal Income, Malpractice, Law and Society",22,na,2
A Nineteenth Amendment Defense of the Violence against Women Act [notes],"Lawsky, Sarah B. (Cited 170 times)",982,"Yale Law Journal, Vol. 109, Issue 4 (2000), pp. 783-816",109 Yale L.J. 783 (2000),"Criminal Law and Procedure, Violence, Women, Commerce, Commerce Clause, States, Civil Rights",22,na,7
Money for Nothing: Charitable Deductions for Microfinance Lenders [article],"Lawsky, Sarah B. (Cited 170 times)",982,"SMU Law Review, Vol. 61, Issue 4 (Fall 2008), pp. 1525-1556",61 S.M.U. L. Rev. 1525 (2008),"Banking, Money, Taxation-Federal Income, Oil, Gas and Mineral",13,na,1
How Tax Models Work [article],"Lawsky, Sarah B. (Cited 170 times)",982,"Boston College Law Review, Vol. 53, Issue 5 (November 2012), pp. 1657-1694",53 B.C. L. Rev. 1657 (2012),"Climate Change, Administrative Law, Agency, Economics, Evidence",11,na,6
Formalizing the Code [article],"Lawsky, Sarah B. (Cited 170 times)",982,"Tax Law Review, Vol. 70, Issue 2 (Winter 2017), pp. 377-ii",70 Tax L. Rev. 377 (2016-2017),"Sales, Commercial Code, Uniform Commercial Code",7,na,34
Sum of Its Parts: Reforming Charitable Donations of Partial Interests [article],"Lawsky, Sarah B. (Cited 170 times)",982,"Tax Law Review, Vol. 64, Issue 1 (Fall 2010), pp. 37-62",64 Tax L. Rev. 37 (2010-2011),"Interest, Property",1,na,6
A Logic for Statutes [article],"Lawsky, Sarah B. (Cited 170 times)",982,"Florida Tax Review, Vol. 21, Issue 1 (2017), pp. 60-80",21 Fla. Tax Rev. 60 (2017-2018),"Jurisprudence, Legal Analysis and Writing, Legislation, Statutes, Evidence, Science and Technology",na,na,24
The Problem of Line-Drawing [comments],"Lawsky, Sarah B. (Cited 170 times)",982,"Iowa Law Review Bulletin, Vol. 98, pp. 42-54",98 Iowa L. Rev. Bull. 42 (2013),"Marriage, Taxation-Federal Income, State and Local Government Law, Tax Policy",na,na,1
