Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Fairness versus Efficiency in Environmental Law [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Ecology Law Quarterly, Vol. 31, Issue 2 (2004), pp. 303-402",31 Ecology L.Q. 303 (2004),"Administration Law, Torts, Criminal Law and Procedure, Remedies",33,na,17
Ecosystem Management and the 1996 Sustainable Fisheries Act [article],"Hsu, Shi-Ling (Cited 291 times); Wilen, James E. (Cited 40 times)",5670,"Ecology Law Quarterly, Vol. 24, Issue 4 (1997), pp. 799-812",24 Ecology L.Q. 799 (1997),"Fisheries, Conservation, Regulation, Law of the Sea",33,na,10
A Realistic Evaluation of Climate Change Litigation through the Lens of a Hypothetical Lawsuit [notes],"Hsu, Shi-Ling (Cited 291 times)",5670,"University of Colorado Law Review , Vol. 79, Issue 3 (2008), pp. 701-766",79 U. Colo. L. Rev. 701 (2008),"Climate Change, Defendants, Science and Technology, Constitutional Law, Environment, Jurisdiction, Torts",31,na,70
What Is a Tragedy of the Commons - Overfishing and the Campaign Spending Problem [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Albany Law Review, Vol. 69, Issue 1 (2005), pp. 75-138",69 Alb. L. Rev. 75 (2005-2006),"Politics, Natural Resources Law, Climate Change, Environment, Land Use Planning, Transportation Law",29,na,74
A Two-Dimensional Framework for Analyzing Property Rights Regimes [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"U.C. Davis Law Review, Vol. 36, Issue 4 (April 2003), pp. 813-894",36 U.C. Davis L. Rev. 813 (2002-2003),"Jurisprudence, Property, Land Use Planning, Natural Resources Law",28,1,6
The Identifiability Bias in Environmental Law [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Florida State University Law Review, Vol. 35, Issue 2 (Winter 2008), pp. 433-504",35 Fla. St. U. L. Rev. 433 (Winter 2008),"Environmental Law, Judicial Review, Drugs",22,na,4
A Game-Theoretic Approach to Regulatory Negotiation and a Framework for Empirical Analysis [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Harvard Environmental Law Review, Vol. 26, Issue 1 (2002), pp. 33-108",26 Harv. Envtl. L. Rev. 33 (2002),"Administration Law, Government, Regulation",21,na,10
Litigating Canada-U.S. Transboundary Harm: International Environmental Lawmaking and the Threat of Extraterritorial Reciprocity [article],"Hsu, Shi-Ling (Cited 291 times); Parrish, Austen L. (Cited 340 times)",5670,"Virginia Journal of International Law, Vol. 48, Issue 1 (Fall 2007), pp. 1-64",48 Va. J. Int'l L. 1 (2007-2008),"Environment, Environmental Protection, Jurisdiction, Constitutional Law, Constitutions, Democracy, International Law",20,na,23
Reducing Emissions from the Electricity Generation Industry: Can We Finally Do It [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Tulane Environmental Law Journal, Vol. 14, Issue 2 (Summer 2001), pp. 427-462",14 Tul. Envtl. L.J. 427 (2000-2001),"Electricity, Industry, Oil, Gas and Mineral, Power Plants, Technology, Clean Energy, Climate Change, Regulation",19,na,2
A Prediction Market for Climate Outcomes [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"University of Colorado Law Review, Vol. 83, Issue 1 (2011), pp. 179-256",83 U. Colo. L. Rev. 179 (2011),"International Trade, Climate Change, Regulation, Taxation",14,na,12
"Capital Rigidities, Latent Externalities [article]","Hsu, Shi-Ling (Cited 291 times)",5670,"Houston Law Review, Vol. 51, Issue 3 (Winter 2014), pp. 719-780",51 Hous. L. Rev. 719 (2013-2014),"Economics, Jurisprudence, Employment, Minimum Wage, Labor",5,na,8
Regulating Greenhouse Gases in Canada: Constitutional and Policy Dimensions [article],"Hsu, Shi-Ling (Cited 291 times); Elliot, Robin (Cited 70 times)",5670,"McGill Law Journal, Vol. 54, Issue 3 (Autumn 2009), pp. 463-516",54 McGill L. J. 463 (2009),"Greenhouse Gases, Climate Change, Regulation, States",5,na,20
A Game-Theoretic Model of International Climate Change Negotiations [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"New York University Environmental Law Journal, Vol. 19, Issue 1 (2011), pp. 14-86",19 N.Y.U. Envtl. L.J. 14 (2011-2012),"International Law, Economics, Environmental Law, Legislation",5,na,9
The Accidental Postmodernists: A New Era of Skepticism in Environmental Policy [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Vermont Law Review, Vol. 39, Issue 1 (Fall 2014), pp. 27-88",39 Vt. L. Rev. 27 (2014-2015),"Economics, Environment, Environmental Policy, Jurisprudence, Administration Law, Politics",5,na,5
What's Old is New: The Problem with New Source Review [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Regulation, Vol. 29, Issue 1 (Spring 2006), pp. 36-43",29 Regulation 36 (Spring 2006),"Administration Law, Economics, Environment, Law and Economics, Regulation, Maintenance",4,na,2
A Conservative Approach to Environmental Law: Be Data Driven [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Duke Environmental Law & Policy Forum, Vol. 23, Issue 2 (Spring 2013), pp. 281-290",23 Duke Envtl. L. & Pol'y F. 281 (Spring 2013),"Environmental Law, Environmental Policy, Politics, Climate Change, Dispute Resolution, Law of the Sea",3,na,2
Environmental Law without Congress Symposium: Introduction [comments],"Hsu, Shi-Ling (Cited 291 times)",5670,"Journal of Land Use & Environmental Law, Vol. 30, Issue 1 (Fall 2014), pp. 1-14",30 J. Land Use & Envtl. L. 1 (2014-2015),"Administration Law, Environment, Revolution, Judges, Legislation, Comparative Law, European Union, Regulation, States",3,na,3
International Trade and Investment Law and Carbon Management Technologies [article],"Bankes, Nigel (Cited 110 times); Boute, Anatole (Cited 23 times); Charnovitz, Steve (Cited 1266 times); Hsu, Shi-Ling (Cited 291 times)",5670,"Natural Resources Journal, Vol. 53, Issue 2 (Summer 2013), pp. 285-324",53 Nat. Resources J. 285 (2013),"International Law, International Trade, Law of the Sea",3,na,13
"Scale Economies, Scale Externalities: Hog Farming and the Changing American Agricultural Industry [article]","Hsu, Shi-Ling (Cited 291 times)",5670,"Oregon Law Review, Vol. 94, Issue 1 (2015), pp. 23-66",94 Or. L. Rev. 23 (2015-2016),"Agriculture Law, Economics, Environment, Industry, Trade Regulation, Subsidies, Agriculture",3,na,22
A Complete Analysis of Carbon Taxation: Considering the Revenue Side [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Buffalo Law Review, Vol. 65, Issue 4 (August 2017), pp. 857-[vi]",65 Buff. L. Rev. 857 (2017),"Economics, Environmental Law, Taxation, Oil, Gas, and Mineral Law, Tax Policy, Regulation",1,na,31
A Cost-Benefit Analysis of Sugary Drink Regulation in New York City [article],"Hsu, Shi-Ling (Cited 291 times)",5670,"Journal of Food Law and Policy, Vol. 10, Issue 1 (Spring 2014), pp. 73-106",10 J. Food L. & Pol'y 73 (2014),"Health Law, Regulation, State and Local Government Law, Food and Drug Law, Administration Law, Administrative Agencies, Home Rule",1,na,4
