Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Tax Compliance and Norm Formation under High-Penalty Regimes [article],"Morse, Susan C. (Cited 112 times)",5913,"Connecticut Law Review, Vol. 44, Issue 3 (February 2012), pp. 675-736",44 Conn. L. Rev. 675 (February 2012),"Law and Society, Jurisprudence, Economics",32,na,22
Revisiting Global Formulary Apportionment [article],"Morse, Susan C. (Cited 112 times)",5913,"Virginia Tax Review, Vol. 29, Issue 4 (Spring 2010), pp. 593-644",29 Va. Tax Rev. 593 (2009-2010),"European Union, Corporations, Taxation",24,na,34
Startup Ltd.: Tax Planning and Initial Incorporation Location [article],"Morse, Susan C. (Cited 112 times)",5913,"Florida Tax Review, Vol. 14, Issue 8 (2013), pp. 319-360",14 Fla. Tax Rev. 319 (2013),"Corporations, Incorporation, Jurisdiction, Intellectual Property Law, Banking",14,na,31
"Ask for Help, Uncle Sam: The Future of Global Tax Reporting [article]","Morse, Susan C. (Cited 112 times)",5913,"Villanova Law Review, Vol. 57, Issue 3 (2012), pp. 529-550",57 Vill. L. Rev. 529 (2012),"Taxation-Federal, Corporations, Taxation, Banking",14,na,19
"Safe Harbors, Sure Shipwrecks [article]","Morse, Susan C. (Cited 112 times)",5913,"U.C. Davis Law Review, Vol. 49, Issue 4 (April 2016), pp. 1385-1430",49 U.C.D. L. Rev. 1385 (2015-2016),"Banking, Bankruptcy, Contracts, Legal History, Securities, Bankruptcy Law",10,na,19
The Transfer Pricing Regs Need a Good Edit [article],"Morse, Susan C. (Cited 112 times)",5913,"Pepperdine Law Review, Vol. 40, Special Issue (2013), pp. 1415-1440",40 Pepp. L. Rev. 1415 (2012-2013),"Taxation, Intellectual Property, Intellectual Property Law, Property, Economics, International Trade, Multinational Corporations, Taxation: International",7,na,12
A Corporate Offshore Profits Transition Tax [article],"Morse, Susan C. (Cited 112 times)",5913,"North Carolina Law Review, Vol. 91, Issue 2 (January 2013), pp. 549-605",91 N.C. L. Rev. 549 (2012-2013),"Corporations, Foreign Corporations, Technology, Dividends, Repatriation",6,na,11
Innovation and Taxation at Start-up Firms [article],"Morse, Susan C. (Cited 112 times); Allen, Eric J. (Cited 4 times)",5913,"Tax Law Review, Vol. 69, Issue 3 (Spring 2016), pp. 357-388",69 Tax L. Rev. 357 (2015-2016),"Taxation, Business Organizations, Economics, Tax Policy, Tax Incentives",4,na,48
Tax Anti-Avoidance Law in Australia and the United States [article],"Morse, Susan C. (Cited 112 times); Deutsch, Robert (Cited 1 times)",5913,"International Lawyer, Vol. 49, Issue 2 (Fall 2015), pp. 111-148",49 Int'l Law. 111 (2015-2016),"Comparative Law, States, Tax Policy, General",1,na,5
Regulating by Example [article],"Morse, Susan C. (Cited 112 times); Osofsky, Leigh (Cited 77 times)",5913,"Yale Journal on Regulation, Vol. 35, Issue 1 (Winter 2018), pp. 127-180",35 Yale J. on Reg. 127 (2018),"Consumer Protection Law, Marketing, Trade Regulation, Regulation, Banking and Finance, Tax Policy",1,na,78
"Tax Policies, Public Opinions [reviews]","Morse, Susan (Cited 112 times)",5913,"Jotwell: The Journal of Things We Like (Lots), Vol. 2009, pp. [3]-[4]",2009 Jotwell: J. Things We Like [3] (2009),"Death, Politics, Taxation-Federal, Sociology, Taxation",na,na,na
Corporate Tax Reform in Theory and in Politics [reviews],"Morse, Susan (Cited 112 times)",5913,"Jotwell: The Journal of Things We Like (Lots), Vol. 2012, pp. [294]-[296]",2012 Jotwell: J. Things We Like [294] (2012),"Politics, Investment, Biography, Business Organizations, Securities",na,na,na
There's Math for That - Delta Value and the Constructive Sale Rules [reviews],"Morse, Susan (Cited 112 times)",5913,"Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [9]-[11]",2014 Jotwell: J. Things We Like [9] (2014),"International Law, Water, Jurisdiction, Natural Resources Law",na,na,na
Non-U.S. Acquirers: Clients for U.S. Targets' Locked-out Earnings [reviews],"Morse, Susan (Cited 112 times)",5913,"Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [403]-[404]",2015 Jotwell: J. Things We Like [403] (2015),"States, Labor, Loans",na,na,na
When the Life of the Law Is Logic [reviews],"Morse, Susan (Cited 112 times)",5913,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-2",2017 Jotwell: J. Things We Like 1 (2017),"Jurisprudence, Legal Analysis and Writing, Legislation, Statutes, Interest, Persons",na,na,6
Obamacare and Lower-Income Workers [reviews],"Morse, Susan (Cited 112 times)",5913,"Jotwell: The Journal of Things We Like (Lots), Vol. 2013, pp. [245]-[247]",2013 Jotwell: J. Things We Like [245] (2013),"Congress, Health, Health Insurance, Insurance, Tax Policy",na,na,na
International Cooperation and the 2017 Tax Act [article],"Morse, Susan C. (Cited 112 times)",5913,"Yale Law Journal Forum, Vol. 128, pp. 362-382",128 Yale L.J. F. 362 (2018-2019),"Corporations, Multinational Corporations, Taxation-Federal Income, Environment",na,na,na
Morality and the 2017 Tax Act [reviews],"Morse, Susan (Cited 112 times)",5913,"Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-2",2019 Jotwell: J. Things We Like 1 (2019),"Estates, Investment, Retirement, Trusts, Compensation",na,na,na
