Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Asymmetrical Regulation: Risk, Preemption, and the Floor/Ceiling Distinction [article]","Buzbee, William W. (Cited 1151 times)",6840,"New York University Law Review, Vol. 82, Issue 6 (December 2007), pp. 1547-1619",82 N.Y.U. L. Rev. 1547 (2007),"Jurisdiction, Regulation, Federalism",159,na,30
Recognizing the Regulatory Commons: A Theory of Regulatory Gaps [article],"Buzbee, William W. (Cited 1151 times)",6840,"Iowa Law Review, Vol. 89, Issue 1 (October 2003), pp. 1-64",89 Iowa L. Rev. 1 (2003-2004),"Administration Law, Economics, Environment, Legislation, Politics, Oil and Gas, Oil, Gas and Mineral, Climate Change",139,na,36
Legislative Record Review [article],"Buzbee, William W. (Cited 1151 times); Schapiro, Robert A. (Cited 866 times)",6840,"Stanford Law Review, Vol. 54, Issue 1 (October 2001), pp. 87-162",54 Stan. L. Rev. 87 (2001-2002),"Administration Law, Legal Profession, Legislation, Congress, Constitutional Law, Statutes",111,na,12
"Urban Sprawl, Federalism, and the Problem of Institutional Complexity [article]","Buzbee, William W. (Cited 1151 times)",6840,"Fordham Law Review, Vol. 68, Issue 1 (October 1999), pp. 57-136",68 Fordham L. Rev. 57 (1999-2000),"Federalism, Land Use Planning, Fair Housing, Housing, Law and Society",109,na,33
The One-Congress Fiction in Statutory Interpretation [article],"Buzbee, William W. (Cited 1151 times)",6840,"University of Pennsylvania Law Review, Vol. 149, Issue 1 (November 2000), pp. 171-250",149 U. Pa. L. Rev. 171 (2000-2001),"Congress, Legislation, Statutory Interpretation, Administration Law",68,1,5
Contextual Environmental Federalism [comments],"Buzbee, William W. (Cited 1151 times)",6840,"New York University Environmental Law Journal, Vol. 14, Issue 1 (2005), pp. 108-129",14 N.Y.U. Envtl. L.J. 108 (2005-2006),"Federalism, Brownfields",58,na,26
Administrative Agency Intracircuit Nonacquiescence [notes],"Buzbee, William Wade (Cited 1151 times)",6840,"Columbia Law Review, Vol. 85, Issue 3 (April 1985), pp. 582-610",85 Colum. L. Rev. 582 (April 1985),"Agency, Courts, Rule of Law, Social Security",55,4,4
Unidimensional Federalism: Power and Perspective in Commerce Clause Adjudication [article],"Schapiro, Robert A. (Cited 866 times); Buzbee, William W. (Cited 1151 times)",6840,"Cornell Law Review, Vol. 88, Issue 5 (July 2003), pp. 1199-1277",88 Cornell L. Rev. 1199 (2002-2003),"Commerce, Commerce Clause, Constitutional Law, Federalism, Jurisdiction, Congress, Endangered Species, Natural Resources Law, Economics",51,na,11
"Brownfields, Environmental Federalism, and Institutional Determinism [article]","Buzbee, William W. (Cited 1151 times)",6840,"William and Mary Environmental Law and Policy Review, Vol. 21, Issue 1 (Winter 1997), pp. 1-68",21 Wm. & Mary. Envtl. L. & Pol'y Rev. 1 (1997),"Brownfields, Federalism, Commercial Law, Liability, Redevelopment, Environmental Justice",47,na,18
"Remembering Repose: Voluntary Contamination Cleanup Approvals, Incentives, and the Costs of Interminable Liability [article]","Buzbee, William W. (Cited 1151 times)",6840,"Minnesota Law Review, Vol. 80, Issue 1 (November 1995), pp. 35-122",80 Minn. L. Rev. 35 (1995-1996),"Costs, Hazardous Waste, Liability, Government, Legislation, States",47,na,2
"Interaction's Promise: Preemption Policy Shifts, Risk Regulation, and Experimentalism Lessons [article]","Buzbee, William W. (Cited 1151 times)",6840,"Emory Law Journal , Vol. 57, Issue 1 (2007), pp. 145-166",57 Emory L.J. 145 (2007-2008),"Regulation, Jurisdiction, Constitutional Law, Environment",41,na,8
"Expanding the Zone, Tilting the Field: Zone of Interests and Article III Standing Analysis after Bennett v. Spear [article]","Buzbee, William W. (Cited 1151 times)",6840,"Administrative Law Review, Vol. 49, Issue 4 (Fall 1997), pp. 763-824",49 Admin. L. Rev. 763 (1997),"Standing, Interest, Constitutional Law",37,na,8
Standing and the Statutory Universe [article],"Buzbee, William W. (Cited 1151 times)",6840,"Duke Environmental Law & Policy Forum, Vol. 11, Issue 2 (Spring 2001), pp. 247-286",11 Duke Envtl. L. & Pol'y F. 247 (Spring 2001),"Standing, Citizen Suit, Practice and Procedure, Common Law",31,na,4
"Preemption Hard Look Review, Regulatory Interaction, and the Quest for Stewardship and Intergenerational Equity [article]","Buzbee, William W. (Cited 1151 times)",6840,"George Washington Law Review, Vol. 77, Issues 5-6 (September 2009), pp. 1521-1581",77 Geo. Wash. L. Rev. 1521 (2008-2009),"Administration Law, Equity, Judges, Regulation, Age, Practice and Procedure, Standing",30,na,14
Sprawl's Dynamics: A Comparative Institutional Analysis Critique [article],"Buzbee, William W. (Cited 1151 times)",6840,"Wake Forest Law Review, Vol. 35, Issue 3 (Fall 2000), pp. 509-538",35 Wake Forest L. Rev. 509 (2000),"Administration Law, Land Use Planning, Banking, States, Takings",30,na,3
"The Regulatory Fragmentation Continuum, Westway and the Challenges of Regional Growth [article]","Buzbee, William W. (Cited 1151 times)",6840,"Journal of Law & Politics, Vol. 21, Issues 2 & 3 (Spring-Summer 2005), pp. 323-364",21 J.L. & Pol. 323 (2005),"Administration Law, Land Use Planning, Environment, Courts",23,na,8
Sprawl's Political-Economy and the Case for a Metropolitan Green Space Initiative [article],"Buzbee, William W. (Cited 1151 times)",6840,"Urban Lawyer, Vol. 32, Issue 3 (Summer 2000), pp. 367-390",32 Urb. Law. 367 (2000),"Land Use Planning, Banking, Administration Law",22,na,4
Clean Air Act Dynamism and Disappointments: Lessons for Climate Legislation to Prompt Innovation and Discourage Inertia [article],"Buzbee, William W. (Cited 1151 times)",6840,"Washington University Journal of Law and Policy, Vol. 32, Issue 1 (2010), pp. 33-78",32 Wash. U. J. L. & Pol'y 33 (2010),"Administration Law, Law and Society, Science and Technology, Economics, International Law",17,na,13
"State Greenhouse Gas Regulation, Federal Climate Change Legislation, and the Preemption Sword [article]","Buzbee, William W. (Cited 1151 times)",6840,"San Diego Journal of Climate & Energy Law, Vol. 1, pp. 23-62",1 San Diego J. Climate & Energy L. 23 (2009),"Climate Change, Legislation, Regulation, History, State Action, Environment",14,na,5
Regulatory Reform or Statutory Muddle: The Legislative Mirage of Single Statute Regulatory Reform [article],"Buzbee, William W. (Cited 1151 times)",6840,"New York University Environmental Law Journal, Vol. 5, Issue 2 (1996), pp. 298-381",5 N.Y.U. Envtl. L.J. 298 (1996),"Administration Law, Administrative Procedure, Legislation, Procedure, Government, Land Use",14,na,na
Climate Regulation under the Clean Air Act in the Wake of Utility Air Regulatory Group v. EPA [article],"Buzbee, William W. (Cited 1151 times); Carlson, Ann E. (Cited 525 times); Herzog, Megan M. (Cited 17 times); Freeman, Jody (Cited 2504 times); Lazarus, Richard J. (Cited 2133 times); McGarity, Thomas O. (Cited 5228 times); Oren, Craig N. (Cited 186 times); Revesz, Richard L. (Cited 3412 times); Segal, Cecilia",6840,"Harvard Environmental Law Review, Vol. 39, Issue 1 (2015), pp. 1-8",39 Harv. Envtl. L. Rev. 1 (2015),"Regulation, Environmental Law, Industry",6,na,15
