Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Inferences from Litigated Cases [article],"Klerman, Daniel (Cited 300 times); Lee, Yoon-Ho Alex (Cited 59 times)",8416,"Journal of Legal Studies, Vol. 43, Issue 2 pt. 1 (June 2014), pp. 209-248",Full Text Not Currently Available in HeinOnline,"Practice and Procedure, Evidence, Government",18,na,na
The Efficiency Criterion for Securities Regulation: Investor Welfare or Total Surplus [article],"Lee, Yoon-Ho Alex (Cited 59 times)",8416,"Arizona Law Review, Vol. 57, Issue 1 (2015), pp. 85-128",57 Ariz. L. Rev. 85 (2015),"Regulation, Securities, Administration Law, Prices, Environmental Law",12,na,19
An Options Approach to Agency Rulemaking [comments],"Lee, Yoon-Ho Alex (Cited 59 times)",8416,"Administrative Law Review, Vol. 65, Issue 4 (Fall 2013), pp. 881-944",65 Admin. L. Rev. 881 (2013),"Agency, Economics, Evidence, Corporations, Securities",11,na,5
The Economics of Regulatory Reform: Termination of Airline Computer Reservation System Rules [article],"Alexander, Cindy R. (Cited 124 times); Lee, Yoon-Ho Alex (Cited 59 times)",8416,"Yale Journal on Regulation, Vol. 21, Issue 2 (Summer 2004), pp. 369-440",21 Yale J. on Reg 369 (2004),"Administration Law, Air and Space Law, Economics, Air Law and Aviation, Computer Law, Deregulation, Industry, Trade Regulation",6,na,6
Beyond Agency Core Mission [article],"Lee, Yoon-Ho Alex (Cited 59 times)",8416,"Administrative Law Review, Vol. 68, Issue 4 (Fall 2016), pp. 551-604",68 Admin. L. Rev. 551 (2016),"Agency, Health, Public Health",4,na,17
Consumer Mistakes in the Mortgage Market: Choosing Unwisely versus Not Switching Wisely [article],"Lee, Yoon-Ho Alex (Cited 59 times); Ko, K. Jeremy (Cited 3 times)",8416,"University of Pennsylvania Journal of Business Law, Vol. 14, Issue 2 (Winter 2012), pp. 417-462",14 U. Pa. J. Bus. L. 417 (2011-2012),"Consumer Protection Law, Foreclosure, Settlements, Brokers",3,na,6
Criminal Jurisdiction under the U.S.-Korea Status of Forces Agreement: Problems to Proposals [article],"Lee, Yoon-Ho Alex (Cited 59 times)",8416,"Journal of Transnational Law & Policy, Vol. 13, Issue 1 (Fall 2003), pp. 213-250",13 J. Transnat'l L. & Pol'y 213 (2003-2004),"Criminal Law and Procedure, Military Law, Jurisdiction, Social Welfare Law",2,na,6
Non-Prosecution of Corporations: Toward a Model of Cooperation and Leniency [article],"Alexander, Cindy R. (Cited 124 times); Lee, Yoon-Ho Alex (Cited 59 times)",8416,"North Carolina Law Review, Vol. 96, Issue 3 (March 2018), pp. 859-902",96 N.C. L. Rev. 859 (2017-2018),"Business Organizations, Dispute Resolution, Criminal Law and Procedure, Corporations, Law Enforcement and Corrections",1,na,47
Litigation and Selection with Correlated Two-Sided Incomplete Information [article],"Klerman, Daniel (Cited 300 times); Lee, Yoon-Ho Alex (Cited 59 times); Liu, Lawrence",8416,"American Law and Economics Review, Vol. 20, Issue 2 (Fall 2018), pp. 382-459",Full Text Not Currently Available in HeinOnline,"Law and Society, Legal Profession, Discovery, Practice and Procedure",na,na,na
Law Teaching as a Christian Experience [article],"Lee, Yoon-Ho Alex (Cited 59 times)",8416,"Journal of Christian Legal Thought, Vol. 5, Issue 1 (Summer 2015), pp. 6-8",5 J. Christian Legal Thought 6 (2015),"Legal Education, Reproduction, Defendants",na,na,1
