Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Proportionality as a Principle of Limited Government [article],"Ristroph, Alice (Cited 465 times)",0,"Duke Law Journal, Vol. 55, Issue 2 (November 2005), pp. 263-332",55 Duke L.J. 263 (2005-2006),"Government, Cruel and Unusual Punishment, Punishment, International Law: History, Jurisprudence, Military, War and Peace",75,na,38
Disestablishing the Family [article],"Ristroph, Alice (Cited 465 times); Murray, Melissa (Cited 652 times)",0,"Yale Law Journal , Vol. 119, Issue 6 (April 2010), pp. 1236-1279",119 Yale L. J. 1236 (2009-2010),"Government, Neutrality, Religion",73,na,27
"Desert, Democracy, and Sentencing Reform [notes]","Ristroph, Alice (Cited 465 times)",0,"Journal of Criminal Law and Criminology, Vol. 96, Issue 4 (Summer 2006), pp. 1293-1352",96 J. Crim. L. & Criminology 1293 (2005-2006),"Democracy, Jurisprudence, Sentencing, Punishment",55,na,31
Sexual Punishments [article],"Ristroph, Alice (Cited 465 times)",0,"Columbia Journal of Gender and Law, Vol. 15, Issue 1 (2006), pp. 139-184",15 Colum. J. Gender & L. 139 (2006),"Rape, Comparative Law, Law Enforcement, Sexuality and the Law, States, Victims",54,5,53
Respect and Resistance in Punishment Theory [article],"Ristroph, Alice (Cited 465 times)",0,"California Law Review, Vol. 97, Issue 2 (April 2009), pp. 601-632",97 Calif. L. Rev. 601 (April 2009),"Criminal Law, Jurisprudence, Punishment, Sovereignty",32,na,15
Criminal Law in the Shadow of Violence [article],"Ristroph, Alice (Cited 465 times)",0,"Alabama Law Review, Vol. 62, Issue 3 (2011), pp. 571-622",62 Ala. L. Rev. 571 (2010-2011),"Criminal Law, Law and Society, Violence, Evidence, States",29,na,47
State Intentions and the Law of Punishment [article],"Ristroph, Alice (Cited 465 times)",0,"Journal of Criminal Law and Criminology, Vol. 98, Issue 4 (Summer 2008), pp. 1353-1406",98 J. Crim. L. & Criminology 1353 (2007-2008),"Criminal Act, Strikes, Three Strikes",29,na,3
How (Not) to Think Like a Punisher [article],"Ristroph, Alice (Cited 465 times)",0,"Florida Law Review , Vol. 61, Issue 4 (September 2009), pp. 727-750",61 Fla. L. Rev. 727 (2009),"Model Penal Code, Sentencing, Sanctions, Punishment",24,1,11
"Hope, Imprisonment, and the Constitution [comments]","Ristroph, Alice (Cited 465 times)",0,"Federal Sentencing Reporter, Vol. 23, Issue 1 (October 2010), pp. 75-78",23 Fed. Sent'g Rep. 75 (2010-2011),"Imprisonment, Life Without Parole, Parole, Eighth Amendment",16,na,13
Regulation or Resistance: A Counter-Narrative of Constitutional Criminal Procedure [article],"Ristroph, Alice (Cited 465 times)",0,"Boston University Law Review, Vol. 95, Issue 5 (October 2015), pp. 1555-1618",95 B.U. L. Rev. 1555 (2015),"Criminal Law, Criminal Procedure, Jurisprudence, Procedure, Regulation, Sentencing, Due Process, States",14,na,14
Third Wave Legal Moralism [article],"Ristroph, Alice (Cited 465 times)",0,"Arizona State Law Journal, Vol. 42, Issue 4 (Winter 2010/2011), pp. 1151-1172",42 Ariz. St. L.J. 1151 (2010-2011),"Punishment, Criminal Law, Revolution, Jurisprudence, Law and Society",13,na,27
Is Law - Constitutional Crisis and Existential Anxiety [article],"Ristroph, Alice (Cited 465 times)",0,"Constitutional Commentary, Vol. 25, Issue 3 (Summer 2009), pp. 431-460",25 Const. Comment. 431 (2008-2009),"Age, Constitutions, Constitutional Law, Jurisprudence",10,na,6
The Constitution of Police Violence [article],"Ristroph, Alice (Cited 465 times)",0,"UCLA Law Review, Vol. 64, Issue 5 (August 2017), pp. 1182-1245",64 UCLA L. Rev. 1182 (August 2017),"Criminal Law, Law Enforcement, Police, Race, Violence, Deadly Force",9,na,60
Professors Strangelove [reviews],"Ristroph, Alice (Cited 465 times)",0,"Green Bag. An Entertaining Journal of Law. (Second Series), Vol. 11, Issue 2 (Winter 2008), pp. 245-260",Full Text Not Currently Available in HeinOnline,"Constitutional Law, President/Executive Department, Politics, Jurisprudence, Legislation",na,na,na
Just Violence [article],"Ristroph, Alice (Cited 465 times)",0,"Arizona Law Review, Vol. 56, Issue 4 (2014), pp. 1017-1064",56 Ariz. L. Rev. 1017 (2014),"Violence, Criminal Law, Jurisprudence, Punishment, Statutes",7,na,14
Sovereignty and Subversion [article],"Ristroph, Alice (Cited 465 times)",0,"Virginia Law Review, Vol. 101, Issue 4 (June 2015), pp. 1029-1054",101 Va. L. Rev. 1029 (2015),"Sovereignty, War",5,na,12
Covenants for the Sword [article],"Ristroph, Alice (Cited 465 times)",0,"University of Toronto Law Journal , Vol. 61, Issue 4 (Fall 2011), pp. 657-690",61 U. Toronto L.J. 657 (Fall 2011),"Covenants, Sovereignty, Police, Torture",4,na,1
The Definitive Article [article],"Ristroph, Alice (Cited 465 times)",0,"University of Toronto Law Journal, Vol. 68, Issue 1 (Winter 2018), pp. 140-165",Full Text Not Currently Available in HeinOnline,"Jurisdiction, Constitutional Law, Crimes",na,na,na
The Thin Blue Line from Crime to Punishment [article],"Ristroph, Alice (Cited 465 times)",0,"Journal of Criminal Law and Criminology, Vol. 108, Issue 2 (Spring 2018), pp. 305-334",108 J. Crim. L. & Criminology 305 (2018),"Law Enforcement, Punishment, Criminal Law, Criminology",2,na,57
When Freedom isn't Free [article],"Ristroph, Alice (Cited 465 times)",0,"New Criminal Law Review, Vol. 14, Issue 3 (Summer 2011), pp. 468-485",14 New Crim. L. Rev. 468 (2011),"Punishment, Criminal Law, Jurisprudence, Law Enforcement",1,na,4
Farewell to the Felonry [article],"Ristroph, Alice (Cited 465 times)",0,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 53, Issue 2 (Fall 2018), pp. 563-618",53 Harv. C.R.-C.L. L. Rev. 563 (2018),"Sentencing, Legal History, Criminal Law, Death, Felony Murder, Murder",1,na,32
