Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
To Get Rich is Precarious: Regulation of Private Enterprise in the People's Republic of China [article],"Conner, Alison W. (Cited 40 times)",1983,"Journal of Chinese Law , Vol. 5, Issue 1 (Spring 1991), pp. 1-57",5 J. Chinese L. 1 (1991),"Regulation, Commercial Law, Developing Countries, Corporations, Investment",12,1,4
Training China's Early Modern Lawyers: Soochow University Law School [article],"Conner, Alison W. (Cited 40 times)",1983,"Journal of Chinese Law, Vol. 8, Issue 1 (Spring 1994), pp. 1-46",8 J. Chinese L. 1 (1994),"Legal Education, Attorneys, Bar Associations, Legal Profession, History, Legal History, Research",12,na,22
Movie Justice: The Legal System in Pre-1949 Chinese Film [article],"Conner, Alison W. (Cited 40 times)",1983,"Asian-Pacific Law & Policy Journal, Vol. 12, Issue 1 (2010), pp. 1-42",12 APLPJ 1 (2010-2011),"Divorce, Domestic Relations, Motion Pictures, Attorneys, Judges, Motion Pictures, Criminal Law, Trials",4,na,12
Don't Change Your Husband: Divorce in Early Chinese Movies [article],"Conner, Alison W. (Cited 40 times)",1983,"Connecticut Law Review, Vol. 40, Issue 5 (July 2008), pp. 1245-1260",40 Conn. L. Rev. 1245 (2007-2008),"Divorce, Domestic Relations, Motion Pictures, Attorneys, Judges, Motion Pictures",4,na,5
Commentary: Amendments to the Chinese Constitution [notes],"Conner, Alison E. W. (Cited 40 times)",1983,"Hong Kong Law Journal, Vol. 23, Part 2 (June 1993), pp. 224-229",23 Hong Kong L.J. 224 (1993),"Congress, Education Law, Standing, Economics, Politics, Jurisprudence, Rule of Law",2,na,1
Bench and Bar: Lawyers and Judges in Early Chinese Movies [article],"Conner, Alison W. (Cited 40 times)",1983,"Hong Kong Law Journal, Vol. 39, Issue 3 (2009), pp. 575-594",39 Hong Kong L.J. 575 (2009),"Attorneys, Judges, Motion Pictures, Motion Pictures, Divorce, Domestic Relations, Legal History",2,na,na
Images of Justice (and Injustice): Trials in the Movies of Xie Jin [comments],"Conner, Alison W. (Cited 40 times)",1983,"University of Hawai'i Law Review, Vol. 35, Issue 2 (Spring 2013), pp. 805-820",35 U. Haw. L. Rev. 805 (2013),"Criminal Law, Motion Pictures, Trials, Divorce, Domestic Relations, Communications Law, Privacy, Torts",1,na,9
Soochow Law School and the Shanghai Bar [article],"Conner, Alison E. W. (Cited 40 times)",1983,"Hong Kong Law Journal, Vol. 23, Part 3 (November 1993), pp. 395-411",23 Hong Kong L.J. 395 (1993),"Attorneys, Bar Associations, Legal Profession, History, Legal History, Research, Legal Education",1,na,8
Human Rights in Post-1997 Hong Kong: Still a Key Role for International Law [article],"Conner, Alison W. (Cited 40 times)",1983,"Southern Illinois University Law Journal, Vol. 22, Issue 2 (Winter 1998), pp. 307-324",22 S. Ill. U. L. J. 307 (1997-1998),"Human Rights Law, International Law: History, Civil Rights",1,na,5
How I Got the Story (and Why It Took So Long): Legal History Research in China [comments],"Conner, Alison W. (Cited 40 times)",1983,"Washington University Global Studies Law Review, Vol. 2, Issue 1 (Winter 2003), pp. 193-220",2 Wash. U. Global Stud. L. Rev. 193 (2003),"History, Legal History, Research, Attorneys, Bar Associations, Legal Profession, Legal Education",1,na,3
Christmas Rose: Hong Kong Movie in a Chinese Time [article],"Conner, Alison W. (Cited 40 times)",1983,"Asian-Pacific Law & Policy Journal, Vol. 19, Issue 2 (2017-2018), pp. 1-20",19 APLPJ 1 (2017-2018),"Rule of Law, Copyright, Commerce, Electronic Commerce, Intellectual Property Law, Internet",na,na,11
Law and Justice in Evening Rain [article],"Conner, Alison W. (Cited 40 times)",1983,"Hong Kong Law Journal, Vol. 47, Issue 2 (2017), pp. 615-632",47 Hong Kong L.J. 615 (2017),"Criminal Law, Motion Pictures, Trials, Revolution, Censorship, Comparative Law",na,na,7
Legal Education in China: A Look at NanDa [article],"Conner, Alison E. W. (Cited 40 times)",1983,"Singapore Law Review, Vol. 7, pp. 181-201",7 Sing. L. Rev. 181 (1986),"Education Law, Legal Education",na,na,4
Regulation of Foreign Lawyers in Hong Kong [article],"Conner, Alison E. W. (Cited 40 times)",1983,"Hong Kong Law Journal, Vol. 22, Part 2 (June 1992), pp. 132-150",22 Hong Kong L.J. 132 (1992),"Attorneys, Regulation, Conciliation and Mediation, Securities Law, Law Office Management, Legal Profession",na,na,2
Translation [notes],"Conner, A. E. W. (Cited 40 times)",1983,"Hong Kong Law Journal, Vol. 19, Part 2 (May 1989), pp. 232-233",19 Hong Kong L.J. 232 (1989),"Comparative Law, Pornography",na,na,2
The Lawyer Who Haunts Us: Yin Zhaoshi and the Bright Day [article],"Conner, Alison W. (Cited 40 times)",1983,"American Journal of Legal History, Vol. 54, Issue 4 (October 2014), pp. 429-468",54 Am. J. Legal Hist. 429 (2014),"Attorneys, Judges, Motion Pictures, Motion Pictures, Divorce, Domestic Relations, Trials",na,na,2
English as a Second Language for Americans [article],"Conner, Alison W. (Cited 40 times)",1983,"International Journal of Legal Information, Vol. 36, Issue 1 (2008), pp. 94-101",36 Int'l J. Legal Info. 94 (2008),"Courts, International Trade, Criminal Procedure, Due Process, Corporate Taxation, Taxation",na,na,1
Shanghai Calling: Law and Happiness in Another China [article],"Conner, Alison W. (Cited 40 times)",1983,"Journal of Comparative Law, Vol. 13, Issue 2 (2018), pp. 44-56",Full Text Not Currently Available in HeinOnline,"Attorneys, Judges, Motion Pictures, Motion Pictures, Commerce, Banking, Economics, Foreign Investment, Investment",na,na,na
"Courtroom Drama, Chinese Style [article]","Conner, Alison W. (Cited 40 times)",1983,"Journal of Comparative Law, Vol. 12, Issue 2 (2017), pp. 437-460",Full Text Not Currently Available in HeinOnline,"Divorce, Domestic Relations, Motion Pictures, Attorneys, Judges, Motion Pictures, Trials",na,na,na
Jerome Alan Cohen [notes],"Conner, Alison W. (Cited 40 times)",1983,"Journal of Legal Education, Vol. 60, Issue 4 (May 2011), pp. 688-697",60 J. Legal Educ. 688 (2010-2011),"Boundaries, Documents, International Law: History",na,na,na
Trials and Justice in Awaara: A Post-Colonial Movie on Post-Revolutionary Screens [article],"Conner, Alison W. (Cited 40 times)",1983,"Law Text Culture, Vol. 18, pp. [i]-55",18 Law Text Culture [i] (2014),"Trials, Rule of Law, Arts",na,na,na
