Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Iterative Federalism and Climate Change [article],"Carlson, Ann E. (Cited 535 times)",3999,"Northwestern University Law Review , Vol. 103, Issue 3 (Summer 2009), pp. 1097-1162",103 Nw. U. L. Rev. 1097 (2009),"Climate Change, Environmental Law, Federalism, Environmental Law, Environmental Policy, Legislation",110,1,61
Recycling Norms [article],"Carlson, Ann E. (Cited 535 times)",3999,"California Law Review, Vol. 89, Issue 5 (October 2001), pp. 1231-1300",89 Calif. L. Rev. 1231 (2001),"Environmental Law, Law and Society, Recycling, Psychiatrists and Psychologists, Science and Technology, Technology, Contempt, Criminal Law, Criminal Law",105,na,51
"Federalism, Preemption, and Greenhouse Gas Emissions [comments]","Carlson, Ann E. (Cited 535 times)",3999,"U.C. Davis Law Review, Vol. 37, Issue 1 (November 2003), pp. 281-320",37 U.C. Davis L. Rev. 281 (2003-2004),"Federalism, Jurisdiction, Air Pollution, Climate Change",88,1,21
Standing for the Environment [article],"Carlson, Ann E. (Cited 535 times)",3999,"UCLA Law Review, Vol. 45, Issue 4 (April 1998), pp. 931-1004",45 UCLA L. Rev. 931 (1997-1998),"Environmental Law, Standing, Environmental Law, New Deal, Politics, Environmental Protection",47,na,23
Takings on the Ground: How the Supreme Court's Takings Jurisprudence Affects Local Land Use Decisions [article],"Carlson, Ann E. (Cited 535 times); Pollak, Daniel (Cited 58 times)",3999,"U.C. Davis Law Review, Vol. 35, Issue 1 (November 2001), pp. 103-170",35 U.C. Davis L. Rev. 103 (2001-2002),"Constitutional Law, Jurisprudence, Land Use, Land Use Planning, Takings, Courts, Federal Courts",47,na,7
Designing Effective Climate Policy: Cap-and-Trade and Complementary Policies [article],"Carlson, Ann E. (Cited 535 times)",3999,"Harvard Journal on Legislation, Vol. 49, Issue 2 (Summer 2012), pp. 207-248",49 Harv. J. on Legis. 207 (2012),"Environmental Law, Climate Change, Administration Law",31,na,46
Accidents of Federalism: ratemaking and Policy Innovation in Public Utility Law [article],"Boyd, William (Cited 167 times); Carlson, Ann E. (Cited 535 times)",3999,"UCLA Law Review, Vol. 63, Issue 4 (May 2016), pp. 810-893",63 UCLA L. Rev. 810 (May 2016),"Accidents, Environmental Law, Federalism, Agency, Environmental Protection, Regulation, Renewable Energy",29,na,45
Regulatory Capacity and State Environmental Leadership: California's Climate Policy [article],"Carlson, Ann E. (Cited 535 times)",3999,"Fordham Environmental Law Review, Vol. 24, Issue 1 (2012-2013), pp. 63-86",24 Fordham Envtl. L. Rev. 63 (2012-2013),"Capacity, Environmental Law, Federalism",12,1,16
"Heat Waves, Global Warming, and Mitigation [article]","Carlson, Ann E. (Cited 535 times)",3999,"UCLA Journal of Environmental Law and Policy, Vol. 26, Issue 1 (2008), pp. 169-216",26 UCLA J. Envtl. L. & Pol'y 169 (2008),"Disaster Law, Environmental Law, Environmental Law, Natural Resources Law, Disaster Law, Government, Local Government, State and Local Government Law, Climate Change, Comparative Law",12,na,9
Implementing Greenhouse Gas Emissions Caps: A Case Study of the Los Angeles Department of Water and Power [article],"Carlson, Ann E. (Cited 535 times)",3999,"UCLA Law Review, Vol. 55, Issue 6 (August 2008), pp. 1479-1504",55 UCLA L. Rev. 1479 (2007-2008),"Agriculture Law, International Law: History, Water Law, Climate Change, Environmental Law",11,na,7
Text in Context: The Fate of Emergent Climate Regulation after UARG and EME Homer [article],"Carlson, Ann E. (Cited 535 times); Herzog, Megan M. (Cited 27 times)",3999,"Harvard Environmental Law Review, Vol. 39, Issue 1 (2015), pp. 23-36",39 Harv. Envtl. L. Rev. 23 (2015),"Regulation, Environmental Law, Agency, Legislation",10,na,21
Legal Pathways to Reducing Greenhouse Gas Emissions under Section 115 of the Clean Air Act [article],"Burger, Michael (Cited 106 times); Carlson, Ann E. (Cited 535 times); Gerrard, Michael B. (Cited 294 times); Hein, Jayni Foley (Cited 14 times); Schwartz, Jason A.; Benes, Keith J. (Cited 4 times)",3999,"Georgetown Environmental Law Review, Vol. 28, Issue 3 (Spring 2016), pp. 359-424",28 Geo. Envtl. L. Rev. 359 (2015-2016),"Constitutional Law, International Law: History, Legislation, Natural Resources Law, Reciprocity, Air Pollution, Environmental Protection, Pollution, Regulation",7,na,14
Climate Regulation under the Clean Air Act in the Wake of Utility Air Regulatory Group v. EPA [article],"Buzbee, William W. (Cited 1165 times); Carlson, Ann E. (Cited 535 times); Herzog, Megan M. (Cited 27 times); Freeman, Jody (Cited 2529 times); Lazarus, Richard J. (Cited 2207 times); McGarity, Thomas O. (Cited 2745 times); Oren, Craig N. (Cited 193 times); Revesz, Richard L. (Cited 3473 times); Segal, Cecilia",3999,"Harvard Environmental Law Review, Vol. 39, Issue 1 (2015), pp. 1-8",39 Harv. Envtl. L. Rev. 1 (2015),"Regulation, Environmental Law, Environmental Law, Industry",7,na,22
Reverse Preemption [article],"Carlson, Ann E. (Cited 535 times); Mayer, Andrew (Cited 16 times)",3999,"Ecology Law Quarterly, Vol. 40, Issue 3 (2013), pp. 583-622",40 Ecology L.Q. 583 (2013),"Jurisdiction, Arbitration, Execution, Insurance Law, Banking, Industry",6,3,7
An Ode to the Clean Air Act [comments],"Carlson, Ann (Cited 535 times)",3999,"Journal of Land Use & Environmental Law, Vol. 30, Issue 1 (Fall 2014), pp. 119-142",30 J. Land Use & Envtl. L. 119 (2014-2015),"Endangerment, Environmental Law, Greenhouse Gases, Agency, Environmental Protection",3,na,7
Energy Efficiency and Federalism [article],"Carlson, Ann E. (Cited 535 times)",3999,"San Diego Journal of Climate & Energy Law, Vol. 1, pp. 11-22",1 San Diego J. Climate & Energy L. 11 (2009),Federalism,3,na,4
"Federalism, Preemption, and Greenhouse Gas Emissions [notes]","Carlson, Ann E. (Cited 535 times)",3999,"Environs: Environmental Law and Policy Journal, Vol. 27, Issue 1 (Fall 2003), pp. 281-320","27 Environs: Envtl, L. & Pol'y J. 281 (2003-2004)","Federalism, Jurisdiction, Air Pollution, Climate Change",3,na,3
"The President, Climate Change, and California [comments]","Carlson, Ann E. (Cited 535 times)",3999,"Harvard Law Review Forum, Vol. 126, pp. 156-159",126 Harv. L. Rev. F. 156 (2012-2013),"Climate Change, Environmental Law, Environmental Law, Federalism",2,na,2
The Clean Air Act's Blind Spot: Microclimates and Hotspot Pollution [article],"Carlson, Ann E. (Cited 535 times)",3999,"UCLA Law Review, Vol. 65, Issue 5 (June 2018), pp. 1036-1089",65 UCLA L. Rev. 1036 (2018),"Environmental Law, Pollution, Administration Law, Water Law, Environmental Law, Law of the Sea, Maritime Law",2,na,74
EPA Greenhouse Gas Rules at Stake in U.S. Supreme Court [article],"Carlson, Ann (Cited 535 times); Herzog, Megan (Cited 2 times)",3999,"Trends, Vol. 45, Issue 4 (March/April 2014), pp. 2-6",45 Trends 2 (2013-2014),"Regulation, Climate Change, Environmental Law, Greenhouse Gases, Agency, Environmental Protection",na,na,1
Energy Efficiency and Federalism [article],"Carlson, Ann E. (Cited 535 times)",3999,"Michigan Law Review First Impressions, Vol. 107, pp. 63-69",107 Mich. L. Rev. First Impressions 63 (2008),Federalism,na,na,na
"Heat Waves, Global Warming & Mitigation [comments]","Carlson, Ann E. (Cited 535 times)",3999,"Issues in Legal Scholarship, Vol. 6, Issue 3 (2007), pp. [i]-44",6 Issues Legal Scholarship [i] (2006-2007),"Disaster Law, Environmental Law, Environmental Law, Natural Resources Law, Disaster Law, Government, Local Government, State and Local Government Law, Climate Change",na,na,na
The Trump Administration's Assault on California's Global Climate Leadership [article],"Carlson, Ann (Cited 535 times)",3999,"AJIL Unbound, Vol. 112, pp. 266-270",112 AJIL Unbound 266 (2018),na,na,na,10
