Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Rethinking Prison Sex: Self-Expression and Safety [article],"Smith, Brenda V. (Cited 144 times)",5586,"Columbia Journal of Gender and Law, Vol. 15, Issue 1 (2006), pp. 185-235",15 Colum. J. Gender & L. 185 (2006),"Sex, Rape, Interest, Law Enforcement, Sexuality and the Law, Women",31,na,80
"Watching You, Watching Me [article]","Smith, Brenda V. (Cited 144 times)",5586,"Yale Journal of Law and Feminism, Vol. 15, Issue 2 (2003), pp. 225-288",15 Yale J.L. & Feminism 225 (2003),"Civil Rights, Law Enforcement, Misconduct, Prisoners, Sex, Sexual Abuse, Women",24,na,10
"Battering, Forgiveness, and Redemption [article]","Smith, Brenda V. (Cited 144 times)",5586,"American University Journal of Gender, Social Policy & the Law, Vol. 11, Issue 2 (2002-2003), pp. 921-962",11 Am. U. J. Gender Soc. Pol'y & L. 921 (2002-2003),"Jurisprudence, Restorative Justice",22,na,6
Sexual Abuse of Women in United States Prisons: A Modern Corollary of Slavery [article],"Smith, Brenda V. (Cited 144 times)",5586,"Fordham Urban Law Journal, Vol. 33, Issue 2 (January 2006), pp. 571-608",33 Fordham Urb. L.J. 571 (2005-2006),"Law Enforcement, Sexual Abuse, Slavery, States, Women, Rape, Privacy, Sexuality and the Law",19,1,80
Civility Codes: The Newest Weapons in the Civil War over Proper Attorney Conduct Regulations Miss Their Mark [comments],"Smith, Brenda (Cited 144 times)",5586,"University of Dayton Law Review, Vol. 24, Issue 1 (Fall 1998), pp. 151-186",24 U. Dayton L. Rev. 151 (1998-1999),"Civil War, Legal Profession, Professional Ethics, War, Weapons, Jurisprudence",16,na,2
"Uncomfortable Places, Close Spaces: Female Correctional Workers' Sexual Interactions with Men and Boys in Custody [article]","Smith, Brenda V. (Cited 144 times)",5586,"UCLA Law Review, Vol. 59, Issue 6 (August 2012), pp. 1690-1745",59 UCLA L. Rev. 1690 (August 2012),"Sexuality and the Law, Rape, Violence, Employment",9,na,35
Sexual Abuse against Women in Prison [article],"Smith, Brenda V. (Cited 144 times)",5586,"Criminal Justice, Vol. 16, Issue 1 (Spring 2001), pp. 30-37",16 Crim. Just. 30 (2001-2002),"Sexual Abuse, Women, Class Actions, Eighth Amendment",7,na,23
"Reforming, Reclaiming or Reframing Womanhood: Reflections on Advocacy for Women in Custody [comments]","Smith, Brenda V. (Cited 144 times)",5586,"Women's Rights Law Reporter, Vol. 29, Issue 1 (Fall 2007), pp. 1-10",29 Women's Rts. L. Rep. 1 (2007-2008),"Domestic Relations, Juveniles, Law Enforcement, Women, Civil Rights, Legal Profession",6,na,8
Copyright Protection of Computer Software [article],"Smith, Brenda (Cited 144 times)",5586,"Auckland University Law Review, Vol. 6, Issue 2 (August 1989), pp. 245-262",6 Auckland U. L. Rev. 245 (1988-1991),"Copyright, Software",2,na,5
"Stories of Teaching Race, Gender, and Class: A Narrative [article]","Smith, Brenda V. (Cited 144 times)",5586,"Washington University Journal of Law & Policy, Vol. 51, pp. 11-22",51 Wash. U. J. L. & Pol'y 11 (2016),"Gender, Legal Education, Race, Race, Jurisprudence, Gangs, Law Enforcement, Women",2,na,7
"Boys, Rape, and Masculinity: Reclaiming Boys' Narratives of Sexual Violence in Custody [article]","Smith, Brenda V. (Cited 144 times)",5586,"North Carolina Law Review, Vol. 93, Issue 5 (June 2015), pp. 1559-1596",93 N.C. L. Rev. 1559 (June 2015),"Rape, Violence, Sexuality and the Law, Gender, History, Politics, Sexual Abuse",2,na,40
Introduction [comments],"Bridgewater, Pamela D. (Cited 91 times); Smith, Brenda V. (Cited 144 times)",5586,"American University Journal of Gender, Social Policy & the Law, Vol. 11, Issue 1 (2002-2003), pp. 1-8",11 Am. U. J. Gender Soc. Pol'y & L. 1 (2002-2003),"Courts, Legal Profession, Sexual Orientation",1,na,6
Improving Substance Abuse Treatment for Women [article],"Smith, Brenda V. (Cited 144 times)",5586,"Clearinghouse Review, Vol. 24, Issue 5 - Special Issue (1990), pp. 490-492",24 Clearinghouse Rev. 490 (1990-1991),"Women, Discrimination, Pregnancy, Child Abuse, Child Neglect, Criminal Law",1,na,7
The Prison Rape Elimination Act: Implementation and Unresolved Issues [article],"Smith, Brenda V. (Cited 144 times)",5586,"Criminal Law Brief, Vol. 3, Issue 2 (Spring 2008), pp. 10-18",3 Crim. L. Brief 10 (2007-2008),"Rape, Rape, Law Enforcement",1,na,72
Editorial [editorial],"Marjoribanks, Grant; Smith, Brenda (Cited 144 times)",5586,"Auckland University Law Review, Vol. 6, Issue 1 (August 1988), pp. [i]-[ii]",6 Auckland U. L. Rev. [i] (1988-1991),na,na,na,na
After Dothard: Female Correctional Workers and the Challenge to Employment Law [article],"Smith, Brenda V. (Cited 144 times); Loomis, Melissa C.",5586,"FIU Law Review, Vol. 8, Issue 2 (Spring 2013), pp. 469-500",8 FIU L. Rev. 469 (2012-2013),"Employment, Sexuality and the Law, Women",na,na,2
The Louisa Van Wezel Schwartz Symposium on Mental Health Issues in Correctional Institutions - Proceedings [comments],"Smith, Brenda (Cited 144 times)",5586,"University of the District of Columbia David A. Clarke School of Law Law Review, Vol. 7, pp. 232-238",7 UDC/DCSL L. Rev. 232 (2003),"Correctional Institutions, Health, Mental Health",na,na,1
Prosecuting Sexual Violence in Correctional Settings: Examining Prosecutors' Perceptions [article],"Smith, Brenda V. (Cited 144 times); Yarussi, Jaime M. (Cited 1 times)",5586,"Criminal Law Brief, Vol. 3, Issue 2 (Spring 2008), pp. 19-28",3 Crim. L. Brief 19 (2007-2008),"Violence, Law Enforcement, Misconduct, Sexuality and the Law, Child Abuse, Police, Testimony",na,na,12
