Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Spillovers [article],"Frischmann, Brett M. (Cited 1057 times); Lemley, Mark A. (Cited 14493 times)",9472,"Columbia Law Review, Vol. 107, Issue 1 (January 2007), pp. 257-302",107 Colum. L. Rev. 257 (2007),"Economics, Intellectual Property Law, Computer Law, Computers, Education Law, Evidence",298,na,54
An Economic Theory of Infrastructure and Commons Management [article],"Frischmann, Brett M. (Cited 1057 times)",9472,"Minnesota Law Review, Vol. 89, Issue 4 (April 2005), pp. 917-1030",89 Minn. L. Rev. 917 (2004-2005),"Intellectual Property Law, Law and Society, Natural Resources Law, Natural Resources Law",182,na,77
Constructing Commons in the Cultural Environment [article],"Madison, Michael J. (Cited 775 times); Frischmann, Brett M. (Cited 1057 times); Strandburg, Katherine J. (Cited 739 times)",9472,"Cornell Law Review , Vol. 95, Issue 4 (May 2010), pp. 657-710",95 Cornell L. Rev. 657 (2009-2010),"Environmental Law, Intellectual Property Law, Law and Society, Discipline",81,na,77
The Evolving Common Law Doctrine of Copyright Misuse: A Unified Theory and Its Application to Software [article],"Frischmann, Brett (Cited 1057 times); Moylan, Dan (Cited 76 times)",9472,"Berkeley Technology Law Journal, Vol. 15, Issue 3 (2000), pp. 865-932",15 Berk. Tech. L.J. 865 (2000),"Common Law, Copyright, Software",76,1,11
Innovation and Institutions: Rethinking the Economics of U.S. Science and Technology Policy [article],"Frischmann, Brett (Cited 1057 times)",9472,"Vermont Law Review, Vol. 24, Issue 2 (Winter 2000), pp. 347-416",24 Vt. L. Rev. 347 (1999-2000),"Economics, Science and Technology, Technology, Intellectual Property Law, Guardians, Inventions",65,na,34
Network Neutrality and the Economics of an Information Superhighway: A Reply to Professor Yoo [article],"Frischmann, Brett M. (Cited 1057 times); van Schewick, Barbara (Cited 117 times)",9472,"Jurimetrics, Vol. 47, Issue 4 (Summer 2007), pp. 383-428",47 Jurimetrics 383 (2006-2007),"Economics, Neutrality, Age, Regulation",52,na,17
Revitalizing Essential Facilities [article],"Frischmann, Brett (Cited 1057 times); Waller, Spencer Weber (Cited 932 times)",9472,"Antitrust Law Journal, Vol. 75, Issue 1 (2008), pp. 1-66",75 Antitrust L.J. 1 (2008-2009),"Communications Law, Transportation Law, Comparative Law, Inventions",41,na,30
Privatization and Commercialization of the Internet Infrastructure: Rethinking Market Intervention into Government and Government Intervention into the Market [article],"Frischmann, Brett (Cited 1057 times)",9472,"Columbia Science and Technology Law Review, Vol. 2, pp. 1-70",2 Colum. Sci. & Tech. L. Rev. 1 (2000-2001),"Government, Internet, Privatization, Communications Law, State and Local Government Law, Trade Regulation, Regulation",38,2,12
A Dynamic Institutional Theory of International Law [article],"Frischmann, Brett (Cited 1057 times)",9472,"Buffalo Law Review, Vol. 51, Issue 3 (Summer 2003), pp. 679-810",51 Buff. L. Rev. 679 (2003),"International Law: History, Law and Society, Organizations",35,na,29
Evaluating the Demsetzian Trend in Copyright Law [article],"Frischmann, Brett M. (Cited 1057 times)",9472,"Review of Law and Economics, Vol. 3, Issue 3 (2007), pp. 649-677",3 Rev. L & Econ. 649 (2007),"Copyright, Economics, Technology",32,na,3
