Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Multijurisdictional Practice of Law and the Corporate Lawyer: New Rules for a New Generation of Legal Practice [article],"Needham, Carol A. (Cited 165 times)",3481,"South Texas Law Review, Vol. 36, Issue 3 (November 1995), pp. 1075-1100",36 S. Tex. L. Rev. 1075 (1995),"Choice of Law, Discipline, Interest, Safe Harbor, Model Rules of Professional Conduct, Rules of Professional Conduct",25,na,3
Splitting Bar Admission into Federal and State Components: National Admission for Advice on Federal Law [article],"Needham, Carol A. (Cited 165 times)",3481,"University of Kansas Law Review, Vol. 45, Issue 2 (March 1997), pp. 453-510",45 U. Kan. L. Rev. 453 (1996-1997),"Admission to the Bar, Attorneys, Legal Profession, Practice and Procedure, Unauthorized Practice of Law, Deregulation, Law and Society",23,na,na
Transnational Legal Practice [notes],"Terry, Laurel S. (Cited 763 times); Silver, Carole (Cited 494 times); Rosen, Ellyn (Cited 33 times); Needham, Carol A. (Cited 165 times)",3481,"International Lawyer (ABA), Vol. 42, Issue 2 (Summer 2008), pp. 833-862",42 Int'l Law. 833 (2008),"Legal Profession, Legal Services",16,na,10
Licensing of Foreign Legal Consultants in the United States [comments],"Needham, Carol A. (Cited 165 times)",3481,"Fordham International Law Journal, Vol. 21, Issue 4 (April 1998), pp. 1126-1151",21 Fordham Int'l L.J. 1126 (1997-1998),"Admission to the Bar, Attorneys, Consultants, Licensing, States, History, Legal Profession",15,na,1
Negotiating Multi-State Transactions: Reflections on Prohibiting the Unauthorized Practice of Law [article],"Needham, Carol A. (Cited 165 times)",3481,"Saint Louis University Public Law Review, Vol. 12, Issue 1 (1993), pp. 113-134",12 St. Louis U. Pub. L. Rev. 113 (1993),"Unauthorized Practice of Law, Age, Consumer Protection Law, Partnerships",14,1,1
Multijurisdictional Practice Regulations Governing Attorneys Conducting a Transactional Practice [article],"Needham, Carol A. (Cited 165 times)",3481,"University of Illinois Law Review, Vol. 2003, Issue 5 (2003), pp. 1331-1376",2003 U. Ill. L. Rev. 1331 (2003),"Attorneys, Corporate Officers, Corporations, Criminal Law, Ethics, Fraud, Professional Ethics",14,na,4
When Is an Attorney Acting as an Attorney: The Scope of Attorney-Client Privilege as Applied in Corporate Negotiations [article],"Needham, Carol A. (Cited 165 times)",3481,"South Texas Law Review, Vol. 38, Issue 2 (May 1997), pp. 681-704",38 S. Tex. L. Rev. 681 (1997),"Legal Profession, Practice and Procedure, Public Policy, Third Parties, Bankruptcy Law, Corporations",13,na,1
Listening to Cassandra: The Difficulty or Recognizing Risks and Taking Action [article],"Needham, Carol A. (Cited 165 times)",3481,"Fordham Law Review, Vol. 78, Issue 5 (April 2010), pp. 2329-2356",78 Fordham L. Rev. 2329 (2009-2010),"Banking, Real Estate, Holding Companies",12,1,4
The Changing Landscape for In-House Counsel: Multijurisdictional Practice Considerations for Corporate Law Departments [article],"Needham, Carol A. (Cited 165 times)",3481,"Akron Law Review , Vol. 43, Issue 3 (2010), pp. 985-1008",43 Akron L. Rev. 985 (2010),"Corporations, Unauthorized Practice of Law, Legal Profession, Professional Ethics",8,na,6
Advance Consent to Aggregate Settlements: Reflections on Attorney's Fiduciary Obligations and Professional Responsibility Duties [article],"Needham, Carol A. (Cited 165 times)",3481,"Loyola University Chicago Law Journal, Vol. 44, Issue 2 (Winter 2012), pp. 511-532",44 Loy. U. Chi. L.J. 511 (Winter 2012),"Consent, Obligations, Settlements, Practice and Procedure",8,na,5
"Practicing Non-U.S. Law in the United States: Multijurisdictional Practice, Foreign Legal Consultants and Other Aspects of Cross-Border Legal Practice [article]","Needham, Carol A. (Cited 165 times)",3481,"Michigan State Journal of International Law, Vol. 15, Issue 3 (2007), pp. 605-634",15 Mich. St. J. Int'l L. 605 (2007),"Consultants, Legal Profession, States, Legal Services",7,na,3
"The Professional Responsibilities of Law Professors: The Scope of the Duty of Confidentiality, Character and Fitness Questionnaires, and Engagement in Governance [notes]","Needham, Carol A. (Cited 165 times)",3481,"Journal of Legal Education, Vol. 56, Issue 1 (2006), pp. 106-121",56 J. Legal Educ. 106 (2006),"Confidentiality, Consent, Evidence, Legal Profession, Professional Ethics",5,na,4
Consensus across Multiple Divides: An Empirical Study of Outlooks Underlying Lawyers' Attitudes on Multidisciplinary Practice [article],"Casey, Greg (Cited 6 times); Needham, Carol A. (Cited 165 times)",3481,"Loyola University Chicago Law Journal, Vol. 32, Issue 3 (Spring 2001), pp. 617-692",32 Loy. U. Chi. L.J. 617 (2000-2001),"Law and Society, Accounting, Legal Profession",2,na,3
Introduction [comments],"Needham, Carol A. (Cited 165 times)",3481,"Saint Louis University Law Journal, Vol. 51, Issue 4 (Summer 2007), pp. 935-[ii]",51 St. Louis U. L.J. 935 (2006-2007),"Legal Education, Professional Ethics, Ethics, Legal Ethics",2,na,2
Globalization and Eligibility to Deliver Legal Advice: Inbound Services Provided by Corporate Counsel Licensed Only in a Country outside the United States [article],"Needham, Carol A. (Cited 165 times)",3481,"San Diego Law Review, Vol. 48, Issue 1 (February-March 2011), pp. 379-400",48 San Diego L. Rev. 379 (2011),"Globalization, States, Environmental Law, Commitment",1,na,3
Stepping across the Border: In-House Counsel and the Unauthorized Practice of Law [article],"Needham, Carol A. (Cited 165 times)",3481,"Professional Lawyer Symposium Issues , Vol. 1998, pp. 73-80",1998 Prof. Law. Symp. Issues 73 (1998),"Unauthorized Practice of Law, Ethics",na,na,2
