Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Attorney-Client Relationships in Cyberspace: The Peril and the Promise [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"Duke Law Journal , Vol. 49, Issue 1 (October 1999), pp. 147-260",49 Duke L.J. 147 (1999-2000),"Computer Law, Professional Ethics, Evidence, Practice and Procedure, Internet",100,na,28
The Duty of Zealous Advocacy and the Ethics of the Federal Government Lawyer: The Three Hardest Questions [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"Southern California Law Review, Vol. 64, Issue 4 (May 1991), pp. 951-1018",64 S. Cal. L. Rev. 951 (1990-1991),"Ethics, Government, Legal Profession, Professional Ethics, Model Rules of Professional Conduct, Rules of Professional Conduct",99,na,76
The Defendant Lies and the Plaintiff Loses: The Fallacy of the Pretext-Plus Rule in Employment Discrimination Cases [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"Hastings Law Journal, Vol. 43, Issue 1 (November 1991), pp. 57-142",43 Hastings L.J. 57 (1991-1992),"Discrimination, Employment, Employment Discrimination, Employment Practice, Evidence, Proof",98,11,7
Scriveners in Cyberspace: Online Document Preparation and the Unauthorized Practice of Law [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"Hofstra Law Review, Vol. 30, Issue 3 (Spring 2002), pp. 811-854",30 Hofstra L. Rev. 811 (2001-2002),na,40,na,31
Ad Hoc Decision Making and Per Se Prejudice: How Individualizing the Determination of Disability Undermines the ADA [comments],"Lanctot, Catherine J. (Cited 454 times)",1396,"Villanova Law Review, Vol. 42, Issue 2 (1997), pp. 327-344",42 Vill. L. Rev. 327 (1997),"Disability, Handicapped, Parking",39,na,7
Secrets and Lies: The Need for a Definitive Rule of Law in Pretext Cases [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"Louisiana Law Review, Vol. 61, Issue 3 (Spring 2001), pp. 539-554",61 La. L. Rev. 539 (2000-2001),"Rule of Law, Civil Rights, Plaintiffs, Discrimination, Employment, Employment Discrimination",25,na,16
Does Legalzoom Have First Amendment Rights: Some Thoughts about Freedom of Speech and the Unauthorized Practice of Law [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"Temple Political & Civil Rights Law Review, Vol. 20, Issue 2 (Spring 2011), pp. 255-296",20 Temp. Pol. & Civ. Rts. L. Rev. 255 (2010-2011),"First Amendment, Freedom of Speech, Legal Profession, Unauthorized Practice of Law, Obligations",24,na,28
The Good Cause Exceptions: Danger to Notice and Comment Requirements under the Administrative Procedure Act [notes],"Lanctot, Catherine J. (Cited 454 times)",1396,"Georgetown Law Journal, Vol. 68, Issue 3 (February 1980), pp. 765-782",68 Geo. L. J. 765 (1979-1980),"Administrative Procedure, Notice, Procedure, Environmental Law",18,4,8
The Plain Meaning of Oncale [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"William & Mary Bill of Rights Journal, Vol. 7, Issue 3 (April 1999), pp. 913-942",7 Wm. & Mary Bill Rts. J. 913 (1998-1999),"Employment Practice, Harassment, Sex, Sexual Harassment, Employment Discrimination, Jurisprudence",9,na,8
Becoming a Competent 21st Century Legal Ethics Professor: Everything You Always Wanted to Know about Technology (But Were Afraid to Ask) [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"Journal of the Professional Lawyer, Vol. 2015, pp. 75-118",2015 J. Prof. Law. 75 (2015),"Ethics, Legal Ethics, Technology, Advertising, Regulation, Internet",1,na,39
Using Videos to Teach American Legal History [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"American Journal of Legal History, Vol. 53, Issue 4 (October 2013), pp. 418-420",53 Am. J. Legal Hist. 418 (2013),"History, Legal History, Criminal Procedure, Procedure, Communications Law, Human Rights Law, Human Rights Law",1,na,5
Regulating Legal Advice in Cyberspace [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"St. John's Journal of Legal Commentary, Vol. 16, Issue 3 (Fall 2002), pp. 569-586",16 St. John's J. Legal Comment. 569 (2002),"Legal Malpractice, Legal Profession, Malpractice, Computer Law, Professional Ethics, Internet",na,na,56
Government Lawyers in Civil Litigation and the Model Rules of Professional Conduct [article],"Lanctot, Catherine J. (Cited 454 times)",1396,"Professional Lawyer Symposium Issues, Vol. 1997, pp. 125-136",1997 Prof. Law. Symp. Issues 125 (1997),"Government, Model Rules of Professional Conduct, Rules of Professional Conduct, Ethics, Legal Profession, Professional Ethics",na,na,5
