Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
We're Scared to Death: Class Certification and Blackmail [article],"Silver, Charles (Cited 1591 times)",9400,"New York University Law Review, Vol. 78, Issue 4 (October 2003), pp. 1357-1430",78 N.Y.U. L. Rev. 1357 (2003),"Death, Dispute Resolution, Practice and Procedure, Settlements, Class Actions",177,na,42
The Professional Responsibilities of Insurance Defense Lawyers [article],"Silver, Charles (Cited 1591 times); Syverud, Kent (Cited 947 times)",9400,"Duke Law Journal, Vol. 45, Issue 2 (November 1995), pp. 255-363",45 Duke L.J. 255 (1995-1996),"Insurance Law, Insurance Law, Practice and Procedure, Liability, Interest, Professional Ethics",115,6,11
The Poor State of Health Care Quality in the U.S.: Is Malpractice Liability Part of the Problem or Part of the Solution [article],"Hyman, David A. (Cited 1199 times); Silver, Charles (Cited 1591 times)",9400,"Cornell Law Review, Vol. 90, Issue 4 (May 2005), pp. 893-994",90 Cornell L. Rev. 893 (2004-2005),"Health, Health Law, Liability, Malpractice, Medical Jurisprudence, Confidentiality, Health Care Providers, Hospitals",97,4,36
Mass Lawsuits and the Aggregate Settlement Rule [article],"Silver, Charles (Cited 1591 times); Baker, Lynn A. (Cited 1628 times)",9400,"Wake Forest Law Review, Vol. 32, Issue 3 (1997), pp. 733-780",32 Wake Forest L. Rev. 733 (1997),"Practice and Procedure, Torts, Dispute Resolution",96,2,10
I Cut You Choose: The Role of Plaintiffs' Counsel in Allocating Settlement Proceeds [article],"Silver, Charles (Cited 1591 times); Baker, Lynn (Cited 1628 times)",9400,"Virginia Law Review, Vol. 84, Issue 8 (November 1998), pp. 1465-1540",84 Va. L. Rev. 1465 (1998),"Plaintiffs, Practice and Procedure, Professional Ethics, Agency, Attorneys, Consent, Money",95,1,5
Does Insurance Defense Counsel Represent the Company or the Insured [article],"Silver, Charles (Cited 1591 times)",9400,"Texas Law Review, Vol. 72, Issue 6 (May 1994), pp. 1583-1628",72 Tex. L. Rev. 1583 (1993-1994),"Insurance Law, Ethics, Professional Ethics",80,9,8
"Medical Malpractice Litigation and Tort Reform: It's the Incentives, Stupid [article]","Hyman, David A. (Cited 1199 times); Silver, Charles (Cited 1591 times)",9400,"Vanderbilt Law Review, Vol. 59, Issue 4 (May 2006), pp. 1085-0",59 Vand. L. Rev. 1085 (2006),"Malpractice, Medical Malpractice, Tort Reform, Medical Jurisprudence, Compensation, Health Law",78,na,89
Does Civil Justice Cost Too Much [article],"Silver, Charles (Cited 1591 times)",9400,"Texas Law Review, Vol. 80, Issue 7 (June 2002), pp. 2073-2114",80 Tex. L. Rev. 2073 (June 2002),"Courts, Practice and Procedure, Liability",65,na,23
Unloading the Lodestar: Toward a New Fee Award Procedure [article],"Silver, Charles (Cited 1591 times)",9400,"Texas Law Review, Vol. 70, Issue 4 (March 1992), pp. 865-970",70 Tex. L. Rev. 865 (1991-1992),"Legal Profession, Procedure, Practice and Procedure, Statutes, Courts, Plaintiffs",49,5,9
"Stability, Not Crisis: Medical Malpractice Claim Outcomes in Texas, 1988-2002 [article]","Black, Bernard (Cited 3728 times); Silver, Charles (Cited 1591 times); Hyman, David A. (Cited 1199 times); Sage, William M. (Cited 955 times)",9400,"Journal of Empirical Legal Studies, Vol. 2, Issue 2 (2005), pp. 207-260",2 J. Empirical Legal Stud. 207 (2005),"Malpractice, Medical Jurisprudence, Medical Malpractice, Insurance Law, Insurance Law, Liability, Torts",48,na,12
