Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
How International Financial Law Works (And How It Doesn't) [article],"Brummer, Chris (Cited 310 times)",7197,"Georgetown Law Journal, Vol. 99, Issue 2 (January 2011), pp. 257-328",99 Geo. L.J. 257 (2010-2011),"Banking, Financial Law, International Law: History, International Banking, International Finance, Regulation",71,na,234
Post-American Securities Regulation [article],"Brummer, Chris (Cited 310 times)",7197,"California Law Review, Vol. 98, Issue 2 (April 2010), pp. 327-384",98 Calif. L. Rev. 327 (2010),"International Law: History, Regulation, Securities Law, International Trade",50,na,14
Stock Exchanges and the New Markets for Securities Laws [decisions],"Brummer, Chris (Cited 310 times)",7197,"University of Chicago Law Review, Vol. 75, Issue 4 (Fall 2008), pp. 1435-1492",75 U. Chi. L. Rev. 1435 (Fall 2008),"Securities Law, Privatization, Regulation, Comparative Law, Sanctions",42,na,11
Disruptive Technology and Securities Regulation [article],"Brummer, Chris (Cited 310 times)",7197,"Fordham Law Review, Vol. 84, Issue 3 (December 2015), pp. 977-1052",84 Fordham L. Rev. 977 (2015-2016),"Regulation, Science and Technology, Securities Law, Technology, Economics, Evidence",31,na,143
Why Soft Law Dominates International Finance - And Not Trade [article],"Brummer, Chris (Cited 310 times)",7197,"Journal of International Economic Law, Vol. 13, Issue 3 (September 2010), pp. 623-644",Full Text Not Currently Available in HeinOnline,"International Finance, International Trade, Soft Law, International Economic Law, Sovereignty, States, Banking, Courts",na,na,na
"The Ties That Bind - Regionalism, Commercial Treaties, and the Future of Global Economic Integration [article]","Brummer, Chris (Cited 310 times)",7197,"Vanderbilt Law Review, Vol. 60, Issue 5 (October 2007), pp. 1349-1408",60 Vand. L. Rev. 1349 (2007),"Economics, International Law: History, Treaties, International Economic Law, International Trade, World Trade Organization",24,na,18
Corporate Law Preemption in an Age of Global Capital Markets [article],"Brummer, Chris (Cited 310 times)",7197,"Southern California Law Review, Vol. 81, Issue 6 (September 2008), pp. 1067-1114",81 S. Cal. L. Rev. 1067 (2007-2008),"Age, Corporations, Jurisdiction, Regulation, Antitrust",18,na,9
"Sharpening the Sword: Class Certification, Appellate Review, and the Role of the Fiduciary Judge in Class Action Lawsuits [notes]","Brummer, Chris (Cited 310 times)",7197,"Columbia Law Review, Vol. 104, Issue 4 (May 2004), pp. 1042-1071",104 Colum. L. Rev. 1042 (2004),"Appellate Review, Judges, Practice and Procedure, Civil Procedure, Class Actions, Notice, Procedure",17,na,5
Territoriality as a Regulatory Technique: Notes from the Financial Crisis [article],"Brummer, Chris (Cited 310 times)",7197,"University of Cincinnati Law Review, Vol. 79, Issue 2 (Winter 2010), pp. 499-526",79 U. Cin. L. Rev. 499 (2010-2010),"Banking, Financial Law, Regulation, Securities Law, Soft Law",15,na,7
Regional Integration and Incomplete Club Goods: A Trade Perspective [article],"Brummer, Chris (Cited 310 times)",7197,"Chicago Journal of International Law, Vol. 8, Issue 2 (Winter 2008), pp. 535-552",8 Chi. J. Int'l L. 535 (2007-2008),"Organizations, United Nations",5,na,7
Fintech and the Innovation Trilemma [article],"Brummer, Chris (Cited 310 times); Yadav, Yesha (Cited 133 times)",7197,"Georgetown Law Journal, Vol. 107, Issue 2 (January 2019), pp. 235-308",107 Geo. L.J. 235 (2018-2019),"Science and Technology, Securities Law, Fundraising, Technology, Financial Law, Regulation, Sales, Securities Law",5,na,301
Origins of the Financial Crisis and International/National Responses: An Overview [article],"Brummer, Chris (Cited 310 times)",7197,"American Society of International Law Proceedings, Vol. 104, pp. 435-438",104 Am. Soc'y Int'l L. Proc. 435 (2010),"Regulation, Soft Law, Banking, Banking, Securities Law, Securities Law",1,na,9
Introductory Note to the Financial Stability Board Charter [article],"Brummer, Chris (Cited 310 times)",7197,"International Legal Materials, Vol. 51, Issue 4 (2012), pp. 828-839",51 Int'l Legal Materials 828 (2012),"Politics, Regulation, Banking, Capital Market, Globalization, Securities Law",1,na,1
Note from the Editors-in-Chief [notes],"Brummer, Chris (Cited 310 times); Pauwelyn, Joost (Cited 590 times)",7197,"Journal of International Economic Law, Vol. 21, Issue 2 (June 2018), pp. 237-238",Full Text Not Currently Available in HeinOnline,"International Trade, Science and Technology, Law Reform, Literature",na,na,na
Editors' Note [notes],"Brummer, Chris (Cited 310 times); Pauwelyn, Joost (Cited 590 times)",7197,"Journal of International Economic Law, Vol. 18, Issue 4 (December 2015), pp. 709-710",Full Text Not Currently Available in HeinOnline,"Biography, International Economic Law, Jurisprudence",na,na,na
The Renminbi and Systemic Risk [article],"Brummer, Chris (Cited 310 times)",7197,"Journal of International Economic Law, Vol. 20, Issue 3 (September 2017), pp. 447-508",Full Text Not Currently Available in HeinOnline,"Money, Banking, Comparative Law, International Law: History",na,na,na
The Inaugural John D. Greenwald Writing Competition: Foreword [comments],"Brummer, Chris (Cited 310 times)",7197,"Georgetown Journal of International Law, Vol. 49, Issue 2 (2018), pp. 797-800",49 Geo. J. Int'l L. 797 (2017-2018),"Economics, International Economic Law, International Trade, Environmental Law",na,na,13
