Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Constitutional Torts [comments],"Whitman, Christina (Cited 380 times)",414,"Michigan Law Review, Vol. 79, Issue 1 (November 1980), pp. 5-71",79 Mich. L. Rev. 5 (November 1980),"Torts, Liability, Jurisdiction",220,27,12
Government Responsibility for Constitutional Torts [article],"Whitman, Christina B. (Cited 380 times)",414,"Michigan Law Review, Vol. 85, Issue 2 (November 1986), pp. 225-276",85 Mich. L. Rev. 225 (1986-1987),"Government, Torts, Liability, Due Process",89,6,5
Emphasizing the Constitutional in Constitutional Torts [article],"Whitman, Christina Brooks (Cited 380 times)",414,"Chicago-Kent Law Review, Vol. 72, Issue 3 (1997), pp. 661-694",72 Chi.-Kent L. Rev. 661 (1996-1997),"Torts, Liability",25,na,2
Looking Back on Planned Parenthood v. Casey [article],"Whitman, Chris (Cited 380 times)",414,"Michigan Law Review, Vol. 100, Issue 7 (June 2002), pp. 1980-1996",100 Mich. L. Rev. 1980 (2001-2002),"Education Law, Education Law, Legal Education, Constitutional Law, Jurisprudence",17,na,14
Individual and Community: An Appreciation of Mr. Justice Powell [article],"Whitman, Christina B. (Cited 380 times)",414,"Virginia Law Review, Vol. 68, Issue 2 (February 1982), pp. 303-332",68 Va. L. Rev. 303 (1982),"Race, Education Law, Judges, Constitutional Law",9,na,11
An Essay on Texas v. Lesage [article],"Whitman, Christina B. (Cited 380 times)",414,"Mercer Law Review, Vol. 51, Issue 2 (Winter 2000), pp. 621-636",51 Mercer L. Rev. 621 (1999-2000),"Causation, Employment Discrimination, Freedom of Speech, Torts, Defenses",8,1,1
Whose Loyalties [reviews],"Whitman, Christina (Cited 380 times)",414,"Michigan Law Review, Vol. 91, Issue 6 (May 1993), pp. 1266-1277",91 Mich. L. Rev. 1266 (1992-1993),"Jurisprudence, Law and Society",4,na,4
For Terry Sandalow - Challenger and Creator [comments],"Whitman, Chris (Cited 380 times)",414,"Michigan Law Review, Vol. 99, Issue 6 (May 2001), pp. 1821-1823",99 Mich. L. Rev. 1821 (2000-2001),"Criminal Law, Democracy, States",3,na,2
Thoughts on Teaching [comments],"Whitman, Christina B. (Cited 380 times)",414,"University of Michigan Journal of Law Reform, Vol. 18, Issue 2 (Winter 1985), pp. 267-272",18 U. Mich. J.L. Reform 267 (1984-1985),"Teachers, Students",2,na,na
A Humanitarian Approach to Individual Injury [reviews],"Whitman, Christina B. (Cited 380 times)",414,"Michigan Law Review, Vol. 79, Issue 4 (March 1981), pp. 762-834",79 Mich. L. Rev. 762 (March 1981),"Common Law, Duty to Rescue, Stalking, Politics",2,na,58
In Memoriam: Lewis F. Powell Jr. [comments],"Whitman, Christina B. (Cited 380 times)",414,"Harvard Law Review, Vol. 112, Issue 3 (January 1999), pp. 607-610",112 Harv. L. Rev. 607 (1998-1999),"Equal Protection, Education Law, Judges, Jurisprudence",1,na,6
Televising the Court: A Category Mistake [article],"Whitman, Christina B. (Cited 380 times)",414,"Michigan Law Review First Impressions, Vol. 106, pp. 5-7",106 Mich. L. Rev. First Impressions 5 (2007),"Mistake, Legislation, Congress",na,na,na
