Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Environmental Commerce Clause [article],"Klein, Christine A. (Cited 418 times)",6165,"Harvard Environmental Law Review, Vol. 27, Issue 1 (2003), pp. 1-70",27 Harv. Envtl. L. Rev. 1 (2003),"Commerce, Commerce Clause, Civil Rights, Constitutional Law",69,na,25
"Treaties of Conquest: Property Rights, Indian Treaties, and the Treaty of Guadalupe Hidalgo [article]","Klein, Christine A. (Cited 418 times)",6165,"New Mexico Law Review, Vol. 26, Issue 2 (Spring 1996), pp. 201-256",26 N.M. L. Rev. 201 (1996),"Treaties, Discovery, Jurisdiction",46,3,45
On Dams and Democracy [article],"Klein, Christine A. (Cited 418 times)",6165,"Oregon Law Review, Vol. 78, Issue 3 (Fall 1999), pp. 641-734",78 Or. L. Rev. 641 (1999),"Dams, Democracy, Water Law, Public Utilities Law, Rivers",37,na,23
Preserving Monumental Landscaptes under the Antiquities Act [article],"Klein, Christine A. (Cited 418 times)",6165,"Cornell Law Review, Vol. 87, Issue 6 (September 2002), pp. 1333-1404",87 Cornell L. Rev. 1333 (September 2002),"Natural Resources Law, Judicial Review, Natural Resources Law, President/Executive Department",35,na,30
"The New Nuisance: An Antidote to Wetland Loss, Sprawl, and Global Warming [article]","Klein, Christine A. (Cited 418 times)",6165,"Boston College Law Review, Vol. 48, Issue 5 (November 2007), pp. 1155-1236",48 B.C. L. Rev. 1155 (2007),"Environmental Law, Nuisance, Torts, Constitutional Law, Defenses, Takings, Endangered Species, Natural Resources Law, Regulation",34,na,13
Mississippi River Stories: Lessons from a Century of Unnatural Disasters [article],"Klein, Christine A. (Cited 418 times); Zellmer, Sandra B. (Cited 486 times)",6165,"SMU Law Review, Vol. 60, Issue - 4 (Fall 2007), pp. 1471-1538",60 S.M.U. L. Rev. 1471 (2007),"Constitutional Law, Disaster Law, Insurance Law, Legislation",29,na,7
On Integrity: Some Considerations for Water Law [article],"Klein, Christine A. (Cited 418 times)",6165,"Alabama Law Review, Vol. 56, Issue 3 (Spring 2005), pp. 1009-1070",56 Ala. L. Rev. 1009 (2004-2005),"Water Law, Water Law, Pollution",29,na,4
The Constitutional Mythology of Western Water Law [article],"Klein, Christine A. (Cited 418 times)",6165,"Virginia Environmental Law Journal, Vol. 14, Issue 2 (Winter 1995), pp. 343-380",14 Va. Envtl. L.J. 343 (1994-1995),"Water Law, Water Law, Jurisdiction",28,3,7
Modernizing Water Law: The Example of Florida [article],"Klein, Christine A. (Cited 418 times); Angelo, Mary Jane (Cited 227 times); Hamann, Richard (Cited 56 times)",6165,"Florida Law Review , Vol. 61, Issue 3 (July 2009), pp. 403-474",61 Fla. L. Rev. 403 (2009),"Water Law, Water Law, Legislation, Groundwater, Permits, Prior Appropriation",23,na,11
Water Transfers: The Case against Transbasin Diversions in the Eastern States [article],"Klein, Christine A. (Cited 418 times)",6165,"UCLA Journal of Environmental Law and Policy, Vol. 25, Issue 2 (2006-2007), pp. 249-282",25 UCLA J. Envtl. L. & Pol'y 249 (2006-2007),"States, Water Law, Water Law",15,na,8
