Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Framing the Field of Law's Disciplinary Encounters: A Historical Narrative [article],"Tomlins, Christopher (Cited 143 times)",2329,"Law & Society Review, Vol. 34, Issue 4 (2000), pp. 911-972",34 Law & Soc'y Rev. 911 (2000),"Legal History, Research, Taxation-Federal Income, Law and Society",24,na,25
"The New Deal, Collective Bargaining, and the Triumph of Indistrial Pluralism [article]","Tomlins, Christopher L. (Cited 143 times)",2329,"Industrial and Labor Relations Review, Vol. 39, Issue 1 (October 1985), pp. 19-34",39 Indus. & Lab. Rel. Rev. 19 (1985-1986),"Collective Bargaining, New Deal, Labor, Labor, Strikes",15,na,5
The Presence and Absence of Legal Mind: A Comment on Duncan Kennedy's Three Globalizations [comments],"Tomlins, Christopher (Cited 143 times)",2329,"Law and Contemporary Problems, Vol. 78, Issue 1 & 2 (2015), pp. 1-18",78 Law & Contemp. Probs. 1 (2015),"Rule of Law, Economic Development, Agriculture Law",14,na,25
"The Legal Cartography of Colonization, the Legal Polyphony of Settlement: English Intrusions on the American Mainland in the Seventeenth Century [article]","Tomlins, Christopher (Cited 143 times)",2329,"Law & Social Inquiry , Vol. 26, Issue 2 (Spring 2001), pp. 315-372",26 Law & Soc. Inquiry 315 (2001),"History, Legal History, Violence, Slavery",11,na,7
"A Mysterious Power: Industrial Accidents and the Legal Construction of Employment Relations in Massachusetts, 1800-1850 [article]","Tomlins, Christopher L. (Cited 143 times)",2329,"Law and History Review, Vol. 6, Issue 2 (1988), pp. 375-438",6 Law & Hist. Rev. 375 (1988),"Accidents, Employment, Industrial Accidents, States, Supreme Court of the United States, Carriers, Employees, Passengers",10,na,4
"History in the American Juridical Field: Narrative, Justification, and Explanation [article]","Tomlins, Christopher (Cited 143 times)",2329,"Yale Journal of Law & the Humanities, Vol. 16, Issue 2 (Summer 2004), pp. 323-398",16 Yale J.L. & Human. 323 (2004),"History, Legal Profession, Sociology",9,na,4
What Is Left of the Law and Society Paradigm after Critique: Revisiting Gordon's Critical Legal Histories [comments],"Tomlins, Christopher (Cited 143 times)",2329,"Law & Social Inquiry, Vol. 37, Issue 1 (Winter 2012), pp. 155-166",37 Law & Soc. Inquiry 155 (2012),"Law and Society, History, Legal History",9,na,10
"In a Wilderness of Tigers: Violence, the Discourse of English Colonizing, and the Refusals of American History [article]","Tomlins, Christopher (Cited 143 times)",2329,"Theoretical Inquiries in Law, Vol. 4, Issue 2 (July 2003), pp. 451-490",4 Theoretical Inq. L. 451 (2003),"History, Legal History, Violence, Slavery, Comparative Law, International Law: History",6,na,11
"Politics, Police, Past and Present: Larry Kramer's The People Themselves [article]","Tomlins, Christopher (Cited 143 times)",2329,"Chicago-Kent Law Review, Vol. 81, Issue 3 (2006), pp. 1007-1028",81 Chi.-Kent L. Rev. 1007 (2006),"Police, Politics, Constitutional Law, Judges, President/Executive Department",5,na,9
In This Issue [notes],"Tomlins, Christopher (Cited 143 times)",2329,"Law and Social Inquiry , Vol. 31, Issue 4 (Fall 2006), pp. 795-796",31 Law & Soc. Inquiry 795 (2006),"Discrimination, Employment, Employment Discrimination, Employment Practice, Jurisprudence, Human Rights Law, Law and Society",5,na,5
The Threepenny Constitution (and the Question of Justice) [article],"Tomlins, Christopher (Cited 143 times)",2329,"Alabama Law Review, Vol. 58, Issue 5 (2007), pp. 979-1008",58 Ala. L. Rev. 979 (2006-2007),"Violence, Copyright, Libel, Remedies, Adopted Children",5,na,10
Transplants and Timing: Passages in the Creation of an Anglo-American Law of Slavery [article],"Tomlins, Christopher (Cited 143 times)",2329,"Theoretical Inquiries in Law, Vol. 10, Issue 2 (July 2009), pp. 389-422",10 Theoretical Inq. L. 389 (2009),"Legal History, Slavery",4,na,14
Whose Law: What Order: Historicist Interventions in the War against Crime [article],"Tomlins, Christopher L. (Cited 143 times)",2329,"Law in Context: A Socio-Legal Journal, Vol. 3, pp. 130-147",3 Law Context: A Socio-Legal J. 130 (1985),"War, Criminology",4,na,4
American Legal History in Retrospect and Prospect: Reflections on the Twenty-fifth Anniversary of Morton Horwitz's Transformation of American Law [article],"Tomlins, Christopher (Cited 143 times)",2329,"Law & Social Inquiry, Vol. 28, Issue 4 (Fall 2003), pp. 1135-1148",28 Law & Soc. Inquiry 1135 (2003),"History, Legal History, Jurisprudence",4,na,3
A Mirror Crack'd? The Rule of Law in American History [reviews],"Tomlins, Christopher L. (Cited 143 times)",2329,"William and Mary Law Review, Vol. 32, Issue 2 (Winter 1991), pp. 353-398",32 Wm. & Mary L. Rev. 353 (1990-1991),"Legal History, Products Liability Law, Torts, Reproduction",4,na,7
"The Consumption of History in the Legal Academy: Science and Synthesis, Perils and Prospects [comments]","Tomlins, Christopher (Cited 143 times)",2329,"Journal of Legal Education, Vol. 61, Issue 1 (August 2011), pp. 139-165",61 J. Legal Educ. 139 (2011-2012),"History, Legal History, Biography",3,na,11
Organic Poise: Capitalism as Law [article],"Tomlins, Christopher (Cited 143 times)",2329,"Buffalo Law Review, Vol. 64, Issue 1 (January 2016), pp. 61-80",64 Buff. L. Rev. 61 (2016),"Democracy, Government, Socialism, Banking, Islamic Law",2,na,17
Animals Accurs'd: Ferae Naturae and the Law of Property in Nineteenth-Century North America [article],"Tomlins, Christopher (Cited 143 times)",2329,"University of Toronto Law Journal, Vol. 63, Issue 1 (Winter 2013), pp. 35-52",63 U. Toronto L.J. 35 (2013),"Animal Law, Comparative Law, Judges, Legal History, Property Law",2,na,7
