Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Force, Inc.: The Privatization of Punishment, Policing, and Military Force in Liberal States [article]","Rosky, Clifford J. (Cited 197 times)",7949,"Connecticut Law Review, Vol. 36, Issue 3 (Spring 2004), pp. 879-1032",36 Conn. L. Rev. 879 (2003-2004),"Military Law, Privatization, Punishment, States, European Union, Violence",68,1,48
"Like Father, Like Son: Homosexuality, Parenthood, and the Gender of Homophobia [article]","Rosky, Clifford J. (Cited 197 times)",7949,"Yale Journal of Law and Feminism, Vol. 20, Issue 2 (2009), pp. 257-356",20 Yale J.L. & Feminism 257 (2008-2009),"Domestic Relations, Gender, Homosexuality, Sexuality and the Law, Discrimination, Pornography, Sex, Sex Discrimination",46,na,39
Fear of the Queer Child [article],"Rosky, Clifford J. (Cited 197 times)",7949,"Buffalo Law Review, Vol. 61, Issue 3 (May 2013), pp. 607-698",61 Buff. L. Rev. 607 (2013),"Children, Fourteenth Amendment, Juveniles, Sexuality and the Law, Politics, Regulation, Interest",31,na,63
Perry v. Schwarzenegger and the Future of Same-Sex Marriage Law [article],"Rosky, Clifford J. (Cited 197 times)",7949,"Arizona Law Review, Vol. 53, Issue 3 (2011), pp. 913-984",53 Ariz. L. Rev. 913 (2011),"Domestic Relations, Fourteenth Amendment, Martial Law, Same-Sex Marriage, Sex, Sexuality and the Law",30,na,11
No Promo Hetero: Children's Right to Be Queer [article],"Rosky, Clifford J. (Cited 197 times)",7949,"Cardozo Law Review, Vol. 35, Issue 2 (December 2013), pp. 425-510",35 Cardozo L. Rev. 425 (2013-2014),"Children, Fourteenth Amendment, Juveniles, Sexuality and the Law, Politics, Regulation, Asylum, Citizenship, Violence",18,na,10
Anti-Gay Curriculum Laws [article],"Rosky, Clifford (Cited 197 times)",7949,"Columbia Law Review, Vol. 117, Issue 6 (October 2017), pp. 1461-1542",117 Colum. L. Rev. 1461 (2017),"Curriculum, Discrimination, Education Law, Sex, Sex Education, Schools",4,na,45
"Like Father, like Son: Homosexuality, Parenthood, and the Gender of Homophobia [article]","Rosky, Clifford J. (Cited 197 times)",7949,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 9, Issue 1 (2010), pp. 1-100",9 Dukeminier Awards: Best Sexual Orientation & Gender Identity L. Rev. 1 (2010),"Gender, Homosexuality, Domestic Relations, Sexuality and the Law, Discrimination, Pornography, Sex, Sex Discrimination",na,na,6
Perry v. Schwarzenegger and the Future of Same-Sex Marriage Law [article],"Rosky, Clifford J. (Cited 197 times)",7949,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 12, pp. 913-983",12 Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review 913 (2012-2013),"Martial Law, Same-Sex Marriage, Sex, Domestic Relations, Fourteenth Amendment, Sexuality and the Law",na,na,3
Perry v. Schwarzenegger and the Future of Same-Sex Marriage Law [article],"Rosky, Clifford J. (Cited 197 times)",7949,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 11, pp. 913-983",11 Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review 913 (2011-2012),"Martial Law, Same-Sex Marriage, Sex, Domestic Relations, Fourteenth Amendment, Sexuality and the Law",na,na,1
Expanding Liberty to Privatize Dependency: How the Evolution of Marriage Has Shaped Constitutional Law [reviews],"Rosky, Clifford (Cited 197 times)",7949,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-3",2018 Jotwell: J. Things We Like 1 (2018),"Constitutional Law, Liberty, Martial Law, Constitutional Law, Domestic Relations, Sexual Orientation, Supreme Court of the United States, Domestic Relations, Family Responsibility/Support Laws",na,na,na
Sex Discrimination: The Future of LGBT Rights [reviews],"Rosky, Clifford (Cited 197 times)",7949,"Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [127]-[129]",2016 Jotwell: J. Things We Like [127] (2016),"Discrimination, Sex, Sex Discrimination",na,na,na
Legitimacy's Uncertainties: Exploring the Presumption's Premises [reviews],"Rosky, Clifford (Cited 197 times)",7949,"Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [67]-[70]",2015 Jotwell: J. Things We Like [67] (2015),"Domestic Relations, Family Responsibility/Support Laws, Sex, Child Support, Paternity",na,na,na
Same-Sex Marriage - A Liberty for All [reviews],"Rosky, Clifford (Cited 197 times)",7949,"Jotwell: The Journal of Things We Like (Lots), Vol. 2013, pp. [279]-[281]",2013 Jotwell: J. Things We Like [279] (2013),na,na,na,na
LGBTA: Asexuality Becomes a Movement [reviews],"Rosky, Clifford (Cited 197 times)",7949,"Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [485]-[487]",2014 Jotwell: J. Things We Like [485] (2014),"Sexuality and the Law, Sexuality and the Law, Discrimination, Sex, Sex Offenders",na,na,na
