Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Limits of Liberal Republicanism: Why Group-Based Remedies and Republican Citizenship Don't Mix [comments],"Ward, Cynthia V. (Cited 122 times)",1188,"Columbia Law Review, Vol. 91, Issue 3 (April 1991), pp. 581-607",91 Colum. L. Rev. 581 (1991),"Citizenship, Civil Rights, Politics, Remedies, Affirmative Action, Legislation, Courts, Discrimination, Equal Protection",36,na,9
"Kinder, Gentler Liberalism Visions of Empathy in Feminist and Communitarian Literature, A [article]","Ward, Cynthia V. (Cited 122 times)",1188,"University of Chicago Law Review, Vol. 61, Issue 3 (Summer 1994), pp. 929-956",61 U. Chi. L. Rev. 929 (1994),"Jurisprudence, Literature, Feminism, Hermeneutics, Politics",22,na,6
Coercion and Choice under the Establishment Clause [article],"Ward, Cynthia V. (Cited 122 times)",1188,"U.C. Davis Law Review, Vol. 39, Issue 4 (April 2006), pp. 1621-1668",39 U.C. Davis L. Rev. 1621 (April 2006),"Constitutional Law, Religion, Standing, Jurisprudence, Education Law, Psychiatrists and Psychologists",15,na,11
Punishing Children in the Criminal Law [article],"Ward, Cynthia V. (Cited 122 times)",1188,"Notre Dame Law Review , Vol. 82, Issue 1 (November 2006), pp. 429-480",82 Notre Dame L. Rev. 429 (2006-2007),"Children, Criminal Law, Criminal Law, Juveniles, Punishment, Foster Care, Sentencing",12,na,46
Radical Feminist Defense of Individualism [article],"Ward, Cynthia V. (Cited 122 times)",1188,"Northwestern University Law Review, Vol. 89, Issue 3 , pp. 871-899",89 Nw. U. L. Rev. 871 (1994-1995),"Property Law, Democracy, Human Rights Law",11,na,15
Stand Your Ground and Self-Defense [article],"Ward, Cynthia V. (Cited 122 times)",1188,"American Journal of Criminal Law, Vol. 42, Issue 2 (Spring 2015), pp. 89-138",42 Am. J. Crim. L. 89 (2014-2015),"Legal History, Self-Defense, Criminal Law, Second Amendment, Standing, Statutes, Violence",8,na,127
"A Response to Professor Vernellia R. Randall's The Myers-Briggs Type Indicator, First Year Law Students and Performance [article]","Ward, Cynthia V. (Cited 122 times)",1188,"Cumberland Law Review, Vol. 26, Issue 1 (1995), pp. 111-120",26 Cumb. L. Rev. 111 (1995-1996),"Law Students, Students, Legal Education, Legal Profession",8,na,5
On Difference and Equality [article],"Ward, Cynthia V. (Cited 122 times)",1188,"Legal Theory, Vol. 3, Issue 1 (March 1997), pp. 65-[iv]",3 LEG 65 (1997),"Child Custody, Domestic Relations, Gender, Jurisprudence, Neutrality, Feminism, Politics, Law and Society",5,na,10
Defending Truth [reviews],"Ward, Cynthia V. (Cited 122 times); Alces, Peter A. (Cited 451 times)",1188,"Texas Law Review, Vol. 78, Issue 2 , pp. 493-540",78 Tex. L. Rev. 493 (1999-2000),"Race, War",3,na,11
Mental Illness and Danger to Self [article],"Ward, Cynthia V. (Cited 122 times)",1188,"Mental Health Law and Policy Journal, Vol. 3, Issue 2 (Spring 2014), pp. 253-319",3 Mental Health L. & Pol'y J. 253 (Spring 2014),"Civil Commitment, Commitment, Practice and Procedure, Legislation, Patients",1,na,11
Liberalism and Republicanism in the Historical Imagination [reviews],"Ward, Cynthia (Cited 122 times)",1188,"Constitutional Commentary, Vol. 10, Issue 1 (Winter 1993), pp. 258-266",10 Const. Comment. 258 (1993),"Constitutional Law, Government, State Action",na,na,47
Introduction: Reconstructing Liberalism [notes],"Ward, Cynthia V. (Cited 122 times)",1188,"William and Mary Law Review, Vol. 40, Issue 2 (February 1999), pp. 719-722",40 Wm. & Mary L. Rev. 719 (1998-1999),"Jurisprudence, Literature, Children, History",na,na,6
Introductory Remarks: Criminal Law Panel [comments],"Ward, Cynthia V. (Cited 122 times)",1188,"William and Mary Law Review , Vol. 48, Issue 5 (April 2007), pp. 1789-1792",48 Wm. & Mary L. Rev. 1789 (April 2007),"Criminal Law, Punishment, Law and Society",na,na,3
Restoring Fairness to Campus Sex Tribunals [article],"Ward, Cynthia V. (Cited 122 times)",1188,"Tennessee Law Review, Vol. 85, Issue 4 (Summer 2018), pp. 1073-1140",85 Tenn. L. Rev. 1073 (2017-2018),"Sex, Education Law, Information Privacy, Misconduct, Sex Crimes, Due Process",na,na,13
Criminal Culpability and the Political Meaning of Age [reviews] *new*,"Ward, Cynthia V. (Cited 122 times)",1188,"Criminal Justice Ethics, Vol. 38, Issue 2 (2019), pp. 123-137",Full Text Not Currently Available in HeinOnline,"Age, Children, Politics, Sexual Abuse, Philosophy",na,na,na
