Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Limiting Erie in a New Age of International Law: Toward a Federal Common Law of International Choice of Law [article],"Chow, Daniel C. K. (Cited 396 times)",3388,"Iowa Law Review, Vol. 74, Issue 1 (October 1988), pp. 165-226",74 Iowa L. Rev. 165 (1988-1989),"Age, Choice of Law, Common Law, Conflict of Laws, International Law: History, Practice and Procedure, Federalism, Jurisdiction, Politics",50,2,5
Rethinking the Act of State Doctrine: An Analysis in Terms of Jurisdiction to Prescribe [article],"Chow, Daniel C. K. (Cited 396 times)",3388,"Washington Law Review, Vol. 62, Issue 3 (July 1987), pp. 397-478",62 Wash. L. Rev. 397 (1987),"Jurisdiction, Government Liability, International Finance, International Loans, Judiciary, Politics, States",45,1,7
Counterfeiting in the People's Republic of China [article],"Chow, Daniel C. K. (Cited 396 times)",3388,"Washington University Law Quarterly, Vol. 78, Issue 1 (Spring 2000), pp. 1-58",78 Wash. U. L. Q. 1 (2000),"Comparative Law, Counterfeiting, Intellectual Property Law",41,na,31
A Pragmatic Model of Law [article],"Chow, Daniel C. K. (Cited 396 times)",3388,"Washington Law Review, Vol. 67, Issue 4 (October 1992), pp. 755-826",67 Wash. L. Rev. 755 (1992),"Jurisprudence, Economics, Law and Economics",29,na,7
Why China Does Not Take Commercial Piracy Seriously [article],"Chow, Daniel C. K. (Cited 396 times)",3388,"Ohio Northern University Law Review, Vol. 32, Issue 2 (2006), pp. 203-226",32 Ohio N.U. L. Rev. 203 (2006),"Comparative Law, Intellectual Property Law, Counterfeiting, Multinational Corporations, Trademarks",27,na,30
Trashing Nihilism [article],"Chow, Daniel C. K. (Cited 396 times)",3388,"Tulane Law Review, Vol. 65, Issue 2 , pp. 221-298",65 Tul. L. Rev. 221 (1990-1991),"Academic Freedom, Education Law, Jurisprudence, Death",25,na,25
China under the Foreign Corrupt Practices Act [article],"Chow, Daniel (Cited 396 times)",3388,"Wisconsin Law Review, Vol. 2012, Issue 2 (2012), pp. 573-608",2012 Wis. L. Rev. 573 (2012),"Comparative Law, International Trade, Bribery",17,na,13
Anti-Counterfeiting Strategies of Multi-National Companies in China: How a Flawed Approach is Making Counterfeiting Worse [article],"Chow, Daniel (Cited 396 times)",3388,"Georgetown Journal of International Law , Vol. 41, Issue 4 (2010 ), pp. 749-780",41 Geo. J. Int'l L. 749 (2009-2010),"Counterfeiting, Intellectual Property Law, Multinational Corporations, Trademarks, Criminal Law, Developing Countries, International Trade, Law and Society, Comparative Law, Corporations",13,na,53
Enforcement against Counterfeiting in the People's Republic of China [article],"Chow, Daniel C. K. (Cited 396 times)",3388,"Northwestern Journal of International Law & Business, Vol. 20, Issue 3 (Spring 2000), pp. 447-474",20 Nw. J. Int'l L. & Bus. 447 (1999-2000),"Counterfeiting, Intellectual Property Law, Comparative Law, Multinational Corporations, Trademarks",12,na,19
The Interplay between China's anti-Bribery Laws and the Foreign Corrupt Practices Act [article],"Chow, Daniel (Cited 396 times)",3388,"Ohio State Law Journal, Vol. 73, Issue 5 (2012), pp. 1015-1038",73 Ohio St. L.J. 1015 (2012),"Bribery, Comparative Law, International Trade, Business Organizations, Criminal Law, Securities Law",12,na,21
