Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Quantitative Legal Prediction - Or - How I Learned to Stop Worrying and Start Preparing for the Data-Driven Future of the Legal Services Industry [article],"Katz, Daniel Martin (Cited 176 times)",7119,"Emory Law Journal, Vol. 62, Issue 4 (2013), pp. 909-966",62 Emory L.J. 909 (2013),"Industry, Legal Services, Discovery, Dispute Resolution, Practice and Procedure, Communications Law, Legal Profession, Professional Ethics, Social Media",61,na,211
Taking State Constitution Seriously [article],"Krislov, Marvin (Cited 47 times); Katz, Daniel M. (Cited 176 times)",7119,"Cornell Journal of Law and Public Policy, Vol. 17, Issue 2 (Spring 2008), pp. 295-342",17 Cornell J. L. & Pub. Pol'y 295 (2007-2008),"Constitutional Amendment, Constitutional Law, Initiatives and Referenda, Legal History, Politics, Democracy, Fourteenth Amendment",20,na,19
Reproduction of Hierarchy - A Social Network Analysis of the American Law Professoriate [article],"Katz, Daniel Martin (Cited 176 times); Gubler, Joshua R. (Cited 19 times); Zelner, Jon (Cited 19 times); Bommarito, Michael J. II (Cited 29 times)",7119,"Journal of Legal Education, Vol. 61, Issue 1 (August 2011), pp. 76-103",61 J. Legal Educ. 76 (2011-2012),"Law and Society, Reproduction, Courts, Judges, Judiciary, Legal Profession",19,na,31
Hustle and Flow: A Social Network Analysis of the American Federal Judiciary [article],"Katz, Daniel M. (Cited 176 times); Stafford, Derek K. (Cited 25 times)",7119,"Ohio State Law Journal, Vol. 71, Issue 3 (2010), pp. 457-510",71 Ohio St. L.J. 457 (2010),"Judges, Judiciary, Law and Society, Legal Profession, Reproduction, Trade Secrets",18,na,16
"Measuring, Monitoring, and Managing Legal Complexity [article]","Ruhl, J.B. (Cited 2821 times); Katz, Daniel Martin (Cited 176 times)",7119,"Iowa Law Review, Vol. 101, Issue 1 (November 2015), pp. 191-244",101 Iowa L. Rev. 191 (2015-2016),"Jurisprudence, Science and Technology, Bankruptcy Law, Government",13,na,71
An Empirical Survey of the Population of U.S. Tax Court Written Decisions [article],"Bommarito, Michael J. II (Cited 29 times); Katz, Daniel Martin (Cited 176 times); Isaacs-See, Jillian (Cited 10 times)",7119,"Virginia Tax Review, Vol. 30, Issue 3 (Winter 2011), pp. 523-558",30 Va. Tax Rev. 523 (2010-2011),"Courts, Judiciary, Jurisdiction, Legislation, Research, Statutory Interpretation, Taxation-Federal Income",9,na,20
"Institutional Rules, Strategic Behavior, and the Legacy of Chief Justice William Rehnquist: Setting the Record Straight on Dickerson v. United States [article]","Katz, Daniel M. (Cited 176 times)",7119,"Journal of Law & Politics, Vol. 22, Issue 4 (Fall 2006), pp. 303-340",22 J.L. & Pol. 303 (2006),"Judges, States, Criminal Law, Sixth Amendment, Constitutional Law, Practice and Procedure",9,na,15
The MIT School of Law - A Perspective on Legal Education in the 21st Century [article],"Katz, Daniel Martin (Cited 176 times)",7119,"University of Illinois Law Review, Vol. 2014, Issue 5 (2014), pp. 1431-1472",2014 U. Ill. L. Rev. 1431 (2014),"Business Organizations, Education Law, Legal Education, Industry, Legal Services, Banking, Regulation",8,na,35
"Social Architecture, Judicial Peer Effects and the Evolution of the Law: Toward a Positive Theory of Judicial Social Structure [article]","Katz, Daniel M. (Cited 176 times); Stafford, Derek K. (Cited 25 times); Provins, Eric (Cited 7 times)",7119,"Georgia State University Law Review, Vol. 24, Issue 4 (Summer 2008), pp. 977-1002",24 Ga. St. U. L. Rev. 977 (2007-2008),"Judges, Judiciary, Law and Society, Legal Profession, Reproduction, Intellectual Property Law",7,na,9
"An Rx for the Modification of the Medicare Prescription Drug, Improvement, and Modernization Act of 2003: Toward a Reform with Results [article]","Katz, Daniel (Cited 176 times); Deshpande, Monica (Cited 3 times)",7119,"Annals of Health Law, Vol. 14, Issue 1 (Winter 2005), pp. 183-204",14 Annals Health L. 183 (2005),"Elder Law, Food and Drug Law, Medicare, Prescription, Health, Health Law, Social Welfare Law",3,na,2
Legal by Design: A New Paradigm for Handling Complexity in Banking Regulation and Elsewhere in Law [article],"Lippe, Paul (Cited 8 times); Katz, Daniel Martin (Cited 176 times); Jackson, Dan (Cited 6 times)",7119,"Oregon Law Review, Vol. 93, Issue 4 (2015), pp. 833-852",93 Or. L. Rev. 833 (2014-2015),"Banking, Regulation, Jurisprudence, Science and Technology, Living Wills, Wills",3,na,28
A Commentary of Professor Morris's Comparison of Discrimination for Union Activity under the NLRA and RLA [article],"Katz, Daniel M. (Cited 176 times); Zanar, Louise P. (Cited 9 times); Dominitz, Erica J. (Cited 3 times)",7119,"Employee Rights and Employment Policy Journal, Vol. 3, Issue 2 (1999), pp. 305-348",3 Emp. Rts. & Emp. Pol'y J. 305 (1999),"Discrimination, Age, Retirement, Aviation",3,na,2
Parental Rights and Responsibility Act: Two Views [article],"Shokrall, Nina; Katz, Dan (Cited 176 times)",7119,"Federal Lawyer, Vol. 43, Issue 8 (September 1996), pp. 37-40",43 Fed. Law. 37 (1996),"Abortion, Consent, Juveniles, Minors, Parents and Children, Domestic Relations, International Law: History",na,na,na
The Cultural Adjustment of the Polish Group in the City of Buffao: An Experiment in the Technique of Social Investigation [article],"Carpenter, Niles; Katz, Daniel (Cited 176 times)",7119,"Social Forces, Vol. 6, Issue 1 (September 1927), pp. 76-85",6 Soc. F. 76 (1927-1928),"Minorities, Education Law, Elections",na,na,2
