Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Bargaining and Distribution in Special Education [article],"Caruso, Daniela (Cited 148 times)",2015,"Cornell Journal of Law and Public Policy, Vol. 14, Issue 2 (Summer 2005), pp. 171-198",14 Cornell J. L. & Pub. Pol'y 171 (Summer 2005),"Economics, Education Law, Special Education, Parents and Children, Disability Law",25,1,11
Private Law and State-Making in the Age of Globalization [article],"Caruso, Daniela (Cited 148 times)",2015,"New York University Journal of International Law and Politics , Vol. 39, Issue 1 (Fall 2006), pp. 1-74",39 N.Y.U. J. Int'l L. & Pol. 1 (2006-2007),"Age, Globalization, Politics, Civil Law",25,na,26
The Missing View of the Cathedral: The Private Law Paradigm of European Legal Integration [article],"Caruso, Daniela (Cited 148 times)",2015,"European Law Journal, Vol. 3, Issue 1 (March 1997), pp. 3-32",3 Eur. L.J. 3 (1997),"Contracts, Jurisprudence, European Union",24,na,4
Autism in the U.S.: Social Movement and Legal Change [article],"Caruso, Daniela (Cited 148 times)",2015,"American Journal of Law & Medicine, Vol. 36, Issue 4 (2010 ), pp. 483-539",36 Am. J.L. & Med. 483 (2010),"Autism, Law and Society, Criminal Law, Disability Law, Psychiatrists and Psychologists, Genetic Testing, Professional Ethics",23,1,48
Limits of the Classic Method: Positive Action in the European Union after the New Equality Directives [article],"Caruso, Daniela (Cited 148 times)",2015,"Harvard International Law Journal, Vol. 44, Issue 2 (Summer 2003), pp. 331-386",44 Harv. Int'l L.J. 331 (2003),"European Union, Law and Society, International Law: History, Constitutions",17,na,29
Contract Law and Distribution in the Age of Welfare Reform [article],"Caruso, Daniela (Cited 148 times)",2015,"Arizona Law Review, Vol. 49, Issue 3 (2007), pp. 665-694",49 Ariz. L. Rev. 665 (2007),"Age, Usury, Law and Society, Race",13,na,7
Private Law and Public Stakes in European Integration: The Case of Property [article],"Caruso, Daniela (Cited 148 times)",2015,"European Law Journal, Vol. 10, Issue 6 (November 2004), pp. 751-765",10 Eur. L.J. 751 (2004),"Contracts, Suretyship, Family Responsibility/Support Laws",12,na,6
EU Law in U.S. Legal Academia [article],"Caruso, Daniela (Cited 148 times)",2015,"Tulane Journal of International and Comparative Law, Vol. 20, Issue 1 (Winter 2011), pp. 175-202",20 Tul. J. Int'l & Comp. L. 175 (2011-2012),"Legal Education, Comparative Law, European Union, Arbitration, Investment",4,na,6
Direct Concern in Regional Policy: The European Court of Justice and the Southern Question [article],"Caruso, Daniela (Cited 148 times)",2015,"European Law Journal, Vol. 17, Issue 6 (November 2011), pp. 804-827",17 Eur. L.J. 804 (2011),"European Communities, Rent, European Union",2,na,3
Lochner in Europe: A Comment on Keith Whittington's Congress before the Lochner Court [comments],"Caruso, Daniela (Cited 148 times)",2015,"Boston University Law Review, Vol. 85, Issue 3 (June 2005), pp. 867-880",85 B.U. L. Rev. 867 (2005),"Congress, Economics, Law and Society, Constitutional Law",1,na,7
(Presidential) Powers In the European Union [article],"Caruso, Daniela (Cited 148 times)",2015,"Boston University Law Review, Vol. 88, Issue 2 (April 2008), pp. 561-576",88 B.U. L. Rev. 561 (2008),"Comparative Law, European Union, Democracy, Treaties",1,na,8
The Baby and the Bath Water: The American Critique of European Contract Law [article],"Caruso, Daniela (Cited 148 times)",2015,"American Journal of Comparative Law, Vol. 61, Issue 3 (Summer 2013), pp. 479-506",61 Am. J. Comp. L. 479 (2013),"Criminal Law, History, Jurisprudence, Technology",1,na,12
Then and Now: Mark Pettit's Modern Unilateral Contracts in the 1980s and in the Age of Blockchains [comments],"Caruso, Daniela (Cited 148 times)",2015,"Boston University Law Review, Vol. 98, Issue 6 (December 2018), pp. 1789-1797",98 B.U. L. Rev. 1789 (2018),"Age, Contracts",na,na,17
Lost at Sea [article],"Caruso, Daniela (Cited 148 times)",2015,"German Law Journal, Vol. 15, Issue 6 (October 2014), pp. 1197-1208",15 German L.J. 1197 (2014),"European Union, Federalism",na,na,17
Non-Parties: The Negative Externalities of Regional Trade Agreements in a Private Law Perspective [article],"Caruso, Daniela (Cited 148 times)",2015,"Harvard International Law Journal, Vol. 59, Issue 2 (Summer 2018), pp. 389-430",59 Harv. Int'l L.J. 389 (2018),"Contracts, International Trade, Environmental Policy, Economics, Investment",na,na,63
