Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Ambiguous Basis of Judicial Deference to Administrative Rules [article],"Hasen, David M. (Cited 113 times)",805,"Yale Journal on Regulation, Vol. 17, Issue 2 (Summer 2000), pp. 327-366",17 Yale J. on Reg. 327 (2000),"Judges, Agency, Legislation",38,2,12
Liberalism and Ability Taxation [article],"Hasen, David (Cited 113 times)",805,"Texas Law Review, Vol. 85, Issue 5 (April 2007), pp. 1057-1114",85 Tex. L. Rev. 1057 (2006-2007),"Politics, Taxation, Taxation-Federal Income, Economics",22,na,10
A Realization-Based Approach to the Taxation of Financial Instruments [article],"Hasen, David M. (Cited 113 times)",805,"Tax Law Review, Vol. 57, Issue 3 (Spring 2004), pp. 397-482",57 Tax L. Rev. 397 (2003-2004),"Taxation, Taxation-Federal Income, Debts, Equity",12,na,13
Unwinding Unwinding [article],"Hasen, David (Cited 113 times)",805,"Emory Law Journal , Vol. 57, Issue 4 (2008), pp. 871-946",57 Emory L.J. 871 (2007-2008),"Taxation-Federal Income, Fraud",9,na,8
Tax Neutrality and Tax Amenities [article],"Hasen, David (Cited 113 times)",805,"Florida Tax Review, Vol. 12, Issue 2 (2012), pp. 57-124",12 Fla. Tax Rev. 57 (2012),"Neutrality, Sovereignty",8,na,32
Partnership Special Allocations Revisited [article],"Hasen, David (Cited 113 times)",805,"Florida Tax Review, Vol. 13, Issue 7 (2012), pp. 349-396",13 Fla. Tax Rev. 349 (2012-2013),"Partnerships, Regulation, Debts",7,na,9
The Tax Treatment of Advance Receipts [article],"Hasen, David (Cited 113 times)",805,"Tax Law Review, Vol. 61, Issue 4 (Summer 2008), pp. 395-458",61 Tax L. Rev. 395 (2007-2008),"Debts, Economics, Interest, Taxation, Accounting",5,na,6
Financial Options in the Real World: An Economic and Tax Analysis [article],"Hasen, David (Cited 113 times)",805,"Florida State University Law Review , Vol. 37, Issue 4 (Summer 2010), pp. 789-840",37 Fla. St. U. L. Rev. 789 (2009-2010),"Economics, Taxation-Federal Income, Sales, Estate Planning",3,na,4
Taxation and Innovation - A Sectorial Approach [article],"Hasen, David (Cited 113 times)",805,"University of Illinois Law Review, Vol. 2017, Issue 3 (2017), pp. 1043-1090",2017 U. Ill. L. Rev. 1043 (2017),"Economics, Intellectual Property Law, Tax Policy, Taxation, Regulation, Transportation Law",3,na,15
Legal Transitions and the Problem of Reliance [article],"Hasen, David M. (Cited 113 times)",805,"Columbia Journal of Tax Law, Vol. 1, Issue 2 (2010), pp. 120-173",1 Colum. J. Tax L. 120 (2010),"Interest, Victims, Social Welfare Law",3,na,3
How Should Gifts Be Treated under the Federal Income Tax [article],"Hasen, David (Cited 113 times)",805,"Michigan State Law Review, Vol. 2018, Issue 1 (2018), pp. 81-116",2018 Mich. St. L. Rev. 81 (2018),"Gifts, Taxation",1,na,17
Some Consequences of Governmental Provision of Rival Goods [article],"Hasen, David (Cited 113 times)",805,"Virginia Tax Review, Vol. 34, Issue 2 (Fall 2014), pp. 319-356",34 Va. Tax Rev. 319 (2014-2015),"Economics, Intellectual Property Law, Human Rights Law, Human Rights Law",1,na,2
Accretion-Based Progressive Wealth Taxation [article],"Hasen, David (Cited 113 times)",805,"Florida Tax Review, Vol. 20, Issue 4 (2017), pp. 277-318",20 Fla. Tax Rev. 277 (2016-2017),"Taxation, Gifts",na,na,12
A Partnership Mark-to-Market Tax Election [article],"Hasen, David (Cited 113 times)",805,"Tax Lawyer, Vol. 71, Issue 1 (Fall 2017), pp. 93-142",71 Tax Law. 93 (2017-2018),"Partnerships, Liability, Congress",na,na,7
The Reinvestment Deduction: A Modest Proposal to Reform the Taxation of Business Income [article],"Hasen, David (Cited 113 times)",805,"Chapman Law Review, Vol. 18, Issue 1 (Fall 2014), pp. 49-64",18 Chap. L. Rev. 49 (2014-2015),"Taxation, States, Corporations",na,na,1
Asset Basis in Acquisitive Reorganizations: General Utilities Hangover [article],"Hasen, David (Cited 113 times)",805,"Tax Lawyer, Vol. 72, Issue 2 (Winter 2019), pp. 481-500",72 Tax Law. 481 (2018-2019),"Mergers, Banking, Holding Companies",na,na,6
