Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Criminal Procedure, Footnote Four, and the Theory of Public Choice; or, Why Don't Legislatures Give a Damn about the Rights of the Accused [article]","Dripps, Donald A. (Cited 1611 times)",2210,"Syracuse Law Review, Vol. 44, Issue 4 (1993), pp. 1079-1102",44 Syracuse L. Rev. 1079 (1993),"Criminal Procedure, Procedure, Economics, Education Law, Politics, Statutory Interpretation",159,na,32
Living with Leon [article],"Dripps, Donald (Cited 1611 times)",2210,"Yale Law Journal, Vol. 95, Issue 5 (April 1986), pp. 906-948",95 Yale L.J. 906 (1985-1986),"Good Faith, Hearsay",145,10,3
Beyond Rape: An Essay on the Difference between the Presence of Force and the Absence of Consent [article],"Dripps, Donald A. (Cited 1611 times)",2210,"Columbia Law Review, Vol. 92, Issue 7 (November 1992), pp. 1780-1809",92 Colum. L. Rev. 1780 (1992),"Consent, Criminal Law, Jurisprudence, Rape",127,1,129
Akhil Amar on Criminal Procedure and Constitutional Law: Here I Go Down That Wrong Road Again [article],"Dripps, Donald (Cited 1611 times)",2210,"North Carolina Law Review, Vol. 74, Issue 5 (June 1996), pp. 1559-1640",74 N.C. L. Rev. 1559 (1995-1996),"Constitutional Law, Criminal Law, Criminal Procedure, Procedure",91,2,6
Ineffective Assistance of Counsel: The Case for an Ex Ante Parity Standard [article],"Dripps, Donald A. (Cited 1611 times)",2210,"Journal of Criminal Law and Criminology, Vol. 88, Issue 1 (Fall 1997), pp. 242-308",88 J. Crim. L. & Criminology 242 (1997-1998),"Constitutional Law, Juveniles, Research, Right to Counsel, Mandates",84,2,17
Against Police Interrogation--And the Privilege against Self-Incrimination [comments],"Dripps, Donald A. (Cited 1611 times)",2210,"Journal of Criminal Law and Criminology, Vol. 78, Issue 4 (Winter 1988), pp. 699-734",78 J. Crim. L. & Criminology 699 (1987-1988),"Criminal Law, Police, Self-Incrimination, Evidence",70,na,9
The Constitutional Status of the Reasonable Doubt Rule [article],"Dripps, Donald A. (Cited 1611 times)",2210,"California Law Review, Vol. 75, Issue 5 (October 1987), pp. 1665-1718",75 Calif. L. Rev. 1665 (1987),"Due Process, Proof, Criminal Law, Criminal Law, Procedure, Defenses",61,1,12
"Constitutional Theory for Criminal Procedure: Dickerson, Miranda, and the Continuing Quest for Broad-but-Shallow [article]","Dripps, Donald A. (Cited 1611 times)",2210,"William and Mary Law Review, Vol. 43, Issue 1 (October 2001), pp. 1-78",43 Wm. & Mary L. Rev. 1 (2001-2002),"Criminal Procedure, Jurisprudence, Procedure, Criminal Law, Law and Society, Evidence",54,na,6
The Case for the Contingent Exclusionary Rule [article],"Dripps, Donald (Cited 1611 times)",2210,"American Criminal Law Review, Vol. 38, Issue 1 (Winter 2001), pp. 1-46",38 Am. Crim. L. Rev. 1 (2001),"Exclusionary Rule, Damages, Law Enforcement, Police, Remedies, Criminal Procedure, Evidence, Procedure",54,3,75
"Men, Women and Rape [article]","Dripps, Donald (Cited 1611 times); Fairstein, Linda (Cited 52 times); West, Robin (Cited 3735 times); Denno, Deborah W. (Cited 986 times)",2210,"Fordham Law Review, Vol. 63, Issue 1 (October 1994), pp. 125-174",63 Fordham L. Rev. 125 (October 1994),"Criminal Law, Law and Society, Rape, Women, Bribery, Dispute Resolution, Sexuality and the Law, Witnesses",51,1,35
