Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Constitutional Rights and Military Necessity: Reflections on the Society Apart [article],"Zillman, Donald N. (Cited 364 times); Imwinkelried, Edward J. (Cited 2531 times)",73,"Notre Dame Lawyer, Vol. 51, Issue 3 (February 1976), pp. 396-436",51 Notre Dame Law. 396 (1975-1976),"Constitutional Rights, Courts, Federal Courts, Military Law",34,na,6
Intramilitary Tort Law: Incidence to Service Meets Constitutional Tort [article],"Zillman, Donald (Cited 364 times)",73,"North Carolina Law Review, Vol. 60, Issue 3 (1981-1982), pp. 489-542",60 N.C. L. Rev. 489 (1981-1982),"Immunity, Torts, States",29,1,1
Legal Aspects of Solar Energy Development [article],"Zillman, Donald N. (Cited 364 times); Deeny, Raymond (Cited 29 times)",73,"Arizona State Law Journal, Vol. 1976, Issue 1 (1976), pp. 25-62",1976 Ariz. St. L.J. 25 (1976),"Solar Energy, Tax Incentives",29,na,5
The Legacy of Greer v. Spock: The Public Forum Doctrine and the Principle of the Military's Political Neutrality [article],"Zillman, Donald N. (Cited 364 times); Imwinkelried, Edward J. (Cited 2531 times)",73,"Georgetown Law Journal, Vol. 65, Issue 2 (December 1976), pp. 773-806",65 Geo. L. J. 773 (December 1976),"Neutrality, Judges, Martial Law, Medical Jurisprudence, Military Law",26,na,4
"Congress, Courts and Government Tort Liability: Reflections on the Discretionary Function Exception to the Federal Tort Claims Act [article]","Zillman, Donald N. (Cited 364 times)",73,"Utah Law Review, Vol. 1989, Issue 3 (1989), pp. 687-740",1989 Utah L. Rev. 687 (1989),"Congress, Courts, Government, Liability, Tort Claims, Torts",20,na,3
Law Student Employment and Legal Education [article],"Zillman, Donald N. (Cited 364 times); Gregory, Vickie R. (Cited 27 times)",73,"Journal of Legal Education , Vol. 36, Issue 3 (1986), pp. 390-402",36 J. Legal Educ. 390 (1986),"Education Law, Employment, Legal Education, Courts",19,na,10
Evolution in the First Amendment: Overbreadth Analysis and Free Speech within the Military Community [article],"Imwinkelried, Edward J. (Cited 2531 times); Zillman, Donald N. (Cited 364 times)",73,"Texas Law Review, Vol. 54, Issue 1 (December 1975), pp. 42-88",54 Tex. L. Rev. 42 (1975-1976),"First Amendment, Habeas Corpus, Jurisdiction",19,na,5
Protecting Discretion: Judicial Interpretation of the Discretionary Function Exception to the Federal Tort Claims Act [article],"Zillman, Donald N. (Cited 364 times)",73,"Maine Law Review, Vol. 47, Issue 2 (1995), pp. 365-388",47 Me. L. Rev. 365 (1995),Tort Claims,18,3,2
Perspectives on NEPA in the Courts [article],"Zillman, Donald N. (Cited 364 times); Gentles, Peggy (Cited 18 times)",73,"Environmental Law, Vol. 20, Issue 3 (1990), pp. 505-532",20 Envtl. L. 505 (1990),"Courts, Environmental Policy, Agency",18,na,6
Uncloaking Law School Hiring: A Recruit's Guide to the AALS Faculty Recruitment Conference [article],"Zillman, Don (Cited 364 times); Angel, Marina (Cited 456 times); Laitos, Jan (Cited 451 times); Pring, George (Cited 35 times)",73,"Journal of Legal Education , Vol. 38, Issue 2 (1988), pp. 345-358",38 J. Legal Educ. 345 (1988),"Economics, Race, Legal Education, Legal Profession",18,na,3
The Changing Meanings of Discretion: Evolution in the Federal Tort Claims Act [article],"Zillman, Donald N. (Cited 364 times)",73,"Military Law Review, Vol. 76, pp. 1-42",76 Mil. L. Rev. 1 (1977),"Tort Claims, Jurisdiction, Government, Government Liability, Liability",15,2,2
Free Speech and Military Command [article],"Zillman, Donald N. (Cited 364 times)",73,"Utah Law Review, Vol. 1977, Issue 3 (1977), pp. 423-456",1977 Utah L. Rev. 423 (1977),"States, Employees, First Amendment, Public Employees, International Law: History, National Defense, War",14,1,2
Presenting a Claim under the Federal Tort Claims Act [article],"Zillman, Donald N. (Cited 364 times)",73,"Louisiana Law Review, Vol. 43, Issue 4 (1982-1983), pp. 961-1000",43 La. L. Rev. 961 (1982-1983),"Tort Claims, Notice, Torts, Remedies, States",11,2,na
More Than Tilting at Windmills [comments],"Zillman, Donald (Cited 364 times); Walta, Mary E. (Cited 11 times); Castiella, Inigo del Guayo (Cited 10 times)",73,"Washburn Law Journal, Vol. 49, Issue 1 (Fall 2009), pp. 1-68",49 Washburn L.J. 1 (2009-2010),"Comparative Law, Renewable Energy, Wind Energy",10,na,11
Where Have All the Soldiers Gone--Observations on the Decline of Military Veterans in Government [article],"Zillman, Donald N. (Cited 364 times)",73,"Maine Law Review, Vol. 49, Issue 1 (1997), pp. 85-110",49 Me. L. Rev. 85 (1997),"Government, Veterans' Law, Congress, Intellectual Property Law, Military Service",9,na,7
The New Apprentices: An Empirical Study of Student Employment and Legal Education [article],"Zillman, Donald N. (Cited 364 times); Gregory, Vickie R. (Cited 27 times)",73,"Journal of Contemporary Law, Vol. 12, Issue 2 (1987), pp. 203-242",12 J. Contemp. L. 203 (1987),"Education Law, Employment, Legal Education, Appeals",8,na,4
Regulatory Discretion: The Supreme Court Reexamines the Discretionary Function Exception to the Federal Tort Claims Act [article],"Zillman, Donald N. (Cited 364 times)",73,"Military Law Review, Vol. 110, pp. 115-144",110 Mil. L. Rev. 115 (1985),"Tort Claims, States, Torts",7,na,na
Essay: Where Have All the Soldiers Gone II: Military Veterans in Congress and the State of Civil-Military Relations [comments],"Zillman, Donald N. (Cited 364 times)",73,"Maine Law Review, Vol. 58, Issue 1 (2006), pp. 135-157",58 Me. L. Rev. 135 (2006),"Congress, Intellectual Property Law, Veterans' Law, Government, Military Service",5,na,16
Welcoming Remkars for the First Frank M. Coffin Lecture on Law and Public Service [comments],"Zillman, Donald N. (Cited 364 times)",73,"Maine Law Review, Vol. 45, Issue 1 (1993), pp. 1-2",45 Me. L. Rev. 1 (1993),"Judges, Legal Profession",5,na,1
The American Approach to Defamation [article],"Zillman, Donald N. (Cited 364 times)",73,"Anglo-American Law Review, Vol. 9, Issue 4 (1980), pp. 316-330",9 Anglo-Am. L. Rev. 316 (1980),Defamation,4,na,2
"Controlling Boomtown Development: Lessons from the Intermountain Power Project, Part One [article]","Zillman, Donald (Cited 364 times)",73,"Land and Water Law Review, Vol. 21, Issue 1 (1986), pp. 1-32",21 Land & Water L. Rev. 1 (1986),"Compensation, Police",4,na,na
The University of Utah College of Law: An Analytical History [article],"Zillman, Donald N. (Cited 364 times)",73,"Journal of Contemporary Law, Vol. 10, pp. 141-202",10 J. Contemp. L. 141 (1984),"History, Education Law",3,na,10
Prisoners in the Bangladesh War: Humanitarian Concerns and Political Demands [article],"Zillman, Donald N. (Cited 364 times)",73,"International Lawyer (ABA), Vol. 8, Issue 1 (January 1974), pp. 124-135",8 Int'l L. 124 (1974),"Prisoners, War, Repatriation",3,na,4
