Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Working across Borders: Global Restructuring and Women's Work [article],"Young, Donna E. (Cited 98 times)",4222,"Utah Law Review, Vol. 2001, Issue 1 (2001), pp. 1-74",2001 Utah L. Rev. 1 (2001),"Civil Rights, Domestic Workers, Immigration Law, Labor, Minimum Wage, Occupational Safety and Health, Unemployment Insurance, Wages, Women, Workers' Compensation Law",44,na,8
"Racial Releases, Involuntary Separations, and Employment At-Will [article]","Young, Donna E. (Cited 98 times)",4222,"Loyola of Los Angeles Law Review, Vol. 34, Issue 2 (2001), pp. 351-438",34 Loy. L.A. L. Rev. 351 (2000-2001),"Employment, Employment Practice, Employment-At-Will, Fair Employment, Homosexuality, Law and Society, Court Rules, Procedure, Layoffs, Liability",19,na,6
Two Steps Removed: The Paradox of Diversity Discourse for Women of Color in Law Teaching [notes],"Young, Donna E. (Cited 98 times)",4222,"Berkeley Women's Law Journal, Vol. 11, pp. 270-290",11 Berkeley Women's L.J. 270 (1996),"Legal Education, Women",18,na,4
Culture Confronts the International [article],"Young, Donna E. (Cited 98 times)",4222,"Albany Law Review, Vol. 60, Issue 3 (1997), pp. 907-916",60 Alb. L. Rev. 907 (1996-1997),"Sexuality and the Law, Constitutional Law, Homosexuality, Privacy, Right of Privacy, Sodomy",5,na,16
Post Race Posthaste: Towards an Analytical Convergence of Critical Race Theory and Marxism [article],"Young, Donna E. (Cited 98 times)",4222,"Columbia Journal of Race and Law, Vol. 1, Issue 3 (July 2012), pp. 499-510",1 Colum. J. Race & L. 499 (2011-2012),"Race, Jurisprudence, States, Law and Society",3,na,19
To the Stars through Difficulties: The Legal Construction of Private Space and the Wizard of Oz [article],"Young, Donna E. (Cited 98 times)",4222,"Southern California Interdisciplinary Law Journal, Vol. 20, Issue 1 (Fall 2010), pp. 135-144",20 S. Cal. Interdisc. L.J. 135 (2010-2011),"Law and Society, Legal Education, Psychiatrists and Psychologists",3,na,11
Exploring the Boundaries of Antidiscrimination Law and Equality in the Global Workplace [article],"Young, Donna E. (Cited 98 times)",4222,"Berkeley La Raza Law Journal, Vol. 22, Issue 1 (2012), pp. 215-230",22 Berkeley La Raza L.J. 215 (2012),"Boundaries, Terrorism, Courts, Federal Courts",2,na,7
Two Steps Removed: The Paradox of Diversity Discourse for Women of Color in Law Teaching [article],"Young, Donna E. (Cited 98 times)",4222,"African-American Law & Policy Report, Vol. 2, Issue 1 (Fall 1995), pp. 270-290",2 Afr.-Am. L. & Pol'y Rep. 270 (1995),"Legal Education, Women",2,na,na
The Constitutional Parameters of New York State's Domestic Workers Bill of Rights: Balancing the Rights of Workers and Employers [article],"Young, Donna E. (Cited 98 times)",4222,"Albany Law Review, Vol. 74, Issue 4 (2010-2011), pp. 1769-1788",74 Alb. L. Rev. 1769 (2010-2011),"Domestic Workers, Employment Practice, Labor",1,na,12
Defining Race Through Law: Enforcing the Social Norms of Power and Privilege [article],"Young, Donna E. (Cited 98 times)",4222,"Albany Law Review , Vol. 72, Issue 4 (2009), pp. 1041-1046",72 Alb. L. Rev. 1041 (2009),"Race, History, Law and Society",1,na,7
"Rule of Law, Activism, and Equality: Growing Antisubordination Norms within the Neoliberal University [article]","Halewood, Peter (Cited 85 times); Young, Donna (Cited 98 times)",4222,"John Marshall Law Review, Vol. 50, Issue 2 (2017), pp. 249-270",50 J. Marshall L. Rev. 249 (2016-2017),na,na,na,26
Critical Race Theory: A Comparative Approach [article],"Young, Donna E. (Cited 98 times)",4222,"American Society of International Law Proceedings, Vol. 91, pp. 423-426",91 Am. Soc'y Int'l L. Proc. 423 (1997),"Race, Homes, Immigrants, States, Drugs",na,na,17
Introduction to Chief Justice Marsha Ternus [article],"Young, Donna (Cited 98 times)",4222,"Albany Law Review, Vol. 74, Issue 4 (2010-2011), pp. 1565-1568",74 Alb. L. Rev. 1565 (2010-2011),"Judges, Juveniles, Martial Law, Same-Sex Marriage, Sex, Sexuality and the Law, Constitutional Law",na,na,3
