Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Judicial Partisanship and Obedience to Legal Doctrine: Whistleblowing on the Federal Courts of Appeals [article],"Cross, Frank B. (Cited 3137 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Yale Law Journal, Vol. 107, Issue 7 (May 1998), pp. 2155-2176",107 Yale L.J. 2155 (1997-1998),"Appeals, Courts, Federal Courts, Administration Law, Politics",338,na,10
The Business Method Patent Myth [article],"Allison, John R. (Cited 1863 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Berkeley Technology Law Journal, Vol. 18, Issue 4 (2003), pp. 987-1084",18 Berkeley Tech. L.J. 987 (2003),"Intellectual Property Law, History, Jurisprudence, Patents, Copyrights and Trademarks",102,na,26
A Modest Proposal for Improving American Justice [article],"Tiller, Emerson H. (Cited 1061 times); Cross, Frank B. (Cited 3137 times)",7296,"Columbia Law Review, Vol. 99, Issue 1 (January 1999), pp. 215-234",99 Colum. L. Rev. 215 (January 1999),"Politics, Appeals, Courts, Federal Courts, Judges",92,na,19
The Three Faces of Federalism: An Empirical Assessment of Supreme Court Federalism Jurisprudence [article],"Cross, Frank B. (Cited 3137 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Southern California Law Review, Vol. 73, Issue 4 (May 2000), pp. 741-772",73 S. Cal. L. Rev. 741 (1999-2000),"Federalism, Jurisdiction, Jurisprudence, History, Politics, Legislation, Statutory Construction",62,na,21
The Strategy of Judging: Evidence from Administrative Law [article],"Smith, Joseph L. (Cited 77 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Journal of Legal Studies, Vol. 31, Issue 1 - Part 1 (January 2002), pp. 61-82",31 J. Legal Stud. 61 (2002),"Administration Law, Administration Law, Evidence, Appeals, Courts, Judges",49,na,4
What Is Legal Doctrine [article],"Tiller, Emerson H. (Cited 1061 times); Cross, Frank B. (Cited 3137 times)",7296,"Northwestern University Law Review, Vol. 100, Issue 1 (2006), pp. 517-534",100 Nw. U. L. Rev. 517 (2006),"Administration Law, Judges, International Law: History, Jurisprudence, Politics",47,na,120
Congressional Control of the Courts: A Theoretical and Empirical Analysis of Expansion of the Federal Judiciary [article],"De Figueiredo, John M. (Cited 121 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Journal of Law & Economics, Vol. 39, Issue 2 (October 1996), pp. 435-462",39 J.L. & Econ. 435 (1996),"Courts, Judiciary, Politics, Congress, Judges",41,na,18
"Reviewing the Sentencing Guidelines: Judicial Politics, Empirical Evidence, and Reform [article]","Schanzenbach, Max M. (Cited 440 times); Tiller, Emerson H. (Cited 1061 times)",7296,"University of Chicago Law Review, Vol. 75, Issue 2 (Spring 2008), pp. 715-760",75 U. Chi. L. Rev. 715 (Spring 2008),"Evidence, Politics, Sentencing, Aids",39,na,8
Strategic Instruments: Legal Structure and Political Games in Administrative Law [article],"Tiller, Emerson H. (Cited 1061 times); Spiller, Pablo T. (Cited 349 times)",7296,"Journal of Law, Economics, and Organization , Vol. 15, Issue 2 (July 1999), pp. 349-377",Full Text Not Currently Available in HeinOnline,"Administration Law, Costs, Judicial Review, Agency",na,na,na
Strategic Judging under the U.S. Sentencing Guidelines: Positive Political Theory and Evidence [article],"Schanzenbach, Max M. (Cited 440 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Journal of Law, Economics, and Organization , Vol. 23, Issue 1 (April 2007), pp. 24-56",Full Text Not Currently Available in HeinOnline,"Evidence, Judges, Sentencing, Judicial Discretion",na,na,na
Legal Doctrine and Political Control [article],"Jacobi, Tonja (Cited 466 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Journal of Law, Economics, and Organization , Vol. 23, Issue 2 (June 2007), pp. 326-345",Full Text Not Currently Available in HeinOnline,"Judges, Politics, Legal Analysis and Writing",na,na,na
Controlling Policy by Controlling Process: Judicial Influence on Regulatory Decision Making [article],"Tiller, Emerson H. (Cited 1061 times)",7296,"Journal of Law, Economics, and Organization , Vol. 14, Issue 1 (April 1998), pp. 114-135",Full Text Not Currently Available in HeinOnline,"Costs, Judicial Review, Administration Law, Administrative Agencies",na,na,na
Policing Politics at Sentencing [article],"Bibas, Stephanos (Cited 1826 times); Schanzenbach, Max M. (Cited 440 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Northwestern University Law Review , Vol. 103, Issue 3 (Summer 2009), pp. 1371-1398",103 Nw. U. L. Rev. 1371 (2009),"Criminal Law, Judges, Law Enforcement, Politics, Sentencing, Criminal Procedure, Sixth Amendment, Child Pornography, Pornography",25,na,17
Decision Costs and the Strategic Design of Administrative Process and Judicial Review [article],"Spiller, Pablo T. (Cited 349 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Journal of Legal Studies, Vol. 26, Issue 2 - Part 1 (June 1997), pp. 347-370",26 J. Legal Stud. 347 (1997),"Costs, Judicial Review, Administration Law, Congress",23,na,6
A Positive Political Theory of Rules and Standards [article],"Cross, Frank (Cited 245 times); Jacobi, Tonja (Cited 466 times); Tiller, Emerson (Cited 1061 times)",7296,"University of Illinois Law Review, Vol. 2012, Issue 1 (2012), pp. 1-42",2012 U. Ill. L. Rev. 1 (2012),"Politics, Criminal Law, Judges, Sentencing",18,na,30
Customer Trust in Virtual Environments: A Managerial Perspective [article],"Jarvenpaa, Sirkka L. (Cited 17 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Boston University Law Review, Vol. 81, Issue 3 (June 2001), pp. 665-686",81 B.U. L. Rev. 665 (2001),"Computer Law, Banking, Intellectual Property Law, Intellectual Property Law",17,na,14
Citation to Legislative History: Empirical Evidence on Positive Political and Contextual Theories of Judicial Decision Making [article],"Abramowicz, Michael (Cited 1377 times); Tiller, Emerson H. (Cited 1061 times)",7296,"Journal of Legal Studies, Vol. 38, Issue 2 (June 2009), pp. 419-444",38 J. Legal Stud. 419 (2009),"Evidence, History, Legislation, Legislative History, Politics, Judges, Courts",12,na,3
Putting Politics into the Positive Theory of Federalism: A Comment on Bednar and Eskridge [comments],"Tiller, Emerson H. (Cited 1061 times)",7296,"Southern California Law Review, Vol. 68, Issue 6 (September 1995), pp. 1493-1502",68 S. Cal. L. Rev. 1493 (1994-1995),"Courts, Federalism, Politics, Revolution, Securities Law",12,na,2
