Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Negotiating Federalism [article],"Ryan, Erin (Cited 331 times)",1349,"Boston College Law Review, Vol. 52, Issue 1 (January 2011), pp. 1-136",52 B.C. L. Rev. 1 (January 2011),"Federalism, Jurisdiction, Politics",85,na,30
Federalism and the Tug of War Within: Seeking Checks and Balance in the Interjurisdictional Grey Area [article],"Ryan, Erin (Cited 331 times)",1349,"Maryland Law Review, Vol. 66, Issue 3 (2007), pp. 503-667",66 Md. L. Rev. 503 (2006-2007),"Federalism, War, Jurisprudence, Environmental Law",75,na,24
"Zoning, Taking, and Dealing: The Problems and Promise of Bargaining in Land Use Planning Conflicts [article]","Ryan, Erin (Cited 331 times)",1349,"Harvard Negotiation Law Review, Vol. 7, pp. 337-388",7 Harv. Negot. L. Rev. 337 (2002),"Land Use, Land Use Planning, Zoning, States, Covenants",33,na,13
Public Trust and Distrust: The Theoretical Implications of the Public Trust Doctrine for Natural Resource Management [comments],"Ryan, Erin (Cited 331 times)",1349,"Environmental Law, Vol. 31, Issue 2 (Spring 2001), pp. 477-496",31 Envtl. L. 477 (Spring 2001),"Jurisdiction, Natural Resources Law, Water Law, Courts",33,na,26
The Discourse Beneath: Emotional Epistemology in Legal Deliberation and Negotiation [article],"Ryan, Erin (Cited 331 times)",1349,"Harvard Negotiation Law Review, Vol. 10, pp. 231-286",10 Harv. Negot. L. Rev. 231 (2005),"Psychiatrists and Psychologists, Northern Ireland, Violence, Women",29,na,28
"Federalism at the Cathedral: Property Rules, Liability Rules, and Inalienability Rules in Tenth Amendment Infrastructure [article]","Ryan, Erin (Cited 331 times)",1349,"University of Colorado Law Review, Vol. 81, Issue 1 (2010), pp. 1-96",81 U. Colo. L. Rev. 1 (2010),"Federalism, Jurisprudence, Liability, Tenth Amendment, Immunity",23,na,30
The Spending Power and Environmental Law after Sebelius [article],"Ryan, Erin (Cited 331 times)",1349,"University of Colorado Law Review, Vol. 85, Issue 4 (2014), pp. 1003-1066",85 U. Colo. L. Rev. 1003 (2014),"Environmental Law, Environmental Law, Partnerships, Medicaid",13,na,8
"New Orleans, the Chesapeake, and the Future of Environmental Assessment: Overcoming the Natural Resources Law of Unintended Consequences [article]","Ryan, Erin (Cited 331 times)",1349,"University of Richmond Law Review, Vol. 40, Issue 4 (May 2006), pp. 981-1030",40 U. Rich. L. Rev. 981 (2005-2006),"Environmental Law, Natural Resources Law, Natural Resources Law, Water Law, Wetlands",10,na,2
"Palazzolo, The Public Trust, and the Property Owner's Reasonable Expectations: Takings and the South Carolina Marsh Island Bridge Debate [article]","Ryan, Erin (Cited 331 times)",1349,"Southeastern Environmental Law Journal, Vol. 15, Issue 1 (Fall 2006), pp. 121-146",15 Se. Envtl. L.J. 121 (2006-2007),"Takings, Natural Resources Law, Constitutional Law, Water Law",6,na,4
"The Public Trust Doctrine, Private Water Allocation, and Mono Lake: The Historic Saga of National Audubon Society v. Superior Court [article]","Ryan, Erin (Cited 331 times)",1349,"Environmental Law, Vol. 45, Issue 2 (Spring 2015), pp. 561-642",45 Envtl. L. 561 (2015),"Legal History, Water Law, Takings",4,na,26
Response to Heather Gerken's Federalism and Nationalism: Time for a Detente [article],"Ryan, Erin (Cited 331 times)",1349,"Saint Louis University Law Journal, Vol. 59, Issue 4 (Summer 2015), pp. 1147-[ii]",59 St. Louis U. L.J. 1147 (2014-2015),"Environmental Law, Federalism, Martial Law",3,na,5
Negotiating Federalism Past the Zero-Sum Game [article],"Ryan, Erin (Cited 331 times)",1349,"Administrative & Regulatory Law News, Vol. 38, Issue 1 (Fall 2012), pp. 4-7",38 Admin. & Reg. L. News 4 (2012-2013),"Federalism, Separation, Separation of Powers",3,na,na
Building the Emotionally Learned Negotiator [reviews],"Ryan, Erin (Cited 331 times)",1349,"Negotiation Journal, Vol. 22, Issue 2 (April 2006), pp. 209-226",22 Negot. J. 209 (2006),"Psychiatrists and Psychologists, Northern Ireland, Violence, Law and Society, Race",3,na,2
The Elaborate Paper Tiger: Environmental Enforcement and the Rule of Law in China [article],"Ryan, Erin (Cited 331 times)",1349,"Duke Environmental Law & Policy Forum, Vol. 24, Issue 1 (Fall 2013), pp. 183-240",24 Duke Envtl. L. & Pol'y F. 183 (2014),"Rule of Law, Environmental Law, Wetlands",3,na,25
Fisheries without Courts: How Fishery Management Reveals Our Dynamic Separation of Powers [article],"Ryan, Erin (Cited 331 times)",1349,"Journal of Land Use & Environmental Law, Vol. 32, Issue 2 (Spring 2017), pp. 431-454",32 J. Land Use & Envtl. L. 431 (2016-2017),"Courts, Fisheries, Separation, Separation of Powers, Conservation, Fishing, Natural Resources Law",2,na,4
When Socrates Meets Confucius: Teaching Creative and Critical Thinking across Cultures through Multilevel Socratic Method [article],"Ryan, Erin (Cited 331 times); Shuai, Xin (Cited 2 times); Ye, Yuan (Cited 2 times); Haomei, Li (Cited 2 times)",1349,"Nebraska Law Review, Vol. 92, Issue 2 (2013), pp. 289-348",92 Neb. L. Rev. 289 (2013-2014),"Comparative Law, Education Law, Law and Society, Legal Education, Water Law",2,na,66
"Federalism, Regulatory Architecture, and the Clean Water Rule: Seeking Consensus on the Waters of the United States [article]","Ryan, Erin (Cited 331 times)",1349,"Environmental Law, Vol. 46, Issue 2 (Spring 2016), pp. 277-312",46 Envtl. L. 277 (2016),"Federalism, States, Water Law, Agency, Legislation",2,na,15
Secession and Federalism in the United States: Tools for Managing Regional Conflict in a Pluralist Society [article],"Ryan, Erin (Cited 331 times)",1349,"Oregon Law Review, Vol. 96, Issue 1 (2017), pp. 123-184",96 Or. L. Rev. 123 (2017-2018),"Constitutional Law, Federalism, Legal History, Politics, States, Civil War, War",1,na,36
Negotiating Environmental Federalism: Dynamic Federalism as a Strategy for Good Governance [article],"Ryan, Erin (Cited 331 times)",1349,"Wisconsin Law Review Forward, Vol. 2017, pp. 17-39",2017 Wis. L. Rev. Forward 17 (2017),"Federalism, Separation, Separation of Powers, Environmental Law",na,na,22
