Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Collecting from Sovereigns: The Current Legal Framework for Enforcing Arbitral Awards and Court Judgments against States and Their Instrumentalities, and Some Proposals for Its Reform [article]","Foster, George K. (Cited 91 times)",9665,"Arizona Journal of International and Comparative Law, Vol. 25, Issue 3 (Fall 2008), pp. 665-732",25 Ariz. J. Int'l & Comp. L. 665 (2008),"Dispute Resolution, Judgments, States, Debts",27,2,22
Opposing Forces in a Revolution in International Patent Protection: The U.S. and India in the Uruguay Round and Its Aftermath [comments],"Foster, George K. (Cited 91 times)",9665,"UCLA Journal of International Law and Foreign Affairs, Vol. 3, Issue 1 (Spring/Summer 1998), pp. 283-324",3 UCLA J. Int'l L. & Foreign Aff. 283 (1998-1999),"Revolution, Developing Countries, Intellectual Property Law, International Trade",23,na,17
"Recovering Protection and Security: The Treaty Standard's Obscure Origins, Forgotten Meaning, and Key Current Significance [article]","Foster, George K. (Cited 91 times)",9665,"Vanderbilt Journal of Transnational Law, Vol. 45, Issue 4 (October 2012), pp. 1095-1156",45 Vand. J. Transnat'l L. 1095 (2012),"Foreign Investment, Secured Transactions, Treaties, Investment, Arbitration, International Trade",10,na,21
"Investors, States, and Stakeholders: Power Asymmetries in International Investment and the Stabilizing Potential of Investment Treaties [article]","Foster, George K. (Cited 91 times)",9665,"Lewis & Clark Law Review, Vol. 17, Issue 2 (2013), pp. 361-422",17 Lewis & Clark L. Rev. 361 (2013),"Investment, States, Treaties, Administration Law, Foreign Investment, Arbitration",9,na,30
Foreign Investment and Indigenous Peoples: Options for Promoting Equilibrium between Economic Development and Indigenous Rights [article],"Foster, George K. (Cited 91 times)",9665,"Michigan Journal of International Law, Vol. 33, Issue 4 (Summer 2012), pp. 627-692",33 Mich. J. Int'l L. 627 (2011-2012),"Economic Development, Foreign Investment, Indian Law, Indigenous Peoples, International Trade, Investment, Obligations, Cultural Property",8,na,78
Striking a Balance between Investor Protections and National Sovereignty: The Relevance of Local Remedies in Investment Treaty Arbitration [article],"Foster, George K. (Cited 91 times)",9665,"Columbia Journal of Transnational Law, Vol. 49, Issue 2 (2011), pp. 201-267",49 Colum. J. Transnat'l L. 201 (2010-2011),"Arbitration, Dispute Resolution, Foreign Investment, International Trade, Investment, Practice and Procedure, Remedies, Sovereignty, Human Rights Law, Human Rights Law",8,na,68
Combating Bribery of Indigenous Leaders in International Business [article],"Foster, George K. (Cited 91 times)",9665,"Columbia Journal of Transnational Law, Vol. 54, Issue 1 (2015), pp. 59-115",54 Colum. J. Transnat'l L. 59 (2015-2016),"Bribery, Commercial Law, Indian Law, Indigenous Peoples, International Trade, Good Faith, Criminal Law, Public Safety, Securities Law",2,na,27
When Commercial Meets Sovereign: A New Paradigm for Applying the Foreign Sovereign Immunities Act in Crossover Cases [article],"Foster, George K. (Cited 91 times)",9665,"Houston Law Review, Vol. 52, Issue 1 (Fall 2014), pp. 361-[ii]",52 Hous. L. Rev. 361 (2014-2015),"Commercial Law, International Law: History, Jurisdiction, Due Process, Government Liability, Immunity, Sovereign Immunity, States",2,na,7
Community Participation in Development [article],"Foster, George K. (Cited 91 times)",9665,"Vanderbilt Journal of Transnational Law, Vol. 51, Issue 1 (January 2018), pp. 39-100",51 Vand. J. Transnat'l L. 39 (2018),"Environmental Law, State and Local Government Law, Economic Development, Politics, Banking, Consumer Protection Law, Land Use Planning, Zoning",1,na,73
Managing Expropriation Risks in the Energy Sector: Steps for Foreign Investors to Minimise Their Exposure and Maximise Prospects for Recovery When Takings Occur [article],"Foster, George K. (Cited 91 times)",9665,"Journal of Energy & Natural Resources Law, Vol. 23, Issue 1 (February 2005), pp. 36-59",23 J. Energy & Nat. Resources L. 36 (2005),"Takings, Investment, Discrimination, Foreign Investment",1,na,4
