Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"The First Amendment, the Public-Private Distinction, and Nongovernmental Suppression of Wartime Political Debate [article]","Magarian, Gregory P. (Cited 270 times)",8607,"George Washington Law Review, Vol. 73, Issue 1 (November 2004), pp. 101-173",73 Geo. Wash. L. Rev. 101 (2004-2005),"Constitutional Law, First Amendment, War",48,na,13
Regulating Political Parties under a Public Rights First Amendment [article],"Magarian, Gregory P. (Cited 270 times)",8607,"William and Mary Law Review, Vol. 44, Issue 5 (April 2003), pp. 1939-2062",44 Wm. & Mary L. Rev. 1939 (2002-2003),"First Amendment, Politics, Law and Society, Legislation, Constitutional Law, Regulation",40,na,8
Speaking Truth to Firepower: How the First Amendment Destabilizes the Second [article],"Magarian, Gregory P. (Cited 270 times)",8607,"Texas Law Review, Vol. 91, Issue 1 (November 2012), pp. 49-100",91 Tex. L. Rev. 49 (2012-2013),"First Amendment, Second Amendment",24,na,19
Substantive Due Process as a Source of Constitutional Protection for Nonpolitical Speech [article],"Magarian, Gregory P. (Cited 270 times)",8607,"Minnesota Law Review, Vol. 90, Issue 2 (December 2005), pp. 247-316",90 Minn. L. Rev. 247 (2005-2006),"Due Process, Commercial Speech, First Amendment",23,na,8
The Jurisprudence of Colliding First Amendment Interests: From the Dead End of Neutrality to the Open Road of Participation-Enhancing Review [article],"Magarian, Gregory P. (Cited 270 times)",8607,"Notre Dame Law Review, Vol. 83, Issue 1 (November 2007), pp. 185-264",83 Notre Dame L. Rev. 185 (2007-2008),"Constitutional Law, First Amendment, Jurisprudence, Neutrality, Religion, Education Law, Freedom of Religion, Religious Freedom",21,na,6
"Market Triumphalism, Electoral Pathologies, and the Abiding Wisdom of First Amendment Access Rights [article]","Magarian, Gregory P. (Cited 270 times)",8607,"Hofstra Law Review, Vol. 35, Issue 3 (Spring 2007), pp. 1373-1432",35 Hofstra L. Rev. 1373 (2006-2007),"First Amendment, Communications Law, Regulation",18,na,4
The Pragmatic Populism of Justice Stevens's Free Speech Jurisprudence [comments],"Magarian, Gregory (Cited 270 times)",8607,"Fordham Law Review, Vol. 74, Issue 4 (March 2006), pp. 2201-2240",74 Fordham L. Rev. 2201 (2005-2006),"Jurisprudence, First Amendment, Criminal Law, Politics",15,na,8
Toward Political Safeguards of Self-Determination [article],"Magarian, Gregory P. (Cited 270 times)",8607,"Villanova Law Review, Vol. 46, Issue 5 (2001), pp. 1219-1258",46 Vill. L. Rev. 1219 (2001),"Self-Determination, Federalism, Jurisdiction, Politics, Practice and Procedure",14,na,3
The Marrow of Tradition: The Roberts Court and Categorial First Amendment Speech Exclusions [article],"Magarian, Gregory P. (Cited 270 times)",8607,"William & Mary Law Review, Vol. 56, Issue 4 (March 2015), pp. 1339-1380",56 Wm. & Mary L. Rev. 1339 (2014-2015),"First Amendment, Supreme Court of the United States",13,na,10
Hobby Lobby in Constitutional Waters: Two Life Rings and an Anchor [article],"Magarian, Gregory P. (Cited 270 times)",8607,"Vanderbilt Law Review En Banc, Vol. 67, pp. 67-76",67 Vand. L. Rev. En Banc 67 (2014),"Business Organizations, Religion, Religious Freedom, Public Accommodations, Corporations, Sexuality and the Law",12,na,1
Substantive Media Regulation in Three Dimensions [article],"Magarian, Gregory P. (Cited 270 times)",8607,"George Washington Law Review, Vol. 76, Issue 4 (June 2008), pp. 845-896",76 Geo. Wash. L. Rev. 845 (2007-2008),"Communications Law, Regulation",12,na,6
