Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Deontology of Negligence [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Boston University Law Review, Vol. 76, Issue 1 & 2 (February & April 1996), pp. 249-272",76 B.U. L. Rev. 249 (1996),Negligence,81,1,117
Challenging Authority [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Yale Law Journal, Vol. 100, Issue 6 (April 1991), pp. 1611-1678",100 Yale L.J. 1611 (1990-1991),"Legal Positivism, International Law: History, Politics",77,na,47
Sovereignty in Silence [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Yale Law Journal , Vol. 99, Issue 5 (March 1990), pp. 945-1028",99 Yale L.J. 945 (1989-1990),"Legislation, Sovereignty, Jurisprudence, Legal Analysis and Writing, Criminal Law",70,na,14
The Moral Magic of Consent [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Legal Theory, Vol. 2, Issue 2 (June 1996), pp. 121-146",2 LEG 121 (1996),"Consent, Mistake, Probation, Rape",66,na,127
Justifiably Punishing the Justified [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Michigan Law Review, Vol. 90, Issue 8 (August 1992), pp. 2203-2324",90 Mich. L. Rev. 2203 (1991-1992),Natural Law,42,na,11
What in the World Is Wrong [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Journal of Contemporary Legal Issues, Vol. 5, pp. 157-216",5 J. Contemp. Legal Issues 157 (1994),"Criminal Law, Jurisprudence, Punishment",40,na,19
Punishing Hatred and Prejudice [article],"Hurd, Heidi M. (Cited 608 times); Moore, Michael S. (Cited 1943 times)",1824,"Stanford Law Review, Vol. 56, Issue 5 (April 2004), pp. 1081-1146",56 Stan. L. Rev. 1081 (2003-2004),"Legislation, Sentencing, Criminal Law",39,na,72
Justifiably Punishing the Justified [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Michigan Law Review, Vol. 90, Issue 8 (August 1992), pp. 2203-2324",90 Mich. L. Rev. 2203 (1991-1992),"Natural Law, Annulment, Martial Law, Same-Sex Marriage, Sex, Legal Positivism",30,na,20
"Justification and Excuse, Wrongdoing and Culpability [article]","Hurd, Heidi M. (Cited 608 times)",1824,"Notre Dame Law Review, Vol. 74, Issue 5 (June 1999), pp. 1551-1574",74 Notre Dame L. Rev. 1551 (1998-1999),"Animal Law, Environmental Law, Judges, Freedom of Speech",30,na,35
Negligence in the Air [article],"Hurd, Heidi M. (Cited 608 times); Moore, Michael S. (Cited 1943 times)",1824,"Theoretical Inquiries in Law, Vol. 3, Issue 2 (July 2002), pp. 333-412",3 Theoretical Inq. L. 333 (2002),Negligence,30,na,16
Relativistic Jurisprudence: Skepticism Founded on Confusion [notes],"Hurd, Heidi Margaret (Cited 608 times)",1824,"Southern California Law Review, Vol. 61, Issue 5 (July 1988), pp. 1417-1510",61 S. Cal. L. Rev. 1417 (1987-1988),"Jurisprudence, Human Rights Law",29,na,3
Correcting Injustice to Corrective Justice [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Notre Dame Law Review, Vol. 67, Issue 1 (1991), pp. 51-96",67 Notre Dame L. Rev. 51 (1991-1992),"Torts, Jurisprudence",15,na,14
Expressing Doubts about Expressivism [article],"Hurd, Heidi M. (Cited 608 times)",1824,"University of Chicago Legal Forum, Vol. 2005, pp. 405-436",2005 U. Chi. Legal F. 405 (2005),"Restorative Justice, International Law: History, Jurisprudence, War, Juvenile Offenders",12,na,17
The Leviation of Liberalism [reviews],"Hurd, Heidi M. (Cited 608 times)",1824,"Yale Law Journal, Vol. 105, Issue 3 (December 1995), pp. 795-824",105 Yale L.J. 795 (1995-1996),"Jurisprudence, Religion, Politics",12,na,11
Was the Frog Prince Sexually Molested: A Review of Peter Westen's The Logic of Consent [comments],"Hurd, Heidi M. (Cited 608 times)",1824,"Michigan Law Review, Vol. 103, Issue 6 (May 2005), pp. 1329-1346",103 Mich. L. Rev. 1329 (May 2005),"Consent, Sex",10,na,7
"Nonreciprocal Risk Imposition, Unjust Enrichment, and the Foundations of Tort Law: A Critical Celebration of George Fletcher's Theory of Tort Law [article]","Hurd, Heidi M. (Cited 608 times)",1824,"Notre Dame Law Review, Vol. 78, Issue 3 (April 2003), pp. 711-730",78 Notre Dame L. Rev. 711 (2002-2003),"Jurisprudence, Legal Analysis and Writing, Reciprocity, Accidents",9,na,8
Is It Wrong to Do Right When Others Do Wrong [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Legal Theory, Vol. 7, Issue 3 (September 2001), pp. 307-340",7 LEG 307 (2001),"Torts, Contracts, Jurisprudence, Liability, Strict Liability, Economics, Remedies, Separation",9,1,5
Blaming the Victim: A Response to the Proposal That Criminal Law Recognize a General Defense of Contributory Responsibility [comments],"Hurd, Heidi M. (Cited 608 times)",1824,"Buffalo Criminal Law Review, Vol. 8, Issue 2 (2005), pp. 503-522",8 Buff. Crim. L. Rev. 503 (2004-2005),"Criminal Law, Liability",7,na,12
Why You Should Be a Law-Abiding Anarchist (Except When You Shouldn't) [article],"Hurd, Heidi M. (Cited 608 times)",1824,"San Diego Law Review, Vol. 42, Issue 1 (2005), pp. 75-84",42 San Diego L. Rev. 75 (2005),"Legal Positivism, Rule of Law, Self-Defense, Liability",6,na,8
The Morality of Mercy [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Ohio State Journal of Criminal Law , Vol. 4, Issue 2 (Spring 2007), pp. 389-422",4 Ohio St. J. Crim. L. 389 (Spring 2007),"Criminal Law, Sentencing, Legislation, Jurisprudence, Law and Society",6,na,19
Death to Rapists: A Comment on Kennedy v. Louisiana [notes],"Hurd, Heidi M. (Cited 608 times)",1824,"Ohio State Journal of Criminal Law, Vol. 6, Issue 1 (Fall 2008), pp. 351-366",6 Ohio St. J. Crim. L. 351 (2008-2009),"Death, Sexuality and the Law",6,na,39
Moral Rights and Legal Rules: A Natural Law Theory [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Legal Theory, Vol. 6, Issue 4 (December 2000), pp. 423-456",6 LEG 423 (2000),"Natural Law, Constitutional Rights, Liberty, Constitutional Law",4,na,18
Fudging Nudging: Why Libertarian Paternalism Is the Contradiction It Claims It's Not [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Georgetown Journal of Law & Public Policy, Vol. 14, Special Issue 2016 (2016), pp. 703-734",14 Geo. J.L. & Pub. Pol'y 703 (2016),"Law and Society, Medical Jurisprudence, Reproduction, Economics, Jurisprudence, Politics",2,na,48
Paternalism on Pain of Punishment [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Criminal Justice Ethics, Vol. 28, Issue 1 (May 2009), pp. 49-73",28 Crim. Just. Ethics 49 (2009),"Punishment, Money, Money Laundering, Citizenship",2,na,5
The Hohfeldian Analysis of Rights [article],"Hurd, Heidi M. (Cited 608 times); Moore, Michael S. (Cited 1943 times)",1824,"American Journal of Jurisprudence, Vol. 63, Issue 2 (December 2018), pp. 295-354",63 Am. J. Juris. 295 (2018),"Constitutional Law, Jurisprudence, Religion",1,na,44
Climate Change and the Courts [comments],"Johnston, Jason Scott (Cited 976 times); Hurd, Heidi M. (Cited 608 times)",1824,"University of Pennsylvania Law Review PENNumbra, Vol. 160, pp. 33-61",160 U. Pa. L. Rev. PENNumbra 33 (2011),"Climate Change, Courts, Nuisance, Common Law",1,na,5
Duties beyond the Call of Duty [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Jahrbuch fur Recht und Ethik, Vol. 6, pp. 3-40",6 JRE 3 (1998),"Law and Ethics, Liberty, Negligence",1,na,6
When Can We Do What We Want [article],"Hurd, Heidi M. (Cited 608 times)",1824,"Australian Journal of Legal Philosophy, Vol. 29, pp. 37-69",29 Austl. J. Leg. Phil. 37 (2004),"Law and Ethics, Constitutional Law, Human Rights Law",na,na,9
