Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Model and Anti-Model: The United States Constitution and the Rise of World Constitutionalism [article],"Klug, Heinz (Cited 146 times)",6883,"Wisconsin Law Review, Vol. 2000, Issue 3 (2000), pp. 597-616",2000 Wis. L. Rev. 597 (2000),"States, Comparative Law, Constitutional Law",43,na,30
The Dignity Clause of the Montana Constitution: May Foreign Jurisprudence Lead the Way to An Expanded Interpretation [article],"Klug, Heinz (Cited 146 times)",6883,"Montana Law Review, Vol. 64, Issue 1 (Winter 2003), pp. 133-156",64 Mont. L. Rev. 133 (2003),"Jurisprudence, State and Local Government Law, Discrimination",20,na,4
Five Years On: How Relevant Is the Constitution to the New South Africa [article],"Klug, Heinz (Cited 146 times)",6883,"Vermont Law Review, Vol. 26, Issue 4 (Summer 2002), pp. 803-820",26 Vt. L. Rev. 803 (2001-2002),"South Africa, Aids, Health, Human Rights Law, Comparative Law, Homes, Jurisprudence",12,na,23
Introducing the Devil: An Institutional Analysis of the Power of Constitutional Review [article],"Klug, Heinz (Cited 146 times)",6883,"South African Journal on Human Rights, Vol. 13, Issue 2 (1997), pp. 185-207",13 S. Afr. J. on Hum. Rts. 185 (1997),"Constitutional Law, Judicial Review, Comparative Law",12,na,5
"The Rule of Law, War, or Terror [article]","Klug, Heinz (Cited 146 times)",6883,"Wisconsin Law Review, Vol. 2003, Issue 2 (2003), pp. 365-384",2003 Wis. L. Rev. 365 (2003),"Rule of Law, War, International Law: History, Self-Defense, United Nations",11,na,11
Striking down Death - S v. Makwanyane and Another [notes],"Klug, Heinz (Cited 146 times)",6883,"South African Journal on Human Rights, Vol. 12, Issue 1 (1996), pp. 61-70",12 S. Afr. J. on Hum. Rts. 61 (1996),"Death, Jurisprudence",8,na,60
"Constitution-Making, Democracy and the Civilizing or Irreconcilable Conflict: What Might We Learn from the South African Miracle [article]","Klug, Heinz (Cited 146 times)",6883,"Wisconsin International Law Journal, Vol. 25, Issue 2 (2007), pp. 269-300",25 Wis. Int'l L.J. 269 (2007-2008),"Comparative Law, Constitutional Law, Democracy, South Africa, Constitutional Courts",7,na,16
"The South African Judicial Order and the Future: A Comparative Analysis of the South African Judicial System and Judicial Transitions in Zimbabwe, Mozambique, and Nicaragua [notes]","Klug, Heinz J. (Cited 146 times)",6883,"Hastings International and Comparative Law Review, Vol. 12, Issue 1 (Fall 1988), pp. 173-234",12 Hastings Int'l & Comp. L. Rev. 173 (1988-1989),"Courts, Human Rights Law, Judiciary, Public Accommodations, Comparative Law, South Africa, Foreign Investment, History, International Trade, Investment",6,na,11
Participating in the Design: Constitution-Making in South Africa [article],"Klug, Heinz (Cited 146 times)",6883,"Review of Constitutional Studies , Vol. 3, Issue 1 (1996), pp. 18-59",3 Rev. Const. Stud. 18 (1996),"South Africa, Constitutional Law, Sovereignty",6,na,50
Self-Determination and the Struggle against Apartheid [article],"Klug, Heinz (Cited 146 times)",6883,"Wisconsin International Law Journal, Vol. 8, Issue 2 (1989-1990), pp. 251-300",8 Wis. Int'l L.J. 251 (1989-1990),"Self-Determination, United Nations, International Law: History",4,na,16
Access to Health Care: Judging Implementation in the Context of Aids: Treatment Action Campaign v. Minister of Health TPD 21182/2001 (Unreported) [notes],"Klug, Heinz (Cited 146 times)",6883,"South African Journal on Human Rights, Vol. 18, Issue 1 , pp. 114-124",18 S. Afr. J. on Hum. Rts. 114 (2002),"Aids, Health, Government, Human Rights Law, Women, Court Rules",3,na,na
"Amnesty, Amnesia, and Remembrance: International Obligations and the Need to Prevent the Repitition of Gross Violations of Human Rights [article]","Klug, Heinz (Cited 146 times)",6883,"American Society of International Law Proceedings, Vol. 92, pp. 316-320",92 Am. Soc'y Int'l L. Proc. 316 (1998),"Amnesty and Pardon, Human Rights Law, Obligations, South Africa",2,na,13
"Access to Medicines and the Transformation of the South Africa State: Exploring the Interactions of Legal and Policy Changes in Health, Intellectual Property, Trade and Competition Law in the Context of South Africa's HIV/AIDS Pandemic [article]","Klug, Heinz (Cited 146 times)",6883,"Law & Social Inquiry, Vol. 37, Issue 2 (Spring 2012), pp. 297-329",37 Law & Soc. Inquiry 297 (2012),"Aids, Food and Drug Law, Health, Health Law, Intellectual Property Law, South Africa, Trade Regulation, Intellectual Property Law",2,na,16
South Africa's Constitutional Court: Enabling Democracy and Promoting Law in the Transition from Apartheid [notes],"Klug, Heinz (Cited 146 times)",6883,"Journal of Comparative Law, Vol. 3, Issue 2 (2008), pp. 174-193",3 J. Comp. L. 174 (2008),"Constitutional Courts, Democracy, South Africa",1,na,36
Constitutional Law [comments],"Klug, Heinz (Cited 146 times)",6883,"Annual Survey of South African Law, Vol. 1995, pp. 1-24",1995 Ann. Surv. S. African L. 1 (1995),"Constitutional Law, South Africa, Rule of Law",1,na,2
Constitution in the World: The External Dimensions of South Africa's Post-Apartheid Constituion [article],"Klug, Heinz (Cited 146 times)",6883,"Virginia Journal of International Law, Vol. 57, Issue 3 (Summer 2018), pp. 657-678",57 Va. J. Int'l L. 657 (2017-2018),"South Africa, Constitutions, Constitutional Courts, Courts",1,na,39
In Praise of Martin Chanock [comments],"Ellmann, Stephen (Cited 869 times); Klug, Heinz (Cited 146 times); Andrews, Penelope (Cited 55 times)",6883,"Law in Context: A Socio-Legal Journal, Vol. 28, Issue 2 (2010), pp. 1-7",28 Law Context: A Socio-Legal J. 1 (2010),"Customary Law, South Africa, Globalization, Legal History",1,na,12
Constitutional Identity and Change [reviews],"Klug, Heinz (Cited 146 times)",6883,"Tulsa Law Review, Vol. 47, Issue 1 (Summer 2011), pp. 41-50",47 Tulsa L. Rev. 41 (2011-2012),"Administration Law, Legal Profession, Constitutional Law, Documents, Legal History, Punishment",1,na,14
Accountability and the Role of Independent Constitutional Institutions in South Africa's Post-Apartheid Constitutions [article],"Klug, Heinz (Cited 146 times)",6883,"New York Law School Law Review, Vol. 60, Issue 1 (2015-2016), pp. 153-182",60 N.Y. L. Sch. L. Rev. 153 (2015-2016),"Constitutions, South Africa, War, Democracy",1,na,50
"Defining the Property Rights of Others: Political Power, Indigenous Tenure and the Construction of Customary Land Law [article]","Klug, Heinz (Cited 146 times)",6883,"Journal of Legal Pluralism and Unofficial Law, Vol. 35, pp. 119-148",35 J. Legal Pluralism & Unofficial L. 119 (1995),"Customary Law, Real Property, Indigenous Peoples, Culture and Law",1,na,17
