Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Beyond Equality - Against the Universal Turn in Workplace Protections [article],"Clarke, Jessica A. (Cited 184 times)",9893,"Indiana Law Journal, Vol. 86, Issue 4 (Fall 2011), pp. 1219-1288",86 Ind. L.J. 1219 (Fall 2011),"Employment Practice, Women, Harassment, Law Enforcement, Sexual Harassment, Israel",45,na,43
Against Immutability [article],"Clarke, Jessica A. (Cited 184 times)",9893,"Yale Law Journal, Vol. 125, Issue 1 (October 2015), pp. 2-103",125 Yale L. J. 2 (October 2015),"Civil Rights, Employment Practice, Children, Domestic Relations, Fourteenth Amendment, Juveniles, Sexual Orientation, Aliens, Criminals, Martial Law",37,na,104
Protected Class Gatekeeping [article],"Clarke, Jessica A. (Cited 184 times)",9893,"New York University Law Review, Vol. 92, Issue 1 (April 2017), pp. 101-182",92 N.Y.U. L. Rev. 101 (2017),"Civil Rights, Employment Practice, Jurisprudence, Discrimination",25,na,69
Identity and Form [article],"Clarke, Jessica A. (Cited 184 times)",9893,"California Law Review, Vol. 103, Issue 4 (August 2015), pp. 747-840",103 Calif. L. Rev. 747 (2015),"Child Support, Civil Rights, Common-Law Marriage, Death, Jurisprudence, Birth Certificates, Identification, Sex, Politics",21,na,40
"Adverse Possession of Identity: Radical Theory, Conventional Practice [article]","Clarke, Jessica A. (Cited 184 times)",9893,"Oregon Law Review, Vol. 84, Issue 2 (2005), pp. 563-654",84 Or. L. Rev. 563 (2005),"Adverse Possession, Domestic Relations, Law and Society, Possession, Common Law, Common-Law Marriage, Martial Law",20,na,12
Inferring Desire [article],"Clarke, Jessica A. (Cited 184 times)",9893,"Duke Law Journal, Vol. 63, Issue 3 (December 2013), pp. 525-636",63 Duke L.J. 525 (2013-2014),"Employment Practice, Law and Society, Sexuality and the Law, Harassment, Sexual Harassment, Sex",19,na,9
Frontiers of Sex Discrimination Law [reviews],"Clarke, Jessica A. (Cited 184 times)",9893,"Michigan Law Review, Vol. 115, Issue 6 (April 2017), pp. 809-838",115 Mich. L. Rev. 809 (2016-2017),"Discrimination, Gender, Sex, Sex Discrimination, Sexual Orientation, Administration Law, Education Law, Students, Transgender, Politics",6,na,29
"They, Them, and Theirs [article]","Clarke, Jessica A. (Cited 184 times)",9893,"Harvard Law Review, Vol. 132, Issue 3 (January 2019), pp. 894-991",132 Harv. L. Rev. 894 (2018-2019),"Gender, Gender Identity, Sex, Discrimination, Employees, Transgender",6,na,250
Explicit Bias [article],"Clarke, Jessica A. (Cited 184 times)",9893,"Northwestern University Law Review, Vol. 113, Issue 3 (2018), pp. 505-586",113 Nw. U. L. Rev. 505 (2018-2019),"Civil Rights, Employment Practice, Domestic Relations, Gender, Law and Society, Women, Courts, Judges, Jury, Voir Dire",5,na,66
Inferring Desire [article],"Clarke, Jessica A. (Cited 184 times)",9893,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 14, pp. 525-635",14 Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review 525 (2013),"Employment Practice, Law and Society, Sexuality and the Law, Harassment, Sexual Harassment, Sex",na,na,4
Feminism and the Tournament [article],"Clarke, Jessica A. (Cited 184 times)",9893,"Texas Law Review Online, Vol. 96, pp. 42-58",96 Tex. L. Rev. Online 42 (2017-2018),"Feminism, Age, Gender, Civil Rights, Discrimination",na,na,5
