Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Original Meaning of Unusual: The Eighth Amendment as a Bar to Cruel Innovation [article],"Stinneford, John F. (Cited 295 times)",5747,"Northwestern University Law Review, Vol. 102, Issue 4 (2008), pp. 1739-1826",102 Nw. U. L. Rev. 1739 (2008),"Eighth Amendment, Death, Sentencing, Supreme Court of the United States, Criminal Law, Law Enforcement, Legal History",104,4,50
Rethinking Proportionality under the Cruel and Unusual Punishments Clause [article],"Stinneford, John F. (Cited 295 times)",5747,"Virginia Law Review, Vol. 97, Issue 4 (June 2011), pp. 899-978",97 Va. L. Rev. 899 (2011),"Constitutional Law, Criminal Law, Law Enforcement, Legal History, Eighth Amendment, Prisoners",80,5,54
"Incapacitation through Maiming: Chemical Castration, the Eighth Amendment, and the Denial of Human Dignity [article]","Stinneford, John F. (Cited 295 times)",5747,"University of St. Thomas Law Journal, Vol. 3, Issue 3 (Spring 2006), pp. 559-599",3 U. St. Thomas L. J. 559 (2005-2006),"Castration, Eighth Amendment, Food and Drug Law, Human Rights Law, Sex Offenders, Sexuality and the Law",34,na,48
The Original Meaning of Cruel [article],"Stinneford, John F. (Cited 295 times)",5747,"Georgetown Law Journal, Vol. 105, Issue 2 (January 2017), pp. 441-506",105 Geo. L.J. 441 (2016-2017),"Constitutional Law, Eighth Amendment, Death, Sentencing, Supreme Court of the United States",20,1,56
Punishment without Culpability [article],"Stinneford, John F. (Cited 295 times)",5747,"Journal of Criminal Law and Criminology, Vol. 102, Issue 3 (Summer 2012), pp. 653-724",102 J. Crim. L. & Criminology 653 (2012),"Punishment, Criminal Law, Law Enforcement, Legal History, Death, Sentencing, Supreme Court of the United States",17,1,28
"Death, Desuetude, and Original Meaning [article]","Stinneford, John F. (Cited 295 times)",5747,"William & Mary Law Review, Vol. 56, Issue 2 (November 2014), pp. 531-596",56 Wm. & Mary L. Rev. 531 (2014-2015),"Death, Sentencing, Supreme Court of the United States, Eighth Amendment, Constitutional Law",12,na,8
The Illusory Eighth Amendment [article],"Stinneford, John F. (Cited 295 times)",5747,"American University Law Review, Vol. 63, Issue 2 (December 2013), pp. 437-496",63 Am. U. L. Rev. 437 (2013-2014),"Criminal Law, Eighth Amendment, Jurisprudence, Law Enforcement, Legal History, State and Local Government Law, State Legislatures, Homicide, Life Without Parole, Parole",11,na,10
Evolving away from Evolving Standards of Decency [comments],"Stinneford, John F. (Cited 295 times)",5747,"Federal Sentencing Reporter, Vol. 23, Issue 1 (October 2010), pp. 87-92",23 Fed. Sent'g Rep. 87 (2010-2011),"Judges, Law Enforcement, Constitutional Law, Eighth Amendment, Law and Society, Sexuality and the Law, Criminal Law, Cruel and Unusual Punishment, Health, Punishment",8,na,2
"Dividing Crime, Multiplying Punishments [article]","Stinneford, John F. (Cited 295 times)",5747,"U.C. Davis Law Review, Vol. 48, Issue 5 (June 2015), pp. 1955-[ii]",48 U.C.D. L. Rev. 1955 (2014-2015),"Death, Sentencing, Supreme Court of the United States, Constitutional Law, Eighth Amendment, History",6,na,15
Symposium - Youth Matters: Miller v. Alabama and the Future of Juvenile Sentencing: Introduction [comments],"Stinneford, John F. (Cited 295 times)",5747,"Ohio State Journal of Criminal Law, Vol. 11, Issue 1 (Fall 2013), pp. 1-8",11 Ohio St. J. Crim. L. 1 (2013-2014),"Eighth Amendment, Life Without Parole, Parole",3,1,21
