Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Antidumping Laws as Barriers to Trade the United States and the International Antidumping Code [article],"Barcelo, John J. III (Cited 237 times)",6647,"Cornell Law Review, Vol. 57, Issue 4 , pp. 491-560",57 Cornell L. Rev. 491 (1971-1972),"States, Comparative Law, International Trade",80,1,4
Subsidies and Countervailing Duties - Analysis and a Proposal [article],"Barcelo, John J. III (Cited 237 times)",6647,"Law and Policy in International Business, Vol. 9, Issue 3 (1977), pp. 779-854",9 Law & Pol'y Int'l Bus. 779 (1977),"Subsidies, International Trade, Trade Regulation, States",53,na,10
"Subsidies, Countervailing Duties and Antidumping After the Tokyo Round [article]","Barcelo, John J. (Cited 237 times)",6647,"Cornell International Law Journal, Vol. 13, Issue 2 (Summer 1980), pp. 257-290",13 Cornell Int'l L.J. 257 (1980),"Subsidies, Environmental Law, Industry, International Trade, Trade Regulation",39,na,6
Product Standards to Protect the Local Environment--the GATT and the Uruguay Round Sanitary and Phytosanitary Agreement [article],"Barcelo, John J. III (Cited 237 times)",6647,"Cornell International Law Journal, Vol. 27, Issue 3 (1994), pp. 755-776",27 Cornell Int'l L. J. 755 (1994),"Environmental Law, Agriculture Law, Biotechnology, International Law: History",26,na,12
Who Decides the Arbitrator's Jurisdiction - Separability and Competence - Competence in Transnational Perspective [article],"Barcelo, John J. III (Cited 237 times)",6647,"Vanderbilt Journal of Transnational Law, Vol. 36, Issue 4 (October 2003), pp. 1115-1136",36 Vand. J. Transnat'l L. 1115 (October 2003),"Arbitration, Jurisdiction, Courts, States",25,na,222
Countervailing against Environmental Subsidies [article],"Barcelo, John J. III (Cited 237 times)",6647,"Canadian Business Law Journal, Vol. 23, Issue 1 (February, 1994), pp. 3-22",23 Can. Bus. L.J. 3 (1994),"Subsidies, Fishing, Environmental Law",4,na,2
The Antidumping Law: Repeal It or Revise It [article],"Barcelo, John J. III (Cited 237 times)",6647,"Michigan Yearbook of International Legal Studies, Vol. 1, pp. 53-96",1 Mich. YBI Legal Stud. 53 (1979),"War, International Trade, Mentally Retarded, Trade Regulation, Procedure",4,na,na
The Paradox of Excluding WTO Direct and Indirect Effect in U.S. Law [comments],"Barcelo, John J. III (Cited 237 times)",6647,"Tulane European & Civil Law Forum, Vol. 21, pp. 147-172",21 Tul. Eur. & Civ. L.F. 147 (2006),"International Trade, Treaties, World Trade Organization, Comparative Law, Courts",4,na,4
"Burden of Proof, Prima Facie Case and Presumption in WTO Dispute Settlement [article]","Barcelo, John J. III (Cited 237 times)",6647,"Cornell International Law Journal, Vol. 42, Issue 1 (Winter 2009), pp. 23-44",42 Cornell Int'l L.J. 23 (2009),"Burden of Proof, Proof, International Trade, Trademarks, Civil Procedure, Dispute Resolution, World Trade Organization",1,na,17
A Tribute to Paul Szasz [comments],"Barcelo, John J. III (Cited 237 times); Wippman, David (Cited 300 times)",6647,"Cornell International Law Journal, Vol. 35, Issue 3 (Winter 2002), pp. 457-470",35 Cornell Int'l L.J. 457 (2001-2002),"Biography, Military Law, Courts, International Law: History",1,na,3
The United States - Iranian Hostage Settlement in Perspective [article],"Barcelo, John J. III (Cited 237 times)",6647,"Cornell Law Forum, Vol. 9, Issue 1 (June 1982), pp. 2-6",9 Cornell Law Forum (Faculty ed.) 2 (1982-1983),"States, History, Letters of Credit, Negotiable Instruments, Revolution",na,na,na
Symbolic Speech on Campus [article],"Barcelo, John J. III (Cited 237 times)",6647,"Cornell Law Forum, Vol. 14, Issue 1 (June 1987), pp. 12-16",14 Cornell Law Forum (Faculty ed.) 12 (1987-1988),"Symbolic Speech, Education Law, First Amendment, Constitutional Law",na,na,4
Cornell Law School in Paris [article],"Barcelo, John J. (Cited 237 times)",6647,"Cornell Law Forum, Vol. 21, Issue 3 (March 1995), pp. 9-12",21 Cornell Law Forum (Faculty ed.) 9 (1994-1995),"International Law: History, Curriculum",na,na,na
Cornell: An International Law School [article],"Barcelo, John J. III (Cited 237 times)",6647,"Cornell Law Forum, Vol. 23, Issue 3 (March 1997), pp. 3-10",23 Cornell Law Forum (Faculty ed.) 3 (1996-1997),"International Law: History, Education Law",na,na,na
International Law at the Cornell Law School [article],"Barcelo, John J. III (Cited 237 times); Teitelbaum, Lee E. (Cited 620 times)",6647,"Cornell Law Forum, Vol. 28, Issue 2 (Fall 2001), pp. 1-5",28 Cornell Law Forum (Faculty ed.) 1 (Fall 2001),"International Law: History, Education Law",na,na,2
Developing Countries and the WTO [article],"Barcelo, John J. III (Cited 237 times)",6647,"Cornell Law Forum, Vol. 32, Issue 1 (Summer 2005), pp. 8-11",32 Cornell Law Forum (Faculty ed.) 8 (2005-2006),"Developing Countries, Economics",na,na,20
