Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Shopping for Gucci on Canal Street: Reflections on Status Consumption, Intellectual Property, and the Incentive Thesis [article]","Barnett, Jonathan M. (Cited 424 times)",5728,"Virginia Law Review, Vol. 91, Issue 6 (October 2005), pp. 1381-1424",91 Va. L. Rev. 1381 (October 2005),"Intellectual Property Law, Intellectual Property Law, Adopted Children, Legislation, Reproduction",53,na,199
Property as Process: How Innovation Markets Select Innovation Regimes [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"Yale Law Journal , Vol. 119, Issue 3 (December 2009), pp. 384-457",119 Yale L. J. 384 (2009-2010),na,50,na,23
Private Protection of Patentable Goods [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"Cardozo Law Review, Vol. 25, Issue 4 (March 2004), pp. 1251-1314",25 Cardozo L. Rev. 1251 (March 2004),"Contracts, Intellectual Property Law, Law and Society, Rent, Rent Control",42,na,61
Intellectual Property as a Law of Organization [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"Southern California Law Review, Vol. 84, Issue 4 (May 2011), pp. 785-858",84 S. Cal. L. Rev. 785 (2010-2011),"Intellectual Property Law, Intellectual Property Law, Internet",36,na,20
Cultivating the Genetic Commons: Imperfect Patent Protection and the Network Model of Innovation [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"San Diego Law Review, Vol. 37, Issue 4 (Fall 2000), pp. 987-1056",37 San Diego L. Rev. 987 (2000),"Intellectual Property Law, Science and Technology, Medical Jurisprudence, Biodiversity",29,na,12
The Host's Dilemma: Strategic Forfeiture in Platform Markets for Informational Foods [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"Harvard Law Review, Vol. 124, Issue 8 (June 2011), pp. 1861-1938",124 Harv. L. Rev. 1861 (June 2011),"Economics, Forfeiture, Intellectual Property Law, Practice and Procedure, Trade Regulation, Costs, Software",28,na,24
Is Intellectual Property Trivial [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"University of Pennsylvania Law Review, Vol. 157, Issue 6 (June 2009), pp. 1691-1742",157 U. Pa. L. Rev. 1691 (2008-2009),"Intellectual Property Law, Trade Regulation",25,na,14
The Illusion of the Commons [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"Berkeley Technology Law Journal, Vol. 25, Issue 4 (Fall 2010), pp. 1751-1816",25 Berkeley Tech. L.J. 1751 (2010),"Law and Society, Intellectual Property Law, Industrial and Intellectual Property",22,na,8
The Rational Underenforcemet of Vice Laws [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"Rutgers Law Review, Vol. 54, Issue 2 (Winter 2002), pp. 423-486",54 Rutgers L. Rev. 423 (2001-2002),"Conflict of Laws, Fourth Amendment, Possession, Administration Law, Law Enforcement, Criminal Law",21,na,8
Copyright without Creators [article],"Barnett, Jonathan M. (Cited 424 times)",5728,"Review of Law and Economics, Vol. 9, Issue 3 (2013), pp. 389-438",9 Rev. L & Econ. 389 (2013),"Copyright, Economics, Intellectual Property Law",20,na,37
