Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Categoricalism and Balancing in First and Second Amendment Analysis [article],"Blocher, Joseph (Cited 654 times)",3539,"New York University Law Review , Vol. 84, Issue 2 (May 2009), pp. 375-439",84 N.Y.U. L. Rev. 375 (2009),"First Amendment, Second Amendment",97,12,43
Institutions in the Marketplace of Ideas [article],"Blocher, Joseph (Cited 654 times)",3539,"Duke Law Journal , Vol. 57, Issue 4 (February 2008), pp. 821-890",57 Duke L.J. 821 (2007-2008),"Constitutional Law, Economics, First Amendment, Law and Economics",92,na,39
Viewpoint Neutrality and Government Speech [article],"Blocher, Joseph (Cited 654 times)",3539,"Boston College Law Review, Vol. 52, Issue 3 (May 2011), pp. 695-768",52 B.C. L. Rev. 695 (May 2011),"First Amendment, Government, Neutrality",60,1,27
Firearm Localism [article],"Blocher, Joseph (Cited 654 times)",3539,"Yale Law Journal, Vol. 123, Issue 1 (October 2013), pp. 82-147",123 Yale L. J. 82 (2013-2014),"Jurisdiction, Second Amendment, Technology, First Amendment",58,2,76
Reverse Incorporation of State Constitutional Law [article],"Blocher, Joseph (Cited 654 times)",3539,"Southern California Law Review, Vol. 84, Issue 2 (January 2011), pp. 323-386",84 S. Cal. L. Rev. 323 (2010-2011),"Constitutional Law, Incorporation, State and Local Government Law, Constitutional Rights",39,1,23
The Right Not to Keep or Bear Arms [article],"Blocher, Joseph (Cited 654 times)",3539,"Stanford Law Review, Vol. 64, Issue 1 (January 2012), pp. 1-54",64 Stan. L. Rev. 1 (2012),"Second Amendment, Judges",34,2,33
School Naming Rights and the First Amendment's Perfect Storm [article],"Blocher, Joseph (Cited 654 times)",3539,"Georgetown Law Journal, Vol. 96, Issue 1 (November 2007), pp. 1-58",96 Geo. L.J. 1 (2007-2008),"Education Law, First Amendment, Contracts, Government, Schools",29,na,24
Rights to and Not To [article],"Blocher, Joseph (Cited 654 times)",3539,"California Law Review, Vol. 100, Issue 4 (August 2012), pp. 761-816",100 Calif. L. Rev. 761 (2012),"Constitutional Law, Jurisprudence, First Amendment, Military Law",27,na,34
Combatant Status Review Tribunals: Flawed Answers to the Wrong Question [comments],"Blocher, Joseph (Cited 654 times)",3539,"Yale Law Journal, Vol. 116, Issue 3 (December 2006), pp. 667-675",116 Yale L.J. 667 (2006-2007),"States, Due Process, National Security",25,na,6
From Theory to Doctrine: An Empirical Analysis of the Right to Keep and Bear Arms after Heller [article],"Ruben, Eric (Cited 34 times); Blocher, Joseph (Cited 654 times)",3539,"Duke Law Journal, Vol. 67, Issue 7 (April 2018), pp. 1433-1510",67 Duke L.J. 1433 (2017-2018),"Second Amendment, First Amendment",19,1,95
Popular Constitutionalism and the State Attorneys General [comments],"Blocher, Joseph (Cited 654 times)",3539,"Harvard Law Review Forum, Vol. 122, pp. 108-115",122 Harv. L. Rev. F. 108 (2009-2011),"Attorneys, Attorneys General, Evidence, Health, Health Law, Legal Profession, Public Health, Constitutional Law, Federalism",17,na,8
"What Is Gun Control: Direct Burdens, Incidental Burdens, and the Boundaries of the Second Amendment [article]","Blocher, Joseph (Cited 654 times); Miller, Darrell A. H. (Cited 301 times)",3539,"University of Chicago Law Review, Vol. 83, Issue 1 (Winter 2016), pp. 295-356",83 U. Chi. L. Rev. 295 (2016),"Boundaries, Second Amendment, Judicial Review, Constitutional Law, Jurisprudence",16,na,177
Nonsense and the Freedom of Speech: What Meaning Means for the First Amendment [article],"Blocher, Joseph (Cited 654 times)",3539,"Duke Law Journal, Vol. 63, Issue 7 (April 2014), pp. 1423-1482",63 Duke L.J. 1423 (2013-2014),"First Amendment, Freedom of Speech, Commercial Speech, History, Natural Law",15,na,7
Gun Rights Talk [article],"Blocher, Joseph (Cited 654 times)",3539,"Boston University Law Review, Vol. 94, Issue 3 (May 2014), pp. 813-834",94 B.U. L. Rev. 813 (2014),Second Amendment,15,na,226
Amending the Exceptions Clause [article],"Blocher, Joseph (Cited 654 times)",3539,"Minnesota Law Review, Vol. 92, Issue 4 (April 2008), pp. 971-1030",92 Minn. L. Rev. 971 (2007-2008),"Constitutional Law, Jurisdiction, Courts, President/Executive Department, Legal Profession",13,na,na
Government Property and Government Speech [article],"Blocher, Joseph (Cited 654 times)",3539,"William and Mary Law Review, Vol. 52, Issue 5 (April 2011), pp. 1413-1482",52 Wm. & Mary L. Rev. 1413 (2010-2011),Government,11,2,10
Selling State Borders [article],"Blocher, Joseph (Cited 654 times)",3539,"University of Pennsylvania Law Review, Vol. 162, Issue 2 (January 2014), pp. 241-306",162 U. Pa. L. Rev. 241 (2013-2014),"International Law: History, Politics, Pollution, Immigration Law, Military Law",9,na,10
A Market for Sovereign Control [article],"Blocher, Joseph (Cited 654 times); Gulati, Mitu (Cited 3056 times)",3539,"Duke Law Journal, Vol. 66, Issue 4 (January 2017), pp. 797-844",66 Duke L.J. 797 (2016-2017),"International Law: History, Politics, Sovereignty, Self-Determination, States",8,na,19
Building on Custom: Land Tenure Policy and Economic Development in Ghana [notes],"Blocher, Joseph (Cited 654 times)",3539,"Yale Human Rights & Development Law Journal, Vol. 9, pp. 166-202",9 Yale Hum. Rts. & Dev. L.J. 166 (2006),"Comparative Law, Economic Development, Economics",8,na,21
Forced Secessions [article],"Blocher, Joseph (Cited 654 times); Gulati, Mitu (Cited 3056 times)",3539,"Law and Contemporary Problems, Vol. 80, Issue 1 (2017), pp. 215-254",80 Law & Contemp. Probs. 215 (2017),"Aliens, Deportation, Expulsion, International Law: History",6,na,7
