Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Piracy and Paradox: Innovation and Intellectual Property in Fashion Design [article],"Raustiala, Kal (Cited 1036 times); Sprigman, Christopher (Cited 919 times)",759,"Virginia Law Review, Vol. 92, Issue 8 (December 2006), pp. 1687-1778",92 Va. L. Rev. 1687 (2006),"Intellectual Property Law, Intellectual Property Law, Congress",255,2,416
The Architecture of International Cooperation: Transgovernmental Networks and the Future of International Law [article],"Raustiala, Kal (Cited 1036 times)",759,"Virginia Journal of International Law, Vol. 43, Issue 1 (Fall 2002), pp. 1-92",43 Va. J. Int'l L. 1 (2002-2003),"International Law: History, Age, Philosophy",229,na,274
The Geography of Justice [article],"Raustiala, Kal (Cited 1036 times)",759,"Fordham Law Review, Vol. 73, Issue 6 (May 2005), pp. 2501-2560",73 Fordham L. Rev. 2501 (2004-2005),"Jurisdiction, Military Law, Aliens, Courts, Cuba, Federal Courts, Habeas Corpus, States, Writs, Jurisprudence",100,1,29
Compliance &(and) Effectiveness in International Regulatory Cooperation [article],"Raustiala, Kal (Cited 1036 times)",759,"Case Western Reserve Journal of International Law, Vol. 32, Issue 3 (Summer 2000), pp. 387-440",32 Case W. Res. J. Int'l L. 387 (2000),"Administration Law, Environmental Law, Environmental Law, Procedure",86,na,131
The Participatory Revolution in International Environmental Law [notes],"Raustiala, Kal (Cited 1036 times)",759,"Harvard Environmental Law Review, Vol. 21, Issue 2 (1997), pp. 537-586",21 Harv. Envtl. L. Rev. 537 (1997),"Environmental Law, International Law: History, Revolution, Dispute Resolution, Environmental Law, World Trade Organization",52,na,170
Rethinking the Sovereignty Debate in International Economic Law [article],"Raustiala, Kal (Cited 1036 times)",759,"Journal of International Economic Law , Vol. 6, Issue 4 (December 2003), pp. 841-878",Full Text Not Currently Available in HeinOnline,"Economics, International Economic Law, Politics, Sovereignty, Diplomacy",na,na,na
The Piracy Paradox Revisited [notes],"Raustiala, Kal (Cited 1036 times); Sprigman, Christopher (Cited 919 times)",759,"Stanford Law Review , Vol. 61, Issue 5 (March 2009), pp. 1201-1226",61 Stan. L. Rev. 1201 (March 2009),"Intellectual Property Law, Copyright",38,na,46
Density and Conflict in International Intellectual Property Law [comments],"Raustiala, Kal (Cited 1036 times)",759,"U.C. Davis Law Review, Vol. 40, Issue 3 (March 2007), pp. 1021-1038",40 U.C. Davis L. Rev. 1021 (2006-2007),"Intellectual Property Law, Intellectual Property Law, Property Law, Human Rights Law, Developing Countries",38,na,54
The Political Implications of the Enforcement Provisions of the NAFTA Environmental Side Agreement: The CEC as a Model for Future Accords [article],"Raustiala, Kal (Cited 1036 times)",759,"Environmental Law, Vol. 25, Issue 1 (Winter 1995), pp. 31-56",25 Envtl. L. 31 (1995),"Environmental Law, Regulation, International Law: History, Organizations",31,na,12
Sovereignty and Multilateralism [article],"Raustiala, Kal (Cited 1036 times)",759,"Chicago Journal of International Law, Vol. 1, Issue 2 , pp. 401-420",1 Chi. J. Int'l. L. 401 (2000),"Sovereignty, Economics, International Economic Law, Politics",30,na,53
