Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Hollow Promises for Pregnant Students: How the Regulations Governing Title IX Fail to Prevent Pregnancy Discrimination in School [article],"Fershee, Kendra (Cited 46 times)",7593,"Indiana Law Review , Vol. 43, Issue 1 (2009), pp. 79-116",43 Ind. L. Rev. 79 (2009-2010),"Discrimination, Education Law, Pregnancy, Sexuality and the Law, Students, Women, Sex",11,na,36
The New Legal Writing: The Importance of Teaching Law Students How to Use E-Mail Professionally [article],"Fershee, Kendra Huard (Cited 46 times)",7593,"Maryland Law Review Endnotes, Vol. 71, pp. 1-19",71 Md. L. Rev. Endnotes 1 (2011),"Email, Law Students, Legal Writing, Mail, Students, Communications Law",10,na,22
An Act for All Contexts: Incorporating the Pregnancy Discrimination Act into Title IX to Help Pregnant Students Gain and Retain Access to Education [article],"Fershee, Kendra (Cited 46 times)",7593,"Hofstra Law Review, Vol. 39, Issue 2 (Winter 2010), pp. 281-328",39 Hofstra L. Rev. 281 (2010-2011),"Discrimination, Education Law, Pregnancy, Students, Legal Education, Reproduction, Schools",7,na,16
The Parent Trap: The Unconstitutional Practice of Severing Parental Rights without Due Process of Law [article],"Fershee, Kendra Huard (Cited 46 times)",7593,"Georgia State University Law Review, Vol. 30, Issue 3 (Spring 2014), pp. 639-702",30 Ga. St. U. L. Rev. 639 (2013-2014),"Domestic Relations, Due Process, Due Process, Juveniles, Parental Rights Termination, Adopted Children, Best Interests of the Child, Criminal Law, Domestic Violence, Victims",6,na,9
"The Prima Facie Parent: Implementing a Simple, Fair, and Efficient Standing Test in Courts considering Custody Disputed by Unmarried Gay or Lesbian Parents [article]","Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 48, Issue 3 (Fall 2014), pp. 435-470",48 Fam. L.Q. 435 (2014-2015),"Courts, Jurisdiction, Parents and Children, Standing, Domestic Relations, Sexual Orientation",5,na,5
Discretionary Recusal and the Appearance of Partiality through the Eyes of the Fifth Circuit in Republic of Panama v. American Tobacco Co. [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Tulane Law Review, Vol. 77, Issue 2 (December 2002), pp. 517-526",77 Tul. L. Rev. 517 (2002-2003),"Recusal, Tobacco, Professional Ethics",3,na,3
Annual Survey of Periodical Literature [article],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 51, Issue 4 (Winter 2018), pp. 619-642",51 Fam. L.Q. 619 (2017-2018),na,1,na,19
Annual Survey of Periodical Literature [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 49, Issue 4 (Winter 2016), pp. 663-674",49 Fam. L.Q. 663 (2015-2016),"Literature, Citizenship, Comparative Law, Conflict of Laws, Constitutional Law, Dispute Resolution, Domestic Relations, Interest, International Law: History, Reproduction",1,na,8
Annual Survey of Periodical Literature [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 50, Issue 4 (Winter 2017), pp. 633-654",50 Fam. L.Q. 633 (2016-2017),"Consent, Contracts, Labor, Labor, Reproduction, Comparative Law, Domestic Relations, Regulation, States, Cause of Action",1,na,4
Annual Survey of Periodical Literature [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 48, Issue 4 (Winter 2015), pp. 731-742",48 Fam. L.Q. 731 (2014-2015),"Literature, Citizenship",1,na,4
A Tribute to Patti Alleva [comments],"VandeWalle, Gerald; Hastings, Shon; Klein, Karen; Maring, Mary Muehlen (Cited 7 times); Davis, W. Jeremy (Cited 3 times); Grijalva, James; Zierdt, Candace M. (Cited 125 times); Jackson, Margaret Moore (Cited 32 times); Mullins, Anne E. (Cited 13 times); Fershee, Joshua P. (Cited 142 times); Fershee, Kendra Huard (Cited 46 times)",7593,"North Dakota Law Review, Vol. 94, Issue 2 (2019), pp. 305-360",94 N.D. L. Rev. 305 (2019),na,na,na,8
"A Parent is a Parent, No Matter How Small [article]","Fershee, Kendra Huard (Cited 46 times)",7593,"William & Mary Journal of Women and the Law, Vol. 18, Issue 3 (Spring 2012), pp. 425-474",18 Wm. & Mary J. Women & L. 425 (2011-2012),"Best Interests of the Child, Courts, Sexuality and the Law, Parents and Children, Domestic Relations, Sexual Orientation",na,na,8
Fall 2017 [comments],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 51, Issue 3 (Fall 2017), pp. 301-302",51 Fam. L.Q. 301 (2017-2018),na,na,na,5
Custody Disputes by Unmarried Gay or Lesbian Parents [article],"Fershee, Kendra Huard (Cited 46 times)",7593,"GP Solo, Vol. 32, Issue 4 (July/August 2015), pp. 68-69",32 GPSolo 68 (2015),"Parents and Children, Courts, Jurisdiction, Standing, Children, Domestic Relations, Juveniles, Martial Law, Sex, Sexual Orientation",na,na,3
Editor's Note [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 51, Issue 2 (Summer 2017), pp. vii-viii",51 Fam. L.Q. vii (2017-2018),na,na,na,na
Spousal Support in Practice: An Update: Editor's Note [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 51, Issue 1 (Spring 2017), pp. vii-viii",51 Fam. L.Q. vii (2017-2018),na,na,na,na
Editor's Note [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 50, Issue 4 (Winter 2017), pp. vii-viii",50 Fam. L.Q. vii (2016-2017),"Family Responsibility/Support Laws, Divorce, Martial Law, Regulation",na,na,na
Editor's Note [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 50, Issue 3 (Fall 2016), pp. vii-viii",50 Fam. L.Q. vii (2016-2017),"Domestic Relations, Elder Law, Investment, Family Responsibility/Support Laws",na,na,na
Editor's Note [notes],"Fershee, Kendra H.",7593,"Family Law Quarterly, Vol. 50, Issue 2 (Summer 2016), pp. vii-viii",50 Fam. L.Q. vii (2016-2017),"Civil Rights, Courts, Dispute Resolution, Identification",na,na,na
The Changing Face of Family Law: Editor's Note [notes],"Fershee, Kendra Huard (Cited 46 times)",7593,"Family Law Quarterly, Vol. 52, Issue 1 (Spring 2018), pp. vii-viii",52 Fam. L.Q. vii (2018),na,na,na,na
