Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Federal and State State Action: The Undercritical Embrace of a Hypercriticized Doctrine [article],"Cole, Kevin (Cited 188 times)",8182,"Georgia Law Review, Vol. 24, Issue 2 (Winter 1990), pp. 327-398",24 Ga. L. Rev. 327 (1989-1990),"Constitutional Law, State Action",54,3,5
The Agony of Victory and the Ethics of Lawyer Speech [article],"Cole, Kevin (Cited 188 times); Zacharias, Fred C. (Cited 3119 times)",8182,"Southern California Law Review, Vol. 69, Issue 4 (May 1996), pp. 1627-1678",69 S. Cal. L. Rev. 1627 (1995-1996),"Ethics, Professional Ethics, First Amendment, Courts, Jury",42,na,8
Empty Idea of Sentencing Disparity [article],"Cole, Kevin (Cited 188 times)",8182,"Northwestern University Law Review, Vol. 91, Issue 4 , pp. 1336-1341",91 Nw. U. L. Rev. 1336 (1996-1997),"Sentencing, Philosophy",35,1,15
Killings during Crime: Toward a Discriminating Theory of Strict Liability [article],"Cole, Kevin (Cited 188 times)",8182,"American Criminal Law Review, Vol. 28, Issue 1 (1990), pp. 73-142",28 Am. Crim. L. Rev. 73 (1990-1991),"Liability, Strict Liability, Felony Murder, Murder, Criminal Law, Death, Eighth Amendment, Jurisprudence",32,5,5
Civilizing Civil Forfeiture [article],"Cole, Kevin (Cited 188 times)",8182,"Journal of Contemporary Legal Issues, Vol. 7, Issue 1 (1996), pp. 249-270",7 J. Contem. Legal Issues 249 (1996),"Forfeiture, Double Jeopardy, Government, Criminal Law, Remedies",6,na,8
"The Voodoo We Do: Harm, Impossibility, and the Reductionist Impulse [article]","Cole, Kevin (Cited 188 times)",8182,"Journal of Contemporary Legal Issues, Vol. 5, pp. 31-64",5 J. Contemp. Legal Issues 31 (1994),"Law Enforcement, Sanctions, Criminal Law, Jurisprudence, Treason",4,na,9
Sex and the Single Malt Girl: How Voluntary Intoxication Affects Consent [article],"Cole, Kevin (Cited 188 times)",8182,"Montana Law Review, Vol. 78, Issue 1 (2017), pp. 155-186",78 Mont. L. Rev. 155 (2017),"Consent, Intoxication, Psychiatrists and Psychologists, Sex, Criminal Law",3,na,69
"Deference, Tolerance, and Numbers: A Response to Professor Wright's View of the Sentencing Commission [comments]","Cole, Kevin (Cited 188 times)",8182,"San Diego Law Review, Vol. 31, Issue 3 (August/September 1994), pp. 651-664",31 San Diego L. Rev. 651 (1994),"Sentencing, States, Agency",3,na,na
Discrimination by Proxy [article],"Alexander, Larry (Cited 3400 times); Cole, Kevin (Cited 188 times)",8182,"Constitutional Commentary, Vol. 14, Issue 3 (Winter 1997), pp. 453-464",14 Const. Comment. 453 (1997),"Discrimination, Affirmative Action, Jurisprudence, Judgments",3,na,8
"Better Sex through Criminal Law: Proxy Crimes, Covert Negligence, and Other Difficulties of Affirmative Consent in the ALI's Draft Sexual Assault Provisions [article]","Cole, Kevin (Cited 188 times)",8182,"San Diego Law Review, Vol. 53, Issue 3 (August-September 2016), pp. 507-578",53 San Diego L. Rev. 507 (2016),"Consent, Crimes, Criminal Law, Legislation, Negligence, Sex, Sex Crimes, Adopted Children, Due Process, Education Law",1,na,20
Problems in Preferring Empirical Justifications for Guidelines: A Response to Wright [comments],"Cole, Kevin (Cited 188 times)",8182,"Federal Sentencing Reporter, Vol. 4, Issue 3 (November/December 1991), pp. 140-141",4 Fed. Sent'g Rep. 140 (1991-1992),"Sentencing, History, Research",1,na,4
The Dangers of Drawing Distinctions: Jury Involvement in Finding (Some) Sentencing Facts [comments],"Cole, Kevin (Cited 188 times)",8182,"Federal Sentencing Reporter, Vol. 5, Issue 3 (November/December 1992), pp. 177-178",5 Fed. Sent'g Rep. 177 (1992-1993),"Jury, Sentencing, Revolution",na,na,1
Knowledge and Belief as Criminal Law Mental States [comments],"Cole, Kevin (Cited 188 times)",8182,"Ohio State Journal of Criminal Law, Vol. 16, Issue 2 (Spring 2019), pp. 441-452",16 Ohio St. J. Crim. L. 441 (2018-2019),na,na,na,na
