Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
State Environmental Standard-Setting: Is There a Race and Is It to the Bottom [article],"Engel, Kirsten H. (Cited 1090 times)",5249,"Hastings Law Journal, Vol. 48, Issue 2 (January 1997), pp. 271-398",48 Hastings L.J. 271 (1996-1997),"Economics, Environmental Law, Environmental Audits, Race, Comparative Law, Cuba, Accounting, Regulation",236,na,22
Harnessing the Benefits of Dynamic Federalism in Environmental Law [article],"Engel, Kirsten H. (Cited 1090 times)",5249,"Emory Law Journal, Vol. 56, Issue 1 (2006), pp. 159-188",56 Emory L.J. 159 (2006-2007),"Environmental Law, Environmental Law, Federalism, Jurisdiction",168,na,46
Adaptive Federalism: The Case against Reallocating Environmental Regulatory Authority [article],"Adelman, David E. (Cited 397 times); Engel, Kirsten H. (Cited 1090 times)",5249,"Minnesota Law Review, Vol. 92, Issue 6 (June 2008), pp. 1796-1850",92 Minn. L. Rev. 1796 (2007-2008),"Environmental Law, Federalism, Jurisdiction, States, Environmental Law",105,1,29
Subglobal Regulation of the Global Commons: The Case of Climate Change [article],"Engel, Kirsten H. (Cited 1090 times); Saleska, Scott R. (Cited 144 times)",5249,"Ecology Law Quarterly, Vol. 32, Issue 2 (2005), pp. 183-233",32 Ecology L.Q. 183 (2005),"Administration Law, Climate Change, Economics, Regulation, States, Environmental Law, International Trade, Oil, Gas, and Mineral Law",99,na,72
State and Local Climate Change Initiatives: What Is Motivating State and Local Governments to Address a Global Problem and What Does This Say about Federalism and Environmental Law [article],"Engel, Kirsten (Cited 1090 times)",5249,"Urban Lawyer, Vol. 38, Issue 4 (Fall 2006), pp. 1015-1030",38 Urb. Law. 1015 (2006),"Climate Change, Environmental Law, Federalism, Agency, Environmental Protection, Environmental Policy",87,na,228
The Dormant Commerce Clause Threat to Market-Based Environmental Regulation: The Case of Electricity Deregulation [article],"Engel, Kirsten H. (Cited 1090 times)",5249,"Ecology Law Quarterly, Vol. 26, Issue 2 (1999), pp. 243-349",26 Ecology L.Q. 243 (1999),"Commerce, Commerce Clause, Constitutional Law, Deregulation, Electricity, Public Utilities Law, Regulation, Utilities, Mandates",66,na,8
Mitigating Global Climate Change in the United States: A Regional Approach [comments],"Engel, Kirsten H. (Cited 1090 times)",5249,"New York University Environmental Law Journal, Vol. 14, Issue 1 (2005), pp. 54-85",14 N.Y.U. Envtl. L.J. 54 (2005-2006),"Climate Change, States, Environmental Law, Nuisance, Common Law, Federalism",61,na,35
Reorienting State Climate Change Policies to Induce Technological Change [article],"Adelman, David E. (Cited 397 times); Engel, Kirsten H. (Cited 1090 times)",5249,"Arizona Law Review , Vol. 50, Issue 3 (2008), pp. 835-878",50 Ariz. L. Rev. 835 (2008),"Climate Change, Environmental Law, Federalism",47,na,19
Facts Are Stubborn Things: An Empirical Reality Check in the Theoretical Debate over the Race-To-The-Bottom in State Environmental Standard-Setting [article],"Saleska, Scott R. (Cited 144 times); Engel, Kirsten H. (Cited 1090 times)",5249,"Cornell Journal of Law and Public Policy , Vol. 8, Issue 1 (Fall 1998), pp. 55-88",8 Cornell J. L. & Pub. Pol'y 55 (Fall 1998),"Race, State and Local Government Law, Foreign Judgments, Judgments, Divorce, Martial Law",45,na,2
"Reconsidering the National Market in Solid Waste: Trade-Offs in Equity, Efficiency, Environmental Protection, and State Autonomy [article]","Engel, Kirsten (Cited 1090 times)",5249,"North Carolina Law Review, Vol. 73, Issue 4 (April 1995), pp. 1481-1566",73 N.C. L. Rev. 1481 (April 1995),"Compensation, Environmental Protection, Equity, Local Government, Solid Waste, Commerce, Commerce Clause, Constitutional Law, Garbage, Recycling",40,na,12
Harmonizing Regulatory and Litigation Approaches to Climate Change Mitigation: Incorporating Tradable Emission Offsets into Common Law Remedies [comments],"Engel, Kirsten H. (Cited 1090 times)",5249,"University of Pennsylvania Law Review, Vol. 155, Issue 6 (June 2007), pp. 1563-1604",155 U. Pa. L. Rev. 1563 (2006-2007),"Climate Change, Common Law, Remedies, Administration Law",36,na,12
