Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Administrative Searches and Seizures: What Happened to Camara and See [article],"Rothstein, Mark A. (Cited 1038 times); Rothstein, Laura F. (Cited 368 times)",5631,"Washington Law Review, Vol. 50, Issue 2 (February 1975), pp. 341-384",50 Wash. L. Rev. 341 (1974-1975),"Searches and Seizures, Fourth Amendment, States",49,na,4
The Employer's Duty to Accommodate Performance and Conduct Deficiencies of Individuals with Mental Impairments under Disability Discrimination Laws [article],"Rothstein, Laura F. (Cited 368 times)",5631,"Syracuse Law Review, Vol. 47, Issue 3 (1997), pp. 931-986",47 Syracuse L. Rev. 931 (1996-1997),"Disability, Discrimination, Employment Discrimination, Psychiatrists and Psychologists, Civil Rights, Employment Practice, Legislation",28,na,11
Law Students and Lawyers with Mental Health and Substance Abuse Problems: Protecting the Public and the Individual [article],"Rothstein, Laura (Cited 368 times)",5631,"University of Pittsburgh Law Review, Vol. 69, Issue 3 (Spring 2008), pp. 531-566",69 U. Pitt. L. Rev. 531 (Spring 2008),"Health, Law Students, Mental Health, Students, Schools",22,na,182
Higher Education and Disabilities: Trends and Developments [article],"Rothstein, Laura F. (Cited 368 times)",5631,"Stetson Law Review, Vol. 27, Issue 1 (Summer 1997), pp. 119-140",27 Stetson L. Rev. 119 (1997-1998),"Civil Rights, Education Law, Students",21,na,14
"Students, Staff and Faculty with Disabilities: Current Issues for Colleges and Universities [comments]","Rothstein, Laura F. (Cited 368 times)",5631,"Journal of College and University Law, Vol. 17, Issue 4 (Spring 1991), pp. 471-482",17 J.C. & U.L. 471 (1990-1991),"Civil Rights, Colleges and Universities, Students, Disability Issues, High School",20,na,43
Don't Roll in My Parade: The Impact of Sports and Entertainment Cases on Public Awareness and Understanding of the Americans with Disabilities Act [article],"Rothstein, Laura F. (Cited 368 times)",5631,"Review of Litigation, Vol. 19, Issue 3 (Summer 2000), pp. 399-434",19 Rev. Litig. 399 (2000),"Civil Rights, Disability Issues, Sports, Schools, Students, Aids, Medical Issues",16,na,16
Disability Law and Higher Education: A Road Map for Where We've Been and Where We May Be Heading [article],"Rothstein, Laura (Cited 368 times)",5631,"Maryland Law Review, Vol. 63, Issue 1 (2004), pp. 122-161",63 Md. L. Rev. 122 (2004),"Disability, Disability Law, Education Law, Students, Discrimination, Legal History",16,1,31
Forty Years of Disability Policy in Legal Education and the Legal Profession: What Has Changed and What Are the New Issues [article],"Rothstein, Laura (Cited 368 times)",5631,"American University Journal of Gender, Social Policy & the Law, Vol. 22, Issue 3 (2014), pp. 519-650",22 Am. U. J. Gender Soc. Pol'y & L. 519 (2013-2014),"Disability, Education Law, Legal Education, Legal Profession, Law Students, Students, Race",14,na,25
Higher Education and the Future of Disability Policy [article],"Rothstein, Laura F. (Cited 368 times)",5631,"Alabama Law Review, Vol. 52, Issue 1 (Fall 2000), pp. 241-270",52 Ala. L. Rev. 241 (2000-2001),"Disability, Education Law, Computer Law, Internet, Students, Athletes, Student Athletes",14,na,19
Introduction [article],"Rothstein, Laura F. (Cited 368 times)",5631,"Journal of Legal Education, Vol. 41, Issue 3 (1991), pp. 301-316",41 J. Legal Educ. 301 (1991),"Civil Rights, Colleges and Universities, Students, Education Law",14,na,3
Section 504 of the Rehabilitation Act: Emerging Issues for Colleges and Universities [article],"Rothstein, Laura F. (Cited 368 times)",5631,"Journal of College and University Law, Vol. 13, Issue 3 (Winter 1986), pp. 229-266",13 J.C. & U.L. 229 (1986-1987),"Colleges and Universities, Civil Rights, Education Law, Obligations, Schools, Students, Discrimination in Athletics, Handicapped, Sports",13,na,33
