Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"The Attachment Gap: Employment Discrimination Law, Women's Cultural Caregiving, and the Limits of Economic and Liberal Legal Theory [article]","Kessler, Laura T. (Cited 292 times)",6678,"University of Michigan Journal of Law Reform, Vol. 34, Issue 3 (Spring 2001), pp. 371-468",34 U. Mich. J.L. Reform 371 (2000-2001),"Discrimination, Employment, Employment Discrimination, Women, Gender, Privatization, Employment Practice, Politics",101,na,49
Transgressive Caregiving [article],"Kessler, Laura T. (Cited 292 times)",6678,"Florida State University Law Review, Vol. 33, Issue 1 (Fall 2005), pp. 1-88",33 Fla. St. U. L. Rev. 1 (Fall 2005),"Law and Society, Sexuality and the Law, Domestic Relations, Politics, Adopted Children",50,na,7
Community Parenting [article],"Kessler, Laura T. (Cited 292 times)",6678,"Washington University Journal of Law & Policy, Vol. 24, pp. 47-78",24 Wash. U. J.L. & Pol'y 47 (2007),"Reproduction, Domestic Relations, Juveniles, Parents and Children",44,na,8
Keeping Discrimination Theory Front and Center in the Discourse over Work and Family Conflict [article],"Kessler, Laura T. (Cited 292 times)",6678,"Pepperdine Law Review , Vol. 34, Issue 2 (2007), pp. 313-332",34 Pepp. L. Rev. 313 (2007),"Discrimination, Domestic Relations, Employment Practice, Gender, Women, Police",27,na,18
Getting Class [article],"Kessler, Laura T. (Cited 292 times)",6678,"Buffalo Law Review, Vol. 56, Issue 4 (December 2008), pp. 915-934",56 Buff. L. Rev. 915 (2008),"Alimony, Same-Sex Marriage, Feminism, Sexuality and the Law",18,na,4
Feminism for Everyone [article],"Kessler, Laura T. (Cited 292 times)",6678,"Seattle University Law Review, Vol. 34, Issue 3 (Spring 2011), pp. 679-702",34 Seattle U. L. Rev. 679 (2010-2011),"Feminism, Employment Discrimination, Women, Jurisprudence, Law and Society",12,na,30
Paid Family Leave in American Law Schools: Findings and Open Questions [article],"Kessler, Laura T. (Cited 292 times)",6678,"Arizona State Law Journal, Vol. 38, Issue 3 (Fall 2006), pp. 661-712",38 Ariz. St. L.J. 661 (2006),"Employment Practice, Legal Education, Schools, Employees, Disability, Disability Insurance, Insurance Law, Insurance Law",12,na,7
"PPI, Patriarchy, and the Schizophrenic View of Women: A Feminist Analysis of Welfare Reform in Maryland [article]","Kessler, Laura T. (Cited 292 times)",6678,"Maryland Journal of Contemporary Legal Issues, Vol. 6, Issue 2 (1995), pp. 317-376",6 Md. J. Contemp. Legal Issues 317 (1995),"Women, Jurisprudence, Education Law",10,na,3
The Politics of Care [article],"Kessler, Laura T. (Cited 292 times)",6678,"Wisconsin Journal of Law, Gender and Society, Vol. 23, Issue 2 (Fall 2008), pp. 169-200","23 Wis. J. L. Gender, & Soc'y 169 (2008)","Domestic Relations, Politics, Biography, Women, Wages",7,na,18
"A Sordid Case: Stump v. Sparkman, Judicial Immunity, and the Other Side of Reproductive Rights [article]","Kessler, Laura T. (Cited 292 times)",6678,"Maryland Law Review, Vol. 74, Issue 4 (2015), pp. 833-920",74 Md. L. Rev. 833 (2014-2015),"Castration, Civil Rights, Health Care Providers, Immunity, Judges, Legal History, Mentally Disabled, Public Assistance, Sex Offenders, Sterilization",4,na,14
"Stumped, by Debora Threedy: A Legal and Historical Context [comments]","Kessler, Laura T. (Cited 292 times)",6678,"UMKC Law Review, Vol. 81, Issue 4 (Summer 2013), pp. 813-824",81 UMKC L. Rev. 813 (2012-2013),"Literature, Castration, Civil Rights, Health Care Providers, Immunity, Judges, Legal History, Mentally Disabled, Public Assistance, Sex Offenders",4,na,2
Employment Discrimination and the Domino Effect [article],"Kessler, Laura T. (Cited 292 times)",6678,"Florida State University Law Review, Vol. 44, Issue 3 (Spring 2017), pp. 1041-1118",44 Fla. St. U. L. Rev. 1041 (2016-2017),"Discrimination, Employment, Employment Discrimination, Employment Practice, Gender, Law and Society, Class Actions, Education Law, Practice and Procedure, Race",1,na,147
New Frontiers in Family Law: Introduction [comments],"Kessler, Laura T. (Cited 292 times)",6678,"Utah Law Review, Vol. 2009, Issue 2 (2009), pp. 275-286",2009 Utah L. Rev. 275 (2009),"Domestic Relations, Family Responsibility/Support Laws, Contracts, Sports",1,na,8
New Frontiers in Family Law: Introduction [article],"Kessler, Laura T. (Cited 292 times)",6678,"Journal of Law & Family Studies, Vol. 11, Issue 2 (2009), pp. 227-238",11 J.L. & Fam. Stud. 227 (2008-2009),"Domestic Relations, Family Responsibility/Support Laws, Contracts, Sports",1,na,4
Foreword [comments],"Kessler, Laura T. (Cited 292 times); Smith, Linda F. (Cited 255 times)",6678,"Journal of Law & Family Studies, Vol. 8, pp. [x]-[x]",8 J.L. & Fam. Stud. [x] (2006),"Equal Access to Justice, Law and Society, Law Enforcement, Medical Jurisprudence",na,na,na
