Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Correction of Wrongful Convictions: A Comparative Perspective [article],"Griffin, Lissa (Cited 186 times)",7287,"American University International Law Review, Vol. 16, Issue 5 (2001), pp. 1241-1308",16 Am. U. Int'l L. Rev. 1241 (2000-2001),"Criminal Law, Comparative Law, Psychiatrists and Psychologists, Victims",76,na,107
Teaching Upperclass Writing: Everything You Always Wanted to Know but Were Afraid to Ask [article],"Griffin, Lissa (Cited 186 times)",7287,"Gonzaga Law Review, Vol. 34, Issue 1 (1998-1999), pp. 45-80",34 Gonz. L. Rev. 45 (1998-1999),"Legal Analysis and Writing, Legal Education, Credit, Schools, Education Law, Legal Writing, Revolution",16,na,na
Pretrial Procedures for Innocent People: Reforming Brady [article],"Griffin, Lissa (Cited 186 times)",7287,"New York Law School Law Review, Vol. 56, Issue 3 (2011-2012), pp. 969-1008",56 N.Y. L. Sch. L. Rev. 969 (2011-2012),"Criminal Law, Evidence, Defendants, States, Discovery",14,na,10
Ministers of Justice and Mass Incarceration [article],"Griffin, Lissa (Cited 186 times); Yaroshefsky, Ellen (Cited 479 times)",7287,"Georgetown Journal of Legal Ethics, Vol. 30, Issue 2 (Spring 2017), pp. 301-[iv]",30 Geo. J. Legal Ethics 301 (2017),"Law Enforcement, Sentencing, Criminal Law, Legal Profession, Sentencing, Expungement, Law Reform",13,na,53
The Right to Effective Assistance of Appellate Counsel [article],"Griffin, Lissa (Cited 186 times)",7287,"West Virginia Law Review, Vol. 97, Issue 1 (Fall 1994), pp. 1-52",97 W. Va. L. Rev. 1 (1994-1995),"Criminal Law, Criminal Procedure, Procedure, States",12,20,7
Correcting Injustice: Studying How the United Kingdom and the United States Review Claims of Innocence [article],"Griffin, Lissa (Cited 186 times)",7287,"University of Toledo Law Review, Vol. 41, Issue 1 (Fall 2009), pp. 107-152",41 U. Tol. L. Rev. 107 (2009-2010),"Comparative Law, Criminal Law, States, Appeals, Discovery",12,na,28
Two Sides of a Sargasso Sea: Successive Prosecution for the Same Offence in the United States and the United Kingdom [article],"Griffin, Lissa (Cited 186 times)",7287,"University of Richmond Law Review, Vol. 37, Issue 2 (January 2003), pp. 471-510",37 U. Rich. L. Rev. 471 (2002-2003),"Criminal Law, States, Death, Double Jeopardy, Adopted Children, Defendants, Fifth Amendment",11,na,5
"Changes to the Culture of Adversarialness: Endorsing Candor, Cooperation and Civility in Relationships between Prosecutors and Defense Counsel [article]","Griffin, Lissa (Cited 186 times); Caplow, Stacy (Cited 188 times)",7287,"Hastings Constitutional Law Quarterly, Vol. 38, Issue 4 (Summer 2011), pp. 845-878",38 Hastings Const. L.Q. 845 (2010-2011),"Legal Profession, Bail",10,na,6
International Perspectives on Correcting Wrongful Convictions: The Scottish Criminal Cases Review Commission [article],"Griffin, Lissa (Cited 186 times)",7287,"William & Mary Bill of Rights Journal, Vol. 21, Issue 4 (May 2013), pp. 1153-1214",21 Wm. & Mary Bill Rts. J. 1153 (2012-2013),"Courts, Insanity, Comparative Law, Criminal Law, Discovery",8,na,41
Which One of You Did It - Criminal Liability for Causing or Allowing the Death of a Child [article],"Griffin, Lissa (Cited 186 times)",7287,"Indiana International & Comparative Law Review, Vol. 15, Issue 1 (2004), pp. 89-114",15 Ind. Int'l & Comp. L. Rev. 89 (2004-2005),"Criminal Law, Death, Juveniles, Liability, Self-Incrimination, Child Abuse, Domestic Relations, Murder",6,na,19
Untangling Double Jeopardy in Mixed-Verdict Cases [article],"Griffin, Lissa (Cited 186 times)",7287,"SMU Law Review, Vol. 63, Issue 3 (Summer 2010), pp. 1033-1068",63 S.M.U. L. Rev. 1033 (2010),"Double Jeopardy, Criminal Law, Misconduct",3,1,7
Is Silence Sacred - The Vulnerability of Griffin v. California in a Terrorist World [article],"Griffin, Lissa (Cited 186 times)",7287,"William and Mary Bill of Rights Journal , Vol. 15, Issue 3 (February 2007), pp. 927-962",15 Wm. & Mary Bill Rts. J. 927 (2006-2007),na,3,na,10
Avoiding Wrongful Convictions: Re-Examining the Wrong Person Defense [article],"Griffin, Lissa (Cited 186 times)",7287,"Seton Hall Law Review , Vol. 39, Issue 1 (2009), pp. 129-162",39 Seton Hall L. Rev. 129 (2009),"Criminal Law, Evidence, Jury, Trial by Jury",2,2,11
Forensic Evidence and the Court of Appeal for England and Wales [article],"Griffin, Lissa (Cited 186 times)",7287,"British Journal of American Legal Studies, Vol. 4, Issue 2 (Fall 2015), pp. 619-648",4 Brit. J. Am. Legal Stud. 619 (2015),"Appeals, Evidence",na,na,14
Judging during Crises: Can Judges Protect the Facts [article],"Griffin, Lissa (Cited 186 times)",7287,"Loyola University Chicago Law Journal, Vol. 50, Issue 4 (Summer 2019), pp. 857-878",50 Loy. U. Chi. L.J. 857 (2018-2019),na,na,na,na
