Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Taiwan's New Adversarial System and the Overlooked Challenge of Efficiency-Driven Reforms [article],"Lewis, Margaret K. (Cited 64 times)",8666,"Virginia Journal of International Law, Vol. 49, Issue 3 (Spring 2009), pp. 651-726",49 Va. J. Int'l L. 651 (2008-2009),"Administration of Justice, Adversary System, Comparative Law, Criminal Law, Law Reform, Exclusionary Rule, Civil Law, Criminal Procedure, Procedure",11,na,11
An Analysis of State Responsibility for the Chinese-American Airplane Collision Incident [notes],"Lewis, Margaret K. (Cited 64 times)",8666,"New York University Law Review, Vol. 77, Issue 5 (November 2002), pp. 1404-1441",77 N.Y.U. L. Rev. 1404 (2002),"Aliens, Expulsion, Immigration Law, Government Liability, International Law: History, Foreign Investment, International Trade, Investment, Treaties",11,na,11
Controlling Abuse to Maintain Control: The Exclusionary Rule in China [comments],"Lewis, Margaret K. (Cited 64 times)",8666,"New York University Journal of International Law and Politics, Vol. 43, Issue 3 (Spring 2011), pp. 629-698",43 N.Y.U. J. Int'l L. & Pol. 629 (2010-2011),"Exclusionary Rule, Evidence",10,na,26
When Foreign is Criminal [article],"Lewis, Margaret K. (Cited 64 times)",8666,"Virginia Journal of International Law, Vol. 55, Issue 3 (Summer 2015), pp. 625-684",55 Va. J. Int'l L. 625 (2014-2015),"History, Investment, Jurisprudence, Espionage, States",8,na,27
"Presuming Innocence, or Corruption, in China [article]","Lewis, Margaret K. (Cited 64 times)",8666,"Columbia Journal of Transnational Law, Vol. 50, Issue 2 (2012), pp. 287-369",50 Colum. J. Transnat'l L. 287 (2011-2012),"Criminal Law, Criminal Procedure, Public Officials, Human Rights Law, Human Rights Law, Politics, Liability, Proof",8,na,48
Leniency and Severity in China's Death Penalty Debate [article],"Lewis, Margaret K. (Cited 64 times)",8666,"Columbia Journal of Asian Law, Vol. 24, Issue 2 (Spring 2011), pp. 303-332",24 Colum. J. Asian L. 303 (2010-2011),"Capital Punishment, Death, Law Reform, Exclusionary Rule, Comparative Law",7,na,47
Criminal Law Pays: Penal Law's Contribution to China's Economic Development [article],"Lewis, Margaret K. (Cited 64 times)",8666,"Vanderbilt Journal of Transnational Law, Vol. 47, Issue 2 (March 2014), pp. 371-450",47 Vand. J. Transnat'l L. 371 (2014),"Criminal Law, Economic Development, Comparative Law, Water Law, Water Law, Amnesty and Pardon, Children, Human Rights Law, Military, War and Peace",3,na,18
How Taiwan's Constitutional Court Reined in Police Power: Lessons for the People's Republic of China [article],"Lewis, Margaret K. (Cited 64 times); Cohen, Jerome A. (Cited 123 times)",8666,"Fordham International Law Journal, Vol. 37, Issue 4 (May 2014), pp. 863-928",37 Fordham Int'l L.J. 863 (2013-2014),"Constitutional Law, Criminal Law, Police, Police Power, Education Law, Human Rights Law, Human Rights Law, Labor, Law Enforcement",2,na,10
Human Rights and the U.S.-China Relationship [article],"Lewis, Margaret K. (Cited 64 times)",8666,"George Washington International Law Review, Vol. 49, Issue 3 (2017), pp. 471-534",49 Geo. Wash. Int'l L. Rev. 471 (2016-2017),"Human Rights Law, Economics, International Trade",2,na,61
Fear of Crime among the Elderly - An Explanatory Study [article],"Clarke, Alan H.; Lewis, Margaret J. (Cited 64 times)",8666,"British Journal of Criminology, Vol. 22, Issue 1 (January 1982), pp. 49-62",22 Brit. J. Criminology 49 (1982),"Harassment, Sexual Harassment, Women, Police, Students, Law Enforcement",na,na,40
Forging Taiwan's Legal Identity [article] *new*,"Lewis, Margaret K. (Cited 64 times)",8666,"Brooklyn Journal of International Law, Vol. 44, Issue 2 (2019), pp. 489-562",44 Brook. J. Int'l L. 489 (2018-2019),"Politics, Comparative Law",na,na,na
Safeguarding the Boundaries of Right: Jerome A. Cohen's Experience with Law in the People's Republic of China [article],"Lewis, Margaret K. (Cited 64 times)",8666,"American Journal of Comparative Law, Vol. 65, Issue 4 (Winter 2017), pp. 745-750",65 Am. J. Comp. L. 745 (2017),"Boundaries, Privacy, History",na,na,10
