Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Placing a Price on Pain and Suffering: A Method for Helping Juries Determine Tort Damages for Nonmonetary Injuries [article],"Geistfeld, Mark (Cited 667 times)",525,"California Law Review, Vol. 83, Issue 3 (May 1995), pp. 773-852",83 Calif. L. Rev. 773 (1995),"Damages, Remedies, Torts",119,5,31
Reconciling Cost-Benefit Analysis with the Principle that Safety Matters More than Money [article],"Geistfeld, Mark (Cited 667 times)",525,"New York University Law Review, Vol. 76, Issue 1 (April 2001), pp. 114-189",76 N.Y.U. L. Rev. 114 (2001),"Economics, Environmental Law, Money, Compensation, Torts, Government, Regulation",63,na,21
Should Enterprise Liability Replace the Rule of Strict Liability for Abnormally Dangerous Activities [article],"Geistfeld, Mark (Cited 667 times)",525,"UCLA Law Review, Vol. 45, Issue 3 (February 1998), pp. 611-672",45 UCLA L. Rev. 611 (1997-1998),"Liability, Strict Liability, Common Law, Administration Law, Asbestos",38,na,22
Political Economy of Neocontractual Proposals for Products Liability Reform [article],"Geistfeld, Mark (Cited 667 times)",525,"Texas Law Review, Vol. 72, Issue 4 (March 1994), pp. 803-848",72 Tex. L. Rev. 803 (1993-1994),"Economics, Liability, Products Liability Law, Insurance Law, Damages, Punitive Damages",34,na,1
"Negliegence, Compensation, and the Coherence of Tort Law [article]","Geistfeld, Mark (Cited 667 times)",525,"Georgetown Law Journal, Vol. 91, Issue 3 (March 2003), pp. 585-632",91 Geo. L.J. 585 (2002-2003),"Compensation, Torts, Liability",33,na,44
"Divergence between Social and Private Incentives to Sue: A Comment on Shavell, Menell, and Kaplow [comments]","Rose-Ackerman, Susan (Cited 1307 times); Geistfeld, Mark (Cited 667 times)",525,"Journal of Legal Studies, Vol. 16, Issue 2 (June 1987), pp. 483-492",16 J. Legal Stud. 483 (1987),"Costs, Negligence, Liability",28,na,3
Constitutional Tort Reform [article],"Geistfeld, Mark (Cited 667 times)",525,"Loyola of Los Angeles Law Review, Vol. 38, Issue 3 (Spring 2005), pp. 1093-1120",38 Loy. L. A. L. Rev. 1093 (2004-2005),"Constitutional Law, Tort Reform, Damages, Due Process, Jurisprudence, Punitive Damages",28,na,8
Scientific Uncertainty and Causation in Tort Law [article],"Geistfeld, Mark (Cited 667 times)",525,"Vanderbilt Law Review, Vol. 54, Issue 3 (April 2001), pp. 1011-1038",54 Vand. L. Rev. 1011 (2001),"Causation, Evidence, Toxic Substances",26,2,51
"Punitive Damages, Retribution, and Due Process [article]","Geistfeld, Mark A. (Cited 667 times)",525,"Southern California Law Review, Vol. 81, Issue 2 (January 2008), pp. 263-310",81 S. Cal. L. Rev. 263 (2007-2008),"Damages, Due Process, Punitive Damages, Remedies, Torts, Constitutional Law, Courts",25,na,15
Implementing Enterprise Liability: A Comment on Henderson and Twerski [article],"Geistfeld, Mark (Cited 667 times)",525,"New York University Law Review, Vol. 67, Issue 5 (November 1992), pp. 1157-1173",67 N.Y.U. L. Rev. 1157 (November 1992),Liability,24,na,2
Due Process and the Determination of Pain and Suffering Tort Damages [article],"Geistfeld, Mark A. (Cited 667 times)",525,"DePaul Law Review, Vol. 55, Issue 2 (Winter 2006), pp. 331-358",55 DePaul L. Rev. 331 (2005-2006),"Damages, Due Process, Compensation, Evidence, Noneconomic Damages, Punishment, Punitive Damages, Age, Age Discrimination, Discrimination",23,na,12
The Doctrinal Unity of Alternative Liability and Market-Share Liability [article],"Geistfeld, Mark A. (Cited 667 times)",525,"University of Pennsylvania Law Review, Vol. 155, Issue 2 (December 2006), pp. 447-502",155 U. Pa. L. Rev. 447 (2006-2007),"Liability, Laboratories, Remedies, Torts, Evidence",23,2,13
Inadequate Product Warnings and Causation [article],"Geistfeld, Mark (Cited 667 times)",525,"University of Michigan Journal of Law Reform, Vol. 30, Issues 2 and 3 (Winter/Spring 1997), pp. 309-352",30 U. Mich. J.L. Reform 309 (1996-1997),"Causation, Products Liability Law, Science and Technology, Technology",22,2,16
"Imperfect Information, the Pricing Mechanism, and Products Liability [notes]","Geistfeld, Mark (Cited 667 times)",525,"Columbia Law Review, Vol. 88, pp. 1057-1072",88 Colum. L. Rev. 1057 (June 1988),"Economics, Liability, Products Liability Law, Advertising, Consumer Protection Law",22,na,5
