Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Future of Cybertravel: Legal Implications of the Evasion of Geolocation [article],"Trimble, Marketa (Cited 87 times)",8886,"Fordham Intellectual Property, Media & Entertainment Law Journal, Vol. 22, Issue 3 (Spring 2012), pp. 567-658",22 Fordham Intell. Prop. Media & Ent. L.J. 567 (2011-2012),"Copyright, Commerce, Commercial Law, Internet, Jurisdiction, Privacy, Conflict of Laws",28,na,24
Cross-Border Injunctions in U.S. Patent Cases and Their Enforcement Abroad [article],"Trimble, Marketa (Cited 87 times)",8886,"Marquette Intellectual Property Law Review , Vol. 13, Issue 2 (Summer 2009), pp. 331-370",13 Marq. Intell. Prop. L. Rev. 331 (2009),"Injunctions, Jurisdiction, European Union, Remedies, States",13,na,21
"Setting Foot on Enemy Ground: Cease-and-Desist Letters, DMCA Notifications and Personal Jurisdiction in Declaratory Judgment Actions [article]","Trimble, Marketa (Cited 87 times)",8886,"IDEA: The Intellectual Property Law Review, Vol. 50, Issue 4 (2010), pp. 777-830",50 IDEA 777 (2009-2010),"Jurisdiction, Practice and Procedure, Copyright, Communications Law, Intellectual Property Law, Licensing, Music, Organizations",11,na,6
The Multiplicity of Copyright Laws on the Internet [article],"Trimble, Marketa (Cited 87 times)",8886,"Fordham Intellectual Property, Media & Entertainment Law Journal, Vol. 25, Issue 2 (Winter 2015), pp. 339-406",25 Fordham Intell. Prop. Media & Ent. L.J. 339 (2014-2015),"Conflict of Laws, Copyright, Internet, Remedies, Jurisdiction, Music",8,na,57
Advancing National Intellectual Property Policies in a Transnational Context [article],"Trimble, Marketa (Cited 87 times)",8886,"Maryland Law Review, Vol. 74, Issue 2 (2015), pp. 203-258",74 Md. L. Rev. 203 (2014-2015),"Conflict of Laws, Intellectual Property Law, Intellectual Property Law, International Trade, Copyright",8,na,26
When Foreigners Infringe Patents: An Empirical Look at the Involvement of Foreign Defendants in Patent Litigation in the U.S. [article],"Trimble, Marketa (Cited 87 times)",8886,"Santa Clara Computer & High Technology Law Journal, Vol. 27, Issue 3 (2010-2011), pp. 499-550",27 Santa Clara Computer & High Tech. L. J. 499 (2010-2011),"Conflict of Laws, Defendants, Courts, Injunctions, Jurisdiction",4,na,11
"Foreigners in US Patent Litigation: An Empirical Study of Patent Cases Filed in Nine US Federal District Courts in 2004, 2009, and 2012 [article]","Trimble, Marketa (Cited 87 times)",8886,"Vanderbilt Journal of Entertainment and Technology Law, Vol. 17, Issue 1 (Fall 2014), pp. 175-210",17 Vand. J. Ent. & Tech. L. 175 (2014-2015),"Courts, Conflict of Laws, Defendants, Arbitration",3,na,7
Extraterritorial Intellectual Property Enforcement in the European Union [article],"Trimble, Marketa (Cited 87 times)",8886,"Southwestern Journal of International Law, Vol. 18, Issue 1 (2011), pp. 233-244",18 Sw. J. Int'l L. 233 (2011),"European Union, Intellectual Property Law, Intellectual Property Law, Defenses, Revocation",2,na,23
Territorialization of the Internet Domain Name System [article],"Trimble, Marketa (Cited 87 times)",8886,"Pepperdine Law Review, Vol. 45, Issue 4 (2018), pp. 623-684",45 Pepp. L. Rev. 623 (2018),"Conflict of Laws, Dispute Resolution, Intellectual Property Law, Internet, Sales, Software",1,na,56
Patent Working Requirements: Historical and Comparative Perspectives [article],"Trimble, Marketa (Cited 87 times)",8886,"UC Irvine Law Review, Vol. 6, Issue 3 (December 2016), pp. 483-508",6 UC Irvine L. Rev. 483 (2016),"Intellectual Property Law, International Trade, Revolution",1,na,10
Afterword: Conferring about the Conference [comments],"Silbey, Jessica (Cited 231 times); Perzanowski, Aaron (Cited 306 times); Trimble, Marketa (Cited 87 times)",8886,"Houston Law Review, Vol. 52, Issue 2 (2014), pp. 679-690",52 Hous. L. Rev. 679 (2014-2015),"Copyright, Economics, Law and Society, Intellectual Property Law",1,na,3
Temporary Restraining Orders to Enforce Intellectual Property Rights at Trade Shows [article],"Trimble, Marketa (Cited 87 times)",8886,"Brooklyn Law Review, Vol. 83, Issue 4 (Summer 2018), pp. 1345-1392",83 Brook. L. Rev. 1345 (2017-2018),"Intellectual Property Law, Intellectual Property Law, Remedies, Copyright, Liability, Vicarious Liability, States",1,na,26
U.S. State Copyright Laws: Challenge and Potential [article],"Trimble, Marketa (Cited 87 times)",8886,"Stanford Technology Law Review, Vol. 20, Issue 2 (Fall 2017), pp. 66-127",20 Stan. Tech. L. Rev. 66 (2017),"Copyright, Antitrust, Intellectual Property Law, Trade Regulation",1,na,31
Undetected Conflict-of-Laws Problems in Corss-Border Online Copyright Infringement Cases [article],"Trimble, Marketa (Cited 87 times)",8886,"North Carolina Journal of Law & Technology, Vol. 18, Issue 1 (October 2016), pp. 119-vi",18 N.C. J.L. & Tech. 119 (2016-2017),"Conflict of Laws, Copyright, International Trade, Intellectual Property Law, International Law: History, Jurisdiction, Private International Law, Intellectual Property Law, Property Law",1,na,31
"Gat, Solvay, and the Centralization of Patent Litigation in Europe [notes]","Trimble, Marketa (Cited 87 times)",8886,"Emory International Law Review, Vol. 26, Issue 2 (2012), pp. 515-534",26 Emory Int'l L. Rev. 515 (2012),"European Union, Jurisdiction",na,na,3
The Territorial Discrepancy between Intellectual Property Rights Infringement Claims and Remedies [article],"Trimble, Marketa (Cited 87 times)",8886,"Lewis & Clark Law Review, Vol. 23, Issue 2 (2019), pp. 501-552",23 Lewis & Clark L. Rev. 501 (2019),"Choice of Law, Employees, Employment, Legislation, Private International Law, Public Policy, Courts, European Union, States",na,na,3
Marketa Trimble Becomes the Inaugural Samuel S. Lionel Professor of Intellectual Property Law [comments],"Trimble, Marketa (Cited 87 times)",8886,"Nevada Law Journal, Vol. 17, Issue 1 (Fall 2016), pp. 233-238",17 Nev. L.J. 233 (2016-2017),"Intellectual Property Law, Intellectual Property Law, Property Law, Comparative Law, Education Law, Legal Education, Curriculum",na,na,4
"Secondary Liability, ISP Immunity, and Incumbent Entrenchment [article]","Mehra, Salil K. (Cited 219 times); Trimble, Marketa (Cited 87 times)",8886,"American Journal of Comparative Law Supplement, Vol. 62, Issue 4 (Fall 2014), pp. 685-iv",62 Am. J. Comp. L. Supp. 685 (2014),"Immunity, Liability, Copyright, Notice, Internet",na,na,15
Copyright and Geoblocking: The Consequences of Eliminating Geoblocking [article],"Trimble, Marketa (Cited 87 times)",8886,"Boston University Journal of Science and Technology Law, Vol. 25, Issue 2 (2019), pp. 476-502",25 B.U. J. Sci. & Tech. L. 476 (2019),na,na,na,na
Enforcement of Intellectual Property Rights at Trade Shows: A Review and Recommendations [article],"Trimble, Marketa (Cited 87 times)",8886,"Ohio State Journal on Dispute Resolution, Vol. 34, Issue 2 (2019), pp. 277-332",34 Ohio St. J. on Disp. Resol. 277 (2019),"Intellectual Property Law, Intellectual Property Law, Property-Personal and Real, Remedies, Trade Secrets, States",na,na,na
