Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
A Constitution of Democratic Experimentalism [article],"Dorf, Michael C. (Cited 3474 times); Sabel, Charles F. (Cited 1671 times)",6855,"Columbia Law Review, Vol. 98, Issue 2 (March 1998), pp. 267-473",98 Colum. L. Rev. 267 (1998),"Separation, Separation of Powers, European Union, Health",765,na,143
Levels of Generality in the Definition of Rights [article],"Tribe, Laurence H. (Cited 6375 times); Dorf, Michael C. (Cited 3474 times)",6855,"University of Chicago Law Review, Vol. 57, Issue 4 (Fall 1990), pp. 1057-1108",57 U. Chi. L. Rev. 1057 (1990),"Constitutional Law, Indian Law, Employment",259,3,78
Levels of Generality in the Definition of Rights [article],"Tribe, Laurence H. (Cited 6375 times); Dorf, Michael C. (Cited 3474 times)",6855,"University of Chicago Law Review, Vol. 57, Issue 4 (Fall 1990), pp. 1057-1108",57 U. Chi. L. Rev. 1057 (Fall 1990),"Constitutional Law, Judges",258,3,46
Facial Challenges to State and Federal Statutes [article],"Dorf, Michael C. (Cited 3474 times)",6855,"Stanford Law Review, Vol. 46, Issue 2 (January 1994), pp. 235-304",46 Stan. L. Rev. 235 (1993-1994),"Constitutional Law, Courts, Statutes, Statutory Construction, Abortion, Sexuality and the Law, Women, Jurisprudence",253,73,27
Dicta and Article III [article],"Dorf, Michael C. (Cited 3474 times)",6855,"University of Pennsylvania Law Review, Vol. 142, Issue 6 (June 1994), pp. 1997-2070",142 U. Pa. L. Rev. 1997 (1993-1994),"Constitutional Law, Judges, Legal Analysis and Writing",207,16,50
The Limits of Socratic Deliberation [comments],"Dorf, Michael C. (Cited 3474 times)",6855,"Harvard Law Review, Vol. 112, Issue 1 (November 1998), pp. 4-83",112 Harv. L. Rev. 4 (1998-1999),"Judges, Jurisprudence, Legislation, Statutory Interpretation, Liberty",198,2,24
Incidental Burdens of Fundamental Rights [article],"Dorf, Michael C. (Cited 3474 times)",6855,"Harvard Law Review, Vol. 109, Issue 6 (April 1996), pp. 1175-1251",109 Harv. L. Rev. 1175 (1995-1996),"Constitutional Law, Jurisprudence, Judicial Review, Boundaries, Second Amendment",159,3,38
Legal Indeterminacy and Institutional Design [article],"Dorf, Michael C. (Cited 3474 times)",6855,"New York University Law Review, Vol. 78, Issue 3 (June 2003), pp. 875-981",78 N.Y.U. L. Rev. 875 (2003),"Jurisprudence, Judges, Titles",156,na,55
Integrating Normative and Descriptive Constitutional Theory: The Case of Original Meaning [article],"Dorf, Michael C. (Cited 3474 times)",6855,"Georgetown Law Journal, Vol. 85, Issue 6 (June 1997), pp. 1765-1822",85 Geo. L.J. 1765 (1996-1997),"Jurisprudence, Legislation, Legal Analysis and Writing",135,na,36
Prediction and the Rule of Law [article],"Dorf, Michael C. (Cited 3474 times)",6855,"UCLA Law Review, Vol. 42, Issue 3 (February 1995), pp. 651-716",42 UCLA L. Rev. 651 (1994-1995),"Rule of Law, Law and Society, Law Enforcement, Taxation",113,2,21
