Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Free Trade or Sustainable Development: An Analysis of the WTO Appellate Body's Shift to a More Balanced Approach to Trade Liberalization [comments],"Ala'i, Padideh (Cited 108 times)",2574,"American University of International Law Review, Vol. 14, Issue 4 (1999), pp. 1129-1172",14 Am. U. Int'l L. Rev. 1129 (1998-1999),"Environmental Law, Sustainable Development, International Trade, States, European Union, Labor",25,na,18
Legacy of Geographical Morality and Colonialism: A Historical Assessment of the Current Crusade against Corruption [article],"Ala'i, Padideh (Cited 108 times)",2574,"Vanderbilt Journal of Transnational Law, Vol. 33, Issue 4 (October 2000), pp. 877-932",33 Vand. J. Transnat'l L. 877 (2000),"Extradition, Law and Society, Legal History, Criminal Law, International Law: History, International Trade",25,na,41
A Human Rights Critique of the WTO: Some Preliminary Observations [article],na,2574,"George Washington International Law Review, Vol. 33, Issue 3 and 4 (2001), pp. 537-554",33 Geo. Wash. Int'l L. Rev. 537 (2000-2001),"Human Rights Law, Human Rights Law, Globalization",18,na,34
Judicial Lobbying at the WTO: The Debate over the Use of Amicus Curiae Briefs and the U.S. Experience [article],"Ala'i, Padideh (Cited 108 times)",2574,"Fordham International Law Journal, Vol. 24, Issue 1 & 2 (November-December 2000), pp. 62-94",24 Fordham Int'l L.J. 62 (2000-2001),"Judges, Lobbying, Asbestos, European Communities, Dispute Resolution, Procedure, World Trade Organization",17,na,13
From the Periphery to the Center - The Evolving WTO Jurisprudence on Transparency and Good Governance [article],"Ala'i, Padideh (Cited 108 times)",2574,"Journal of International Economic Law, Vol. 11, Issue 4 (December 2008), pp. 779-802",Full Text Not Currently Available in HeinOnline,"Jurisprudence, International Trade, Obligations, Unions, European Communities",na,na,na
Introduction [comments],"Ala'i, Padideh (Cited 108 times)",2574,"American University International Law Review, Vol. 20, Issue 6 (2005), pp. 1113-1116",20 Am. U. Int'l L. Rev. 1113 (2004-2005),"International Trade, Military Law, Liberty, Developing Countries, International Economic Law",5,na,3
The WTO and the Anti-Corruption Movement [article],"Ala'i, Padideh (Cited 108 times)",2574,"Loyola University Chicago International Law Review, Vol. 6, Issue 1 (2008-2009), pp. 259-278",6 Loy. U. Chi. Int'l L. Rev. 259 (2008-2009),"Organizations, Sanctions, Jurisprudence, Human Rights Law",5,na,20
Transparency and the Expansion of the WTO Mandate [article],"Ala'i, Padideh (Cited 108 times)",2574,"American University International Law Review, Vol. 26, Issue 4 (2011), pp. 1009-1030",26 Am. U. Int'l L. Rev. 1009 (2010-2011),"International Trade, Liberty, Military Law",2,na,9
Turkey: At the Crossroads of Secular West and Traditional East [article],"Ala'i, Padideh (Cited 108 times)",2574,"American University International Law Review, Vol. 24, Issue 4 (2009), pp. 679-684",24 Am. U. Int'l L. Rev. 679 (2008-2009),"Comparative Law, Human Rights Law, European Union, Freedom of Religion, Religion",1,na,2
The Many Faces of Transparency [comments],"Ala'i, Padideh (Cited 108 times)",2574,"Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 109, pp. 319-322",109 Am. Soc'y Int'l L. Proc. 319 (2015),"Obligations, World Trade Organization, Developing Countries",na,na,5
The Impact of the Financial Crisis on Trade and Investment [article],"Ala'i, Padideh (Cited 108 times)",2574,"American Society of International Law Proceedings, Vol. 104, pp. 447-452",104 Am. Soc'y Int'l L. Proc. 447 (2010),"Investment, International Trade",na,na,9
Introduction [comments],"Ala'i, Padideh (Cited 108 times)",2574,"Studies in Transnational Legal Policy, Vol. 37, pp. [ix]-[xvi]",37 Stud. Transnat'l Legal Pol'y [ix] (2005),"International Trade, Military Law, History",na,na,na
Leopold & (and) Morel: A Story of Free Trade and Native Rights in the Congo Free State [article],"Ala'i, Padideh (Cited 108 times)",2574,"Studies in Transnational Legal Policy, Vol. 37, pp. 33-46",37 Stud. Transnat'l Legal Pol'y 33 (2005),"Commerce, International Law: History",na,na,17
Civil Consequences of Corruption in International Commercial Contracts [article],na,2574,"American Journal of Comparative Law Supplement, Vol. 62, Issue 4 (Fall 2014), pp. 185-212",62 Am. J. Comp. L. Supp. 185 (2014),"Contracts, Bribery, International Trade, Oil, Gas, and Mineral Law, United Nations, Age",na,na,17
