Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Crisis of the American Law School [comments],"Campos, Paul (Cited 256 times)",4102,"University of Michigan Journal of Law Reform, Vol. 46, Issue 1 (Fall 2012), pp. 177-224",46 U. Mich. J.L. Reform 177 (2012-2013),"Economics, Education Law, Legal Education, Tuition, Law Students, Money, Students",59,na,46
That Obscure Object of Desire: Hermeneutics and the Autonomous Legal Text [article],"Campos, Paul (Cited 256 times)",4102,"Minnesota Law Review, Vol. 77, Issue 5 (May 1993), pp. 1065-1096",77 Minn. L. Rev. 1065 (1992-1993),"Hermeneutics, Jurisprudence, History, Employment Discrimination",43,na,5
Secular Fundamentalism [comments],"Campos, Paul F. (Cited 256 times)",4102,"Columbia Law Review, Vol. 94, Issue 6 (October 1994), pp. 1814-1827",94 Colum. L. Rev. 1814 (1994),"Abortion, Religion, Human Rights Law",34,na,15
Advocacy and Scholarship [article],"Campos, Paul F. (Cited 256 times)",4102,"California Law Review, Vol. 81, Issue 4 (July 1993), pp. 817-862",81 Calif. L. Rev. 817 (1993),"Constitutional Law, Legal Writing, History, Civil War, Legal Education, Legal History, Legal Profession, War",29,na,9
The Chaotic Pseudotext [article],"Campos, Paul F. (Cited 256 times)",4102,"Michigan Law Review, Vol. 94, Issue 7 (June 1996), pp. 2178-2228",94 Mich. L. Rev. 2178 (1995-1996),"Economics, Jurisprudence, Law and Economics, Separation",15,na,3
Against Constitutional Theory [article],"Campos, Paul (Cited 256 times)",4102,"Yale Journal of Law & the Humanities, Vol. 4, Issue 2 (Summer 1992), pp. 279-310",4 Yale J.L. & Human. 279 (1992),"Jurisprudence, Constitutional Law, Legal Analysis and Writing",14,na,35
Three Mistakes about Interpretation [comments],"Campos, Paul (Cited 256 times)",4102,"Michigan Law Review, Vol. 92, Issue 2 (November 1993), pp. 388-397",92 Mich. L. Rev. 388 (1993-1994),"Constitutional Law, Identification",12,na,7
This is Not a Sentence [article],"Campos, Paul F. (Cited 256 times)",4102,"Washington University Law Quarterly, Vol. 73, Issue 3 (Fall 1995), pp. 971-982",73 Wash. U. L. Q. 971 (1995),"Statutory Interpretation, Comparative Law, Natural Resources Law, Jurisprudence, Literature",10,na,5
The Paradox of Punishment [comments],"Campos, Paul (Cited 256 times)",4102,"Wisconsin Law Review, Vol. 1992, Issue 6 (1992), pp. 1931-1940",1992 Wis. L. Rev. 1931 (1992),"Jurisprudence, Punishment, Annulment",8,na,8
Silence and the Word [article],"Campos, Paul (Cited 256 times)",4102,"University of Colorado Law Review, Vol. 64, Issue 4 (1993), pp. 1139-1144",64 U. Colo. L. Rev. 1139 (1993),"Economics, Baseball, Antitrust and Baseball, Legal Analysis and Writing",5,na,3
Lawyers and Spoiled Identity [article],"Campos, Paul (Cited 256 times)",4102,"Georgetown Journal of Legal Ethics, Vol. 28, Issue 1 (Winter 2015), pp. 73-122",28 Geo. J. Legal Ethics 73 (2015),"Legal Education, Legal Profession, Literature, Students",4,na,13
Legal Academia and the Blindness of the Elites [comments],"Campos, Paul (Cited 256 times)",4102,"Harvard Journal of Law & Public Policy, Vol. 37, Issue 1 (Winter 2014), pp. 179-186",37 Harv. J. L. & Pub. Pol'y 179 (2014),"Legal Education, Schools, Education Law, Law and Society",4,na,9
"Text Is Just a Text, A [article]","Campos, Paul F. (Cited 256 times)",4102,"Harvard Journal of Law & Public Policy, Vol. 19, Issue 2 (Winter 1996), pp. 327-334",19 Harv. J. L. & Pub. Pol'y 327 (1995-1996),"Legal Analysis and Writing, Courts, Jurisprudence, Constitutional Law",4,na,7
The Color of Money [article],"Campos, Paul F. (Cited 256 times)",4102,"University of Colorado Law Review, Vol. 67, Issue 4 (1996), pp. 921-930",67 U. Colo. L. Rev. 921 (1996),"Money, Practice and Procedure, Civil Rights, Domestic Relations, Domestic Violence, Gender, Violence",3,na,16
The Search for Incontrovertible Visual Evidence [article],"Campos, Paul F. (Cited 256 times)",4102,"University of Colorado Law Review, Vol. 72, Issue 4 (2001), pp. 1039-1048",72 U. Colo. L. Rev. 1039 (2001),"Evidence, Commitment, Rule of Law, Politics",3,na,2
Shame [notes],"Campos, Paul (Cited 256 times)",4102,"Journal of Contemporary Legal Issues, Vol. 17, pp. 15-24",17 J. Contemp. Legal Issues 15 (2008),"Academic Freedom, Education Law, Law Students, Students, Professional Ethics",2,na,14
Three Versions of Nonsense [article],"Campos, Paul (Cited 256 times)",4102,"University of Colorado Law Review, Vol. 77, Issue 4 (2006), pp. 901-906",77 U. Colo. L. Rev. 901 (2006),"Jurisprudence, Political Speech, States",2,na,9
Introduction [comments],"Campos, Paul F. (Cited 256 times)",4102,"University of Colorado Law Review, Vol. 68, Issue 2 (1997), pp. 285-286",68 U. Colo. L. Rev. 285 (1997),"Sexuality and the Law, Education Law, Constitutional Law, Judges",2,na,2
The Extraordinary Rise and Sudden Decline of Law School Tuition: A Case Study of Veblen Effects in Higher Education [article],"Campos, Paul F. (Cited 256 times)",4102,"Seton Hall Law Review, Vol. 48, Issue 1 (2017), pp. 167-192",48 Seton Hall L. Rev. 167 (2017-2018),"Economics, Education Law, Legal Education, Tuition, Law Students, Money, Students",1,na,25
A Mirror for the Magistrate [notes],"Campos, Paul (Cited 256 times)",4102,"Constitutional Commentary, Vol. 9, Issue 2 (Summer 1992), pp. 151-160",9 Const. Comment. 151 (1992),"Economics, Law and Economics, Human Rights Law, Jurisprudence, Law and Society, Politics",1,na,3
Forty Years in the Desert [article],"Campos, Paul F. (Cited 256 times)",4102,"Southern Illinois University Law Journal, Vol. 20, Issue 1 (Fall 1995), pp. 109-116",20 S. Ill. U. L. J. 109 (1995-1996),"Civil Rights, Desegregation, Education Law, Parents and Children, Segregation, High School",1,na,2
The Economics of American Higher Education in the New Gilded Age [article],"Campos, Paul (Cited 256 times)",4102,"Utah Law Review, Vol. 2018, Issue 4 (2018), pp. 867-884",2018 Utah L. Rev. 867 (2018),"Age, Economics, Education Law",na,na,41
Food Policy and Cognitive Bias [comments],"Campos, Paul F. (Cited 256 times)",4102,"Wake Forest Journal of Law & Policy, Vol. 5, Issue 1 (April 2015), pp. 187-192",5 Wake Forest J. L. & Pol'y 187 (2015),"Liability, Products Liability Law, Government, Legislation, Food and Drug Law",na,na,13
Is Legal Scholarship Worth Its Cost [article],"Campos, Paul (Cited 256 times)",4102,"University of Colorado Law Review, Vol. 88, Issue 2 (2017), pp. 377-384",88 U. Colo. L. Rev. 377 (2017),"Economics, Education Law, Ethics, Legal Education, Legal Analysis and Writing, Law Students, Money, Students",na,na,8
What the Twins Saw [article],"Campos, Paul F. (Cited 256 times)",4102,"University of Cincinnati Law Review, Vol. 67, Issue 3 (Spring 1999), pp. 711-718",67 U. Cin. L. Rev. 711 (1998-1999),"Jurisprudence, Legal Profession, Abortion, Sex",na,na,1
A Heterodox Catechism [article],"Campos, Paul (Cited 256 times)",4102,"Constitutional Commentary, Vol. 11, Issue 1 (Winter 1994), pp. 65-72",11 Const. Comment. 65 (Winter 1994),"Constitutional Law, Constitutions, Jurisprudence",na,na,na
"Legal Hermeneutics: History, Theory, and Practice [reviews]","Campos, Paul (Cited 256 times)",4102,"Constitutional Commentary, Vol. 10, Issue 1 (Winter 1993), pp. 174-180",10 Const. Comment. 174 (1993),"Hermeneutics, History, Constitutional Law, Jurisprudence",na,na,na
The Untermensch as Ubermensch [reviews],"Campos, Paul (Cited 256 times)",4102,"Yale Journal of Law & the Humanities, Vol. 6, Issue 2 (Summer 1994), pp. 423-434",6 Yale J.L. & Human. 423 (1994),"Legal Education, Legal Analysis and Writing, Communications Law, Jury",na,na,na
Self-Congratulation and Scholarship [article],"Campos, Paul (Cited 256 times)",4102,"UCLA Law Review Discourse, Vol. 60, pp. 214-225",60 UCLA L. Rev. Discourse 214 (2012),"Legal Education, Education Law, Schools",na,na,na
