Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Law Clerks: Profile of an Institution [article],"Baier, Paul R. (Cited 185 times)",5304,"Vanderbilt Law Review, Vol. 26, pp. 1125-1178",26 Vand. L. Rev. 1125 (1973),"Judges, Politics, Jurisprudence",60,2,14
What Is the Use of a Law Book without Pictures Or Conversations [article],"Baier, Paul R. (Cited 185 times)",5304,"Journal of Legal Education, Vol. 34, Issue 4 (1984), pp. 619-637",34 J. Legal Education 619 (1984),"Constitutional Law, First Amendment, Legal Education",26,na,16
"Supreme Court, Justinian, and Antonin Scalia: Twenty Years in Retrospect [article]","Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 67, Issue 2 (Winter 2007), pp. 489-522",67 La. L. Rev. 489 (2006-2007),"Judges, Legal History, Constitutional History, Legislation",8,na,1
"Of Bakke's Balance, Gratz and Grutter: The Voice of Justice Powell [article]","Baier, Paul R. (Cited 185 times)",5304,"Tulane Law Review, Vol. 78, Issue 6 (June 2004), pp. 1955-2008",78 Tul. L. Rev. 1955 (2003-2004),"Judges, Affirmative Action, Education Law, Law and Society",7,na,6
In Aid of the Judicial Process: A Proposal for Law Curricular and Student Involvement [article],"Baier, Paul R. (Cited 185 times); Lesinski, T. John (Cited 48 times)",5304,"Judicature, Vol. 56, Issue 3 (October 1972), pp. 100-107",56 Judicature 100 (1972-1973),"Judicial Process, Judiciary, Courts",7,na,5
"Father Chief Justice: E.D. White and the Constitution, A Play [article]","Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 58, Issue 2 (Winter 1997), pp. 423-448",58 La. L. Rev. 423 (1997-1998),"Dispute Resolution, Judges, Professional Ethics, Constitutional Law, First Amendment, Biography, Civil War, States, Supreme Court of the United States, War",6,na,2
Framing and Reviewing a Desegregation Decree: Of the Chancellor's Foot and Fifth Circuit Control [article],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 47, Issue 1 (1986-1987), pp. 123-152",47 La. L. Rev. 123 (1986-1987),"Desegregation, Biography, Constitutional Law",5,na,na
"Justice Clark, the Voice of the Past, and the Exclusionary Rule [comments]","Baier, Paul R. (Cited 185 times)",5304,"Texas Law Review, Vol. 64, Issue 2 (October 1985), pp. 415-419",64 Tex. L. Rev. 415 (1985-1986),"Exclusionary Rule, Evidence, Supreme Court of the United States",5,na,2
Constitutional Law [article],"Baier, Paul R. (Cited 185 times)",5304,"Loyola Law Review, Vol. 29, Issue 3 (Summer 1983), pp. 647-688",29 Loy. L. Rev. 647 (1983),"Constitutional Law, Desegregation, Biography",5,na,na
The Court and Its Critics - Charges of Mediocrity Unfounded [article],"Baier, Paul R. (Cited 185 times)",5304,"ABA Journal, Vol. 78, Issue 2 (February 1992), pp. 58-76",78 A.B.A. J. 58 (1992),"Compensation, Tort Reform, Damages, Malpractice, Medical Malpractice, Health",5,na,1
Criminal Procedure I [article],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 34, Issue 2 (1973-1974), pp. 396-426",34 La. L. Rev. 396 (1973-1974),"Criminal Procedure, Procedure, Automobiles, Constitutional Law",5,na,na
Mr. Justice Blackmun: Reflections from the Cours Mirabeau [comments],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 59, Issue 3 (Spring 1999), pp. 647-656",59 La. L. Rev. 647 (1998-1999),"Judges, Courts",4,na,4
Edward Douglass White: Frame for a Portrait [comments],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 43, Issue 4 (1982-1983), pp. 1001-1018",43 La. L. Rev. 1001 (1982-1983),"Dispute Resolution, Judges, Professional Ethics, Constitutional Law, First Amendment, Biography, Civil War, States, Supreme Court of the United States, War",4,na,1
"Lewis F. Powell, Jr., 1907-1998: Remembrances from LSU Law [comments]","Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 59, Issue 2 (Winter 1999), pp. 409-414",59 La. L. Rev. 409 (1998-1999),"Education Law, Judges, Constitutional Law",3,na,1
Rights under a Collective Bargaining Non-Agreement: The Question of Monetary Compensation for a Refusal to Bargain [article],"Baier, Paul R. (Cited 185 times)",5304,"Journal of Urban Law, Vol. 47, Issue 2 (1969), pp. 253-318",47 J. Urb. L. 253 (1969-1970),"Collective Bargaining, Compensation, Labor, Labor-Management Relations",3,na,1
Constitutional Law [article],"Baier, Paul R. (Cited 185 times)",5304,"Loyola Law Review, Vol. 30, Issue 3 (Summer 1984), pp. 619-670",30 Loy. L. Rev. 619 (1984),"Constitutional Law, Affirmative Action, Judicial Review, Legislation, Minorities",3,na,1
"100 Years of LSU Law, 1906-2006: A Centennial Gloss [comments]","Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 67, Issue 2 (Winter 2007), pp. 289-306",67 La. L. Rev. 289 (2006-2007),"Legal Education, Retirement, Civil Law, Legal History",3,na,na
Beyond Black Ink: From Langdell to the Oyez Project - The Voice of the Past [article],"Baier, Paul R. (Cited 185 times)",5304,"Loyola Law Review, Vol. 55, Issue 2 (Summer 2009), pp. 277-330",55 Loy. L. Rev. 277 (2009),"Legal Education, Environmental Law, History, Internet",2,na,4
By the Light of Reason: Edward Douglass White and the Constitution [comments],"Baier, Paul R. (Cited 185 times)",5304,"Loyola Journal of Public Interest Law, Vol. 6, Issue 1 (Fall 2004), pp. 1-18",6 Loy. J. Pub. Int. L. 1 (2004-2005),"Dispute Resolution, Judges, Professional Ethics, Constitutional Law, First Amendment",2,na,6
Administrative Law and Procedure [article],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 36, Issue 2 (1975-1976), pp. 464-481",36 La. L. Rev. 464 (1975-1976),"Administration Law, Procedure, Teachers",2,3,na
Of Legal Scholarship and the Louisiana Law Review [comments],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 75, Issue 4 (Summer 2015), pp. 971-982",75 La. L. Rev. 971 (2014-2015),"Civil Law, Comparative Law, Legal History, Fourteenth Amendment, Interest, Trade Regulation",2,na,2
Administrative Regulation: Law and Procedure [article],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 35, Issue 2 (1974-1975), pp. 349-373",35 La. L. Rev. 349 (1974-1975),"Procedure, Regulation, Public Utilities Law, Utilities",2,2,na
Pretrial Criminal Procedure [article],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 35, Issue 2 (1974-1975), pp. 461-492",35 La. L. Rev. 461 (1974-1975),"Criminal Procedure, Procedure, Constitutional Law, Criminal Law, Weapons",2,na,na
The Constitutionality of Minimum Age Requirements for Public Office: Reading Joseph Story on Constitution Day [article],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 60, Issue 2 (Winter 1999), pp. 481-512",60 La. L. Rev. 481 (Winter 1999),"Age, Constitutional Law, Judges, Dispute Resolution, Professional Ethics",2,na,na
Holmes and Honors Law at LSU - From the Great Hall to La Maison Francaise [article],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 63, Issue 1 (Fall 2002), pp. 53-68",63 La. L. Rev. 53 (2002-2003),"Judges, Schools, Housing Law",2,na,1
On Being Knighted by the Louisiana Bar Foundation: Distinguished Professor 2004 [comments],"Baier, Paul R. (Cited 185 times)",5304,"Louisiana Law Review, Vol. 65, Issue 3 (Spring 2005), pp. 1159-1166",65 La. L. Rev. 1159 (2004-2005),"Dispute Resolution, Judges, Professional Ethics, Constitutional Law, First Amendment, Legal History",2,na,1
Judicial Review in Louisiana: A Bicentennial Exegesis [article],"Baier, Paul R. (Cited 185 times); Chadwick, Georgia (Cited 2 times)",5304,"Journal of Civil Law Studies, Vol. 5, Issue 1 (October 2012), pp. 7-30",5 J. Civ. L. Stud. 7 (2012),"Judicial Review, Environmental Law, Natural Resources Law, Civil Law, Common Law, Criminal Appeal, Criminal Procedure, Natural Law",2,na,2
"Introduction and Dedication - Mr. Justice Black (1886-1971), a Centennial Reflection [comments]","Baier, Paul R. (Cited 185 times)",5304,"Loyola Law Review, Vol. 31, Issue 3 (Fall 1985), pp. 415-420",31 Loy. L. Rev. 415 (1985-1986),"First Amendment, Titles, Freedom of Speech, Philosophy",1,na,na
Constitutional Law [article],"Baier, Paul R. (Cited 185 times)",5304,"Loyola Law Review, Vol. 31, Issue 3 (Fall 1985), pp. 639-690",31 Loy. L. Rev. 639 (1985-1986),"Constitutional Law, Equal Protection, Mentally Retarded",1,na,na
"Of Judicial Freedom and Judicial Constraint: The Voice of Louisiana's Judge Albert Tate, Jr. [comments]","Baier, Paul R. (Cited 185 times)",5304,"Southern University Law Review, Vol. 35, Issue 2 (2008), pp. 443-458",35 S.U. L. Rev. 443 (2007-2008),"Judges, Civil Law, Personal Injury",1,na,1
